{'短评内容': '总之一个字，下次去首选', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 4}
{'短评内容': '早上走的早，没有赶住吃早餐，不知道如何！有停车场，停车方便，不收费。酒店位置很好找，我下了高速直接导航过去的！', '短评打分': 5}
{'短评内容': '房间干净卫生', '短评打分': 4}
{'短评内容': '性价比非常不错的酒店，位置很好，交通方便，早餐也不错，值得推荐。', '短评打分': 5}
{'短评内容': '房间大，格局好！经济', '短评打分': 5}
{'短评内容': '房间干净，安静，实惠！真心不错，！！！！！！！！！！以后到晋城都住这里！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '去办事住的，总体不错，前台的姐姐们服务很好，唯一的就是房间里面有少许味道，总体不错，下次还住这里。', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 5}
{'短评内容': '附近有一些吃饭的。挺好', '短评打分': 5}
{'短评内容': '价格优惠，环境较好，酒店配套的歺饭服务较好，值得推荐！', '短评打分': 5}
{'短评内容': '价格优惠，环境较好，酒店配套的歺饭服务较好，值得推荐！', '短评打分': 5}
{'短评内容': '价格优惠，环境较好，酒店配套的歺饭服务较好，值得推荐！', '短评打分': 4}
{'短评内容': '价格优惠，环境较好，酒店配套的歺饭服务较好，值得推荐！', '短评打分': 4}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '预定的房间把边，很干净，觉得稍微偏小，整体还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '酒店还可以，但是房间有点小，早餐也还行，不像其他人说的那么差。', '短评打分': 5}
{'短评内容': '酒店现在的老气横秋的，真的做的很费力了，估计住的人不多了！', '短评打分': 1}
{'短评内容': '每次都来这里住，还不错。', '短评打分': 3}
{'短评内容': '宾馆环境一般，床单看起来还算卫生', '短评打分': 3}
{'短评内容': '房间有点小。别的都还行。', '短评打分': 3}
{'短评内容': '网速很快，房间还不错，就是早餐太差了!', '短评打分': 3}
{'短评内容': '还可以，房间比较小，早餐很一般的酒店，应急的时候选择一下！', '短评打分': 1}
{'短评内容': '翼龙定的煤海特价房最靠边，最顶层，太爽了？', '短评打分': 3}
{'短评内容': '刚才点评了一次，还有没说完的话，早餐不好，品种特少，', '短评打分': 5}
{'短评内容': '酒店干净、服务人员态度较好，床铺太硬，不舒服。', '短评打分': 5}
{'短评内容': '酒店位置不错，基本就在市中心了，但是早餐太差了，牛奶都没有。', '短评打分': 5}
{'短评内容': '性价比可以，干净。早餐太差，品种少，而且8:30左右就没东西了', '短评打分': 5}
{'短评内容': '服务较好，周围没啥吃饭的地方，酒店房间没配零食，水也没有。', '短评打分': 5}
{'短评内容': '餐厅服务很差,早餐很差', '短评打分': 3}
{'短评内容': '经济实惠，早餐差了点，床铺不是特别舒服，但此价位也可以将就了', '短评打分': 5}
{'短评内容': '性价比还可以，前台要价比网上订的要高', '短评打分': 3}
{'短评内容': '还不错，很干净，就是房间有点小。服务员服务态度很好，前台一个小女孩张得很漂亮', '短评打分': 5}
{'短评内容': '酒店位置不错，因为住在11楼，用水不方便，早上没有热水。', '短评打分': 1}
{'短评内容': '房间比较整洁，有停车场，旁边的食府不错，很方便，早餐很好。', '短评打分': 5}
{'短评内容': '酒店位置很好，环境也不错，服务业很好，唯一不足的是卫生间竟然没有门！~', '短评打分': 5}
{'短评内容': '第二次入住，不错的酒店，附设吃饭地方不错，尤其是高平黑豆腐，味道很好。', '短评打分': 5}
{'短评内容': '不错 酒店位置很好 好找  停车也较方便  房间卫生 设施都可以  早餐也不错 就是门卡该换了 都没感应了', '短评打分': 3}
{'短评内容': '三星级，中心地段，停车方便，房间设施不错。尤其是附设的对外营业的饭店天天满座，味道很好。', '短评打分': 5}
{'短评内容': '服务态度好.交通方便', '短评打分': 3}
