{'短评内容': '干净卫生，环境不错', '短评打分': 5}
{'短评内容': '干净卫生，安静', '短评打分': 5}
{'短评内容': '环境卫生还可以，服务也好。', '短评打分': 4}
{'短评内容': '一般般  一分錢一分貨', '短评打分': 3}
{'短评内容': '位置不错，靠着大街噪音有点大。', '短评打分': 5}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间非常整洁,价格很实惠。服务挺好,帮忙把行李送到房间，一路还有简单介绍，常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '停车方便', '短评打分': 5}
{'短评内容': '招待亲戚的，听说还可以。。。', '短评打分': 5}
{'短评内容': '不错，卫生过得去，空间大。。。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '京东下单订的酒店，比其他的优惠些，不错。', '短评打分': 5}
{'短评内容': '不错，就是前台服务要加强！酒店房间够大，也舒服。价格优惠，近汽车站及公交站，交通便利，临时订的，房间也充足', '短评打分': 5}
{'短评内容': '还可以了，能住！', '短评打分': 3}
{'短评内容': '进房间沙发是坏的，窗户是坏的锁不上，洗手盘没有固定好，水龙头水量很小。洗澡的花洒水量还可以，地毯不算十分干净', '短评打分': 2}
{'短评内容': '地点合适，方便停车，服务态度好，下次再住。', '短评打分': 4}
{'短评内容': '性价比很高的酒店，宽敞、浴巾特别舒服！就是房间有点小霉味，网络用起来不是很顺畅！地理位置不错，到哪步行都方便！自驾的话，楼下停车位充足！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '服務不態度不佳，燈光太暗', '短评打分': 1}
{'短评内容': '服务不错 总的很满意', '短评打分': 5}
{'短评内容': '还可以总体来说，就是旁边车站今天下午有人跳楼，大批警察来到，有些吵', '短评打分': 5}
{'短评内容': '酒店房间挺大，卫生状况一般，水龙头水特小。', '短评打分': 3}
{'短评内容': '环境不错，价格实惠！！', '短评打分': 5}
{'短评内容': '环境不错，价格实惠！！', '短评打分': 5}
