{'descr': '还可以，快捷酒店么也就这样了，便宜', 'star': 5}
{'descr': '隔音差 装修 七点多阿姨就在那收拾 还讲话', 'star': 4}
{'descr': '隔音差 特别差 还在装修 早上阿姨七点多就开始收拾 讲话声音听的都很清楚 体验太差', 'star': 4}
{'descr': '没窗户的房间，环境很一般。隔音也不好', 'star': 4}
{'descr': '离雨润大街地铁站很近，很方便', 'star': 4}
{'descr': '就那么回事，感觉一般般！能住就行了', 'star': 5}
{'descr': '极差', 'star': 1}
{'descr': '骗子携程房间166，收我256的钱', 'star': 1}
{'descr': '叫醒服务', 'star': 3}
{'descr': '到店交通', 'star': 3}
{'descr': '一般般吧', 'star': 4}
{'descr': '酒店还行 挺方便的 干净安静', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '还不错', 'star': 5}
{'descr': '还行吧，快捷酒店也就这样了。携程预订过程发生了一些不愉快，后来也解决了。', 'star': 4}
{'descr': '一般般 还不便宜 下次不想再来了', 'star': 5}
{'descr': '交通很方便，地铁很近，超市就是在楼下，晚上楼下还有烧烤吃', 'star': 5}
{'descr': '还不错的，经济实惠，干净卫生，服务周到，下次还会去这个酒店住', 'star': 5}
{'descr': '设备陈旧，靠床的那边根本就没有打扫，马桶还是堵的，总体来说，没有其他地方格林豪泰好，性价比比较低。', 'star': 1}
{'descr': '环 境 挺 好 的  蛮 干 净  周 边 比 较  安 静', 'star': 5}
{'descr': ' 我住的是大床房，房间有点小，墙壁有些破损，其他还行', 'star': 3}
{'descr': 'haihao', 'star': 3}
{'descr': '服务差要求多，还必须信用卡担保，真不愿住此家酒店', 'star': 1}
{'descr': '服务差，人员素质低，若不是特殊原因实在不愿住到这家酒店', 'star': 1}
{'descr': '位置很偏，房间靠近马路对面有菜场非常吵闹', 'star': 1}
{'descr': '房间大，隔音欠佳！电视网络信号不佳，不过在上海应该说性价比还是高的！推荐！', 'star': 1}
{'descr': '靠近地铁 卫生间还行 服务态度不错  不过房间很小 不舒服 没有室外窗户 ', 'star': 1}
{'descr': '这个酒店太差劲了 我订到房了 去了之后告诉我没房 服务员的态度差到了一定水平', 'star': 3}
{'descr': '有窗户的就更好了。', 'star': 3}
{'descr': '这个价格，在这个地段，总体来说还是很值的。', 'star': 5}
{'descr': '酒店附近挺安静的。我觉得住着还不错。不过我住的那间有点小，房间没有对外的窗户。挺干净的，整体上不错。可以推荐。', 'star': 5}
{'descr': '隔音相当不好，房间很小，浴室简陋，空调不能操作，服务一般，唯一好的是比较干净，基本上是不会再去了。。。唉。。。', 'star': 1}
{'descr': '住的很好 就是隔音不太好', 'star': 3}
{'descr': '在长海医院附近的，感觉也就这家好点儿.但是服务只能说一般般吧', 'star': 5}
{'descr': '不错……住朝南的房，大玻璃窗，好阳光。清洁、安静。', 'star': 5}
{'descr': '酒店不错哦，住的很开心酒店不错哦，住的很开心', 'star': 5}
{'descr': '离长海医院比较近，靠近地铁站，比较方便。', 'star': 5}
{'descr': '酒店特方便乘地铁。', 'star': 3}
{'descr': '房间配置很合理，只是隔音效果稍微差了点，其他条件都不错，物有所值！', 'star': 5}
{'descr': '感觉还行，隔音不太好，隔壁电视一开就很吵，其他方面觉得还行，地铁就在旁边', 'star': 5}
{'descr': '生平住的最烂的一家酒店，一整晚没有睡好，楼上是水房，整晚都像在开战斗机，关键是让我第二天公务员考试完全没有状态，真相粗口。', 'star': 1}
{'descr': '环境很好~客房很干净~服务也不错~希望继续保持 下次还会来住的', 'star': 5}
{'descr': '房间不错', 'star': 3}
{'descr': '酒店的环境不错，位置靠近地铁交通很方便。', 'star': 5}
{'descr': '酒店卫生环境都很不错，靠近地铁交通便利，离博览中心和奥体很近', 'star': 5}
{'descr': '距离展馆比较近，也比较安静,但是周边没有什么吃饭的地方', 'star': 5}
{'descr': '设施比较简陋，不如连锁经济酒店', 'star': 3}
{'descr': '相比上海其他的宾馆，这个房间算是比较大的，卫生环境都还不错。出门就是地铁和公交车站，非常方便。附近还有便利超市和其他的，总体来说住这里是个不错的选择', 'star': 5}
{'descr': '不错的酒店 出门就是地铁  交通方便  不错的酒店 出门就是地铁  交通方便', 'star': 5}
{'descr': '没优势，门店价跟预订价一样的', 'star': 3}
{'descr': '房间便宜，在那个地点可选择的酒店不多。但房间小，并且由于住的是没窗户的房间，感觉比较压仰。', 'star': 5}
{'descr': '帮朋友预定的，这个价格在这个地方还不错的啦。', 'star': 5}
{'descr': '交通比较便利，也挺好的，价格不贵在上海来说。', 'star': 5}
{'descr': '服务很热情,周围小超市也有几个,生活挺方便的,不过卫生间的墙壁不大干净.', 'star': 3}
{'descr': '订了一晚，同样的房间续了一天，再续第二天的时候就要加钱。是这个道理么？', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '地铁很近，外出很方便，房间还可以。', 'star': 3}
{'descr': '服务很一般环境设施更一般！交通和吃饭都不方便不会再来住了', 'star': 3}
{'descr': '比较卫生，交通较方便，唯一不足，周边早餐点少，规模的早餐店没有。服务比较好。\n\n去长海医院入住较方便。离地铁站很近。。。。。。。。。', 'star': 5}
{'descr': '不错不错，订的是家庭房，房间很宽敞，床很舒服，一家三口住那是没话说。', 'star': 5}
{'descr': '环境蛮好的，价格实惠。。住的很开心。交通很方便', 'star': 5}
{'descr': '房间的隔音效果不足，中午睡觉的时候可以清楚的听到隔壁的打牌声、、其他都还好。', 'star': 5}
{'descr': '交通是很方便，只是最后一晚店里半夜厨房不知道在修什么，敲敲打打从晚上10点半开始，一夜没睡好', 'star': 1}
{'descr': '可能太晚到了，9点左右才到店的，所以入住的房间没有窗子，有点闷，不过去博览中心很近，又有地铁，方便还是蛮方便的。', 'star': 5}
{'descr': '还是没有早餐，但是能在那个环境找到这样的酒店，也只能是感谢上帝', 'star': 5}
{'descr': '离博览中心很近，交通方便，吃饭也方便，不错', 'star': 5}
{'descr': '房间卫生还可以，灯光不太好，还有就是隔音效果太差', 'star': 1}
{'descr': '交通还算是蛮方便的，因为附近就是地铁出口，本来还算是不错的，可是住在那里的最后一晚，楼下一楼的厨房敲敲打打不知道在干嘛，晚上十点后开始的，到凌晨不知道几点，我是睡着后又被吵醒的，结果一晚都没有睡好。', 'star': 1}
{'descr': '好!', 'star': 3}
{'descr': '感觉不错', 'star': 3}
{'descr': '酒店里的环境真的不敢恭维，还有两个灯坏了。。。\n但是前台的服务态度还是很好的。。。', 'star': 1}
{'descr': '环境好，安静，参加活动住的，离奥体近，前台服务还不错', 'star': 5}
{'descr': '离奥体近，比较方便，周边吃饭也比较好，晚上安静', 'star': 5}
{'descr': '位置就在地铁站附近，就是附近有点偏僻\n住的是大床房，空间确实是小了点，但整体清洁不错，前台服务不错，热水也够热\n就是厕所真的不是普通的小', 'star': 5}
{'descr': '酒店附近的交通比较方便，但是房间太小，特别是洗手间太小。', 'star': 5}
{'descr': '开业小半年，里面设施全新，也很干净，就是有点小偏，交通不怎么方便。', 'star': 5}
{'descr': '性价比不错，交通也很方便，2号地铁在雨润下，出口5分钟的样子。\n入住时的服务员态度不好，离店时换了一个，态度不错。\n希望在态度上有所改进。', 'star': 5}
{'descr': '房间的卫生很干净不错的酒店地势也非常的好，出了雨润大街的地铁口就是酒店', 'star': 5}
{'descr': '不错的酒店  前台的服务各个方面都非常的热情  房间是整体卫浴的', 'star': 5}
{'descr': '不好意思~因为临时变更出差安排，未能入住该酒店，但还是谢谢你们的及时服务~希望以后能够前去体验。。。', 'star': 5}
{'descr': '电视不错，平板的，很新，就是卫生间太小了，什么时候改进一下是的', 'star': 5}
{'descr': '理解力气活该说，什么也不会用那怎么样就快乐时光。', 'star': 5}
