{'短评内容': '不错……。', '短评打分': 4}
{'短评内容': '垃圾酒店，wifi完全不能用，害得工作没完成。真是垃圾中的垃圾', '短评打分': 2}
{'短评内容': '没有电视看，郁闷！很难找，导航找不到', '短评打分': 4}
{'短评内容': '酒店的位置很好，出门几分钟就是万达广场，吃东西非常方便，装修也不错，看上去很精致很舒服，前台的服务态度也很好，妹子人美态度好。美中不足的是二楼在装修，三楼会闻到墙漆的味道。', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 1}
{'短评内容': '你们好。你们需要订七天酒店的 全部不要订。太垃圾了。我订了居然取消不了。我人都没进去入住就必须要收我的钱。一毛钱都退不了。服务又差。打电话没人接听的。劝你们不要订七天的房间。后果自负', '短评打分': 1}
{'短评内容': '房间小，无窗户，空气不流通，门锁不停到响', '短评打分': 1}
{'短评内容': '简直和小旅馆一样', '短评打分': 1}
{'短评内容': '一如既往的好！', '短评打分': 5}
{'短评内容': '一直都住这家，很喜欢！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '位置很方便，离万达不远，但隔音比较差', '短评打分': 4}
{'短评内容': '好可以还可以还可以还可以还可以', '短评打分': 4}
{'短评内容': '孤孤单单方法更好基金和 v 尺寸宽胎牛皮', '短评打分': 4}
{'短评内容': '住了一个晚上，房间里可能是不通风的原因，有股味道；隔音不是很好；卫生还是可以的', '短评打分': 4}
{'短评内容': '近。方便', '短评打分': 5}
