{'短评内容': '挺不错的，服务，卫生', '短评打分': 5}
{'短评内容': '订单128，店里说只收到110，发票开110！', '短评打分': 5}
{'短评内容': '位置好，对面就是购物中心，不错的', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '昨天睡的房间灯坏了关不了，跟前台说了一下今天就换了房间，服务挺好的', '短评打分': 3}
{'短评内容': '房间还不错，前台也挺好的', '短评打分': 3}
{'短评内容': '便宜方便，干净卫生，挺好的，老顾客了，下次还来', '短评打分': 3}
{'短评内容': '厕所设施较差。。。。。。。。。。', '短评打分': 3}
{'短评内容': '其它都还不错，就是被子太潮了。', '短评打分': 4}
{'短评内容': '设备旧了一点，空间还行。离汽车站近！', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '位置很好', '短评打分': 4}
