{'短评内容': '早餐很丰富，味道也可以', '短评打分': 5}
{'短评内容': '早餐很丰盛', '短评打分': 5}
{'短评内容': '环境不错的', '短评打分': 5}
{'短评内容': '不错！还可以', '短评打分': 5}
{'短评内容': '五分好评！一，交通，枣庄西站下车坐BRT大概四五站，再走200米就到。靠近运河。二，免费早餐，管饱。三，住宿干净整洁，隔音较好，半夜能听到附近的卡拉OK，但是还好。价格好评！', '短评打分': 5}
{'短评内容': '酒店位置很好找', '短评打分': 5}
{'短评内容': '总体来说还是不错，就是价格偏高了点', '短评打分': 5}
{'短评内容': '本来预定无早餐，但到店后讲酒店提供免费早餐。早餐卫生可口，尤其是豆粥、小咸菜好吃。', '短评打分': 4}
{'短评内容': '环境还可以，洗澡热水供应及时，只是晩上还有蚊子，能备驱蚊药水就好', '短评打分': 3}
{'短评内容': '对得起这价，性价比高！！！', '短评打分': 5}
{'短评内容': '酒店比较老整体感觉不是更好，主要是价格便宜', '短评打分': 3}
{'短评内容': '酒店比较老整体感觉不是更好，主要是价格便宜', '短评打分': 3}
{'短评内容': '很好，还有早餐，很满意', '短评打分': 3}
{'短评内容': '酒店周围环境不错，房间卫生需要加强～', '短评打分': 4}
{'短评内容': '很合适', '短评打分': 5}
{'短评内容': '垃圾中的战斗机！还污蔑房客消费没消费的东西！', '短评打分': 2}
