{'短评内容': '马马虎虎，老酒店了，热水不太好。位置还算方便', '短评打分': 3}
{'短评内容': '房间大 ', '短评打分': 5}
{'短评内容': '感觉不错的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '早餐不错，酒店位置在市中心', '短评打分': 4}
{'短评内容': '一大家子出游，选择狼腾国际商务酒店，听这名字挺牛的，但里面的装修和设施的确很好，卫生也干净，房间宽敞明亮，出行很方便，边上饭店和小吃店。', '短评打分': 5}
{'短评内容': '预定的是商务套房，需然有点小贵，但里面设施很好，房间空间挺大，卫生很干净，床很舒服，值得入住。早餐很好，', '短评打分': 5}
{'短评内容': '很好，很好，很好，很好，必须得点赞', '短评打分': 5}
{'短评内容': '很好很舒适的一次出行，房间干净卫生，前台小妹很热情，交通便利，出行方便，早餐不错，性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '经常住这里，还不错，前台小妹漂亮又可爱', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店还行，就是骚扰电话和广告太多，影响休息', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还行，不错，有电脑的房间。。。。', '短评打分': 5}
{'短评内容': '好、.、ccvvvvvvv', '短评打分': 3}
