{'短评内容': '挺干净，酒店服务员都很热情。', '短评打分': 5}
{'短评内容': '第二次住在这里了，离万达近，吃饭方便，旁边有水果店，房间大干净，晚上安静。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 4}
{'短评内容': '环境非常好，我都住了一个礼拜了！', '短评打分': 5}
{'短评内容': '位置不错，环境非常的好', '短评打分': 5}
{'短评内容': '很好，环境不错，干净卫生。', '短评打分': 5}
{'短评内容': '宾馆还可以住了，价格不贵', '短评打分': 5}
{'短评内容': '网络不成，早餐形同虚设，只是地点还算可以交通比较方便，其它的嘛，真的算是差强人意了。不过好在便宜，还算欣慰吧。', '短评打分': 3}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '客房里没有牙具，但你可以向客服要，不要就没有。电视机遥控器不好用。设施有点旧。但位置停好，旁边是医院。离万达广场也不远。', '短评打分': 4}
{'短评内容': '在', '短评打分': 3}
{'短评内容': '还好拉！不错不错！卫生什么的都蛮好的！交通也蛮方便的！旁边就是万达广场，也很方便，都还蛮近的啊！棒棒哒', '短评打分': 5}
{'短评内容': '环境比较干净', '短评打分': 5}
{'短评内容': '非常不好，总有噪音！！！！！', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '很不错，干净卫生，网络信号好', '短评打分': 3}
{'短评内容': '连个牙具都没有，估计是忘了！', '短评打分': 4}
