{'descr': '老板挺热情的，房间也还好。！！！', 'star': 3}
{'descr': '从门外过了一下，看见感觉就是一家庭旅馆，没进去*', 'star': 3}
{'descr': '位置比较偏！环境很一般！有些失望！', 'star': 3}
{'descr': '酒店差，有些失望。主要没空调，卫生也差，周边环境乱也没灯', 'star': 1}
{'descr': '服务不错，环境不好', 'star': 2}
{'descr': '这个价格还不错', 'star': 3}
{'descr': '感觉这次的选择很正确，一是地址很满意，是我想要的地方，离红博地下广场很近，离民航大厦也很方便。第二，服务态度非常棒，本来定的双人间，两个大人带个小孩儿，服务员主动给换了家庭房，一张双人床，一张单人床。很温暖，很贴心。卫生条件嘛，干净舒适，是比较经济实用的。很满意，下次还会再入住的。', 'star': 5}
{'descr': '挺干净的，挺安静的，这两点是我最喜欢的。', 'star': 5}
{'descr': '价格合理  服务一般  卫生条件不错  周边吃饭特方便', 'star': 5}
{'descr': '房间很大住的很舒服,离秋林商圈很近,服务太度也很好的', 'star': 5}
{'descr': '＋地理方便，但处于单行道上。地址说明为中山街和永和街交口，但短信通知没有注明。最后给出租司机多绕了三十元路程', 'star': 3}
{'descr': '总体来说还是很不错的，房门坏了，工作人员很热心的忙上忙下修好的，态度也很好，房间的网速也很快，唯一不足就是卫生间小了点，尤其是淋雨那，伸不开手脚！', 'star': 5}
{'descr': '很好的酒店，位置很好，附近有沃尔玛，去果戈理大街建设街很方便。', 'star': 5}
{'descr': '酒店房间太小，发现床单不干净要求换，却态度不是特别好，希望再努力哦！', 'star': 3}
{'descr': '说好免费宽带，结果只有网线没有网，晚上有些冷，空调不能使，环境安静，干净！总体还不错！', 'star': 3}
{'descr': '还算干净，屋子比较小，卫生间是透明玻璃的不方便。', 'star': 3}
{'descr': '地段繁华，交通方便，地处商业、行政中心，物美价廉，环境服务较好，靠近工人文化宫，省政府，沃尔玛超市，挨着果戈理大街，附件商业圈多', 'star': 5}
{'descr': '比较方便，安静 ，网络服务都比较全面，推荐到哈尔滨的朋友来住。', 'star': 5}
{'descr': '高举架的房间，孩子特别喜欢二楼的卧室。只是空调安装的位置太低了，一楼已经很冷了而二楼还是闷热难耐。', 'star': 5}
{'descr': ' 服务太差了，擅自提价，说第二三天的加四十元一天，莫名', 'star': 1}
{'descr': '六点到', 'star': 3}
{'descr': '六点到', 'star': 3}
{'descr': '挺不错的 环境好 隔音效果好 出入方便 出入有门禁系统 ', 'star': 5}
{'descr': '满意，环境挺好', 'star': 3}
{'descr': '该酒店是我在哈尔滨遇到的最差的酒店,刚到店的时候,告诉我没有POS机,没法刷卡,因为ELONG有信用卡担保,所以没办法,只能顶着零下20多度的寒风去外面取钱。\n到了房间里，发现房间里有电脑，但是要10块钱一天，因自己有本子，本想连上网上直接使用，结果发现网线连半米都不到，因有紧急邮件要发，只得钻到桌子底下去发。后来问酒店服务台，大哥说“我也没办法，装修成这个，没招”，服了！其实他的网线只要换个墙壁', 'star': 1}
{'descr': '一般，房间小，而且卫生间没有挡帘。床单和被单都比较旧。', 'star': 1}
{'descr': '经济实惠，在市区，挺方便，但是没有停车场~不太方便', 'star': 5}
