{'短评内容': '早餐还可以，卫生还算干净，', '短评打分': 4}
{'短评内容': '有停车场，交通很方便', '短评打分': 5}
{'短评内容': '住过多次，设施服务都好！24小时前台都很客气！屋内冰箱可以用！对我这种喜欢冰水的同志来说简直不要太幸福', '短评打分': 5}
{'短评内容': '能➕床，早餐没有吃，有停车场', '短评打分': 5}
{'短评内容': '有停车场、位置好找、环境安静', '短评打分': 5}
{'短评内容': '方便出游', '短评打分': 4}
{'短评内容': '酒店设施太旧了，卫生间浴帘脏的很，酒店服务也一般', '短评打分': 2}
{'短评内容': '酒店整体感觉还是不错的。性价比还算不错。', '短评打分': 5}
{'短评内容': '周边环境不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务周到，设施齐全，地理位置优越，交通方便，附近有地铁口。', '短评打分': 5}
{'短评内容': '总体还可以，设施不全，主要是来考试', '短评打分': 5}
{'短评内容': '酒店有点旧，装修一下可能会好点。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好......................', '短评打分': 3}
{'短评内容': '   不知道别人的点评怎么来的，定这个酒店是我最大的失误，酒店的设施还可以，就是交通极其不便，别人点评的交通方便不知怎么来的，根本就打不到车，得自己拖着行李箱去挤公交，连个门童都找不到，退房叫行李生也没有，而且离公交车站也很远。叫前台帮帮忙叫出租车，告诉我们没办法，简直不知道说什么好。想赶时间想都别想。', '短评打分': 1}
{'短评内容': ' 服务一流，干净，卫生，东湖边上，环境优雅，推荐。', '短评打分': 3}
{'短评内容': '干净卫生，设施齐全，交通方便,价格适中，很好。', '短评打分': 5}
{'短评内容': '湖景房非常不错，相对安静，只是早餐稍微简单，如果房费可不包含早餐费用更好', '短评打分': 5}
{'短评内容': '我是通过网上预订的，到店后成功入住。酒店距离主干道大约100米，环境很好，比较安静；早点的品种还多，餐厅幽雅。', '短评打分': 5}
{'短评内容': '宫莉7003', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '第二次入住，不错的酒店。空调制冷效果一般，早餐有待提高。', '短评打分': 5}
{'短评内容': '不错的酒i店，就是网速有点慢。需要改进，其他的还可以', '短评打分': 5}
{'短评内容': '很好。就是早饭差了点//////////////////////////////', '短评打分': 5}
{'短评内容': '酒店不错，环境很好，交通也方便。下次还会入住，希望标间能够含双份早餐。', '短评打分': 5}
{'短评内容': '设施不错房间够大，早餐尚可，网络有待改进。', '短评打分': 3}
{'短评内容': '不错，房间够大，价格公道，值得一试，还会选择', '短评打分': 5}
{'短评内容': '不错的酒店，干净、整洁。房间对面就是东湖，景色也不错。早餐的种类不多，但搭配的较合理，营养问题不用担心。唯一遗憾的是只有套房才有大床，其他房间都是双床。', '短评打分': 5}
{'短评内容': '环境好，在东湖边，比较清静，但知道这个地方的司机不多', '短评打分': 5}
{'短评内容': '房间很干净，卫生很好的一家酒店，还不错。', '短评打分': 5}
{'短评内容': '位置非常好，能看到东湖的风景。环境也很舒适。', '短评打分': 5}
{'短评内容': '价格稍微有些高，环境设施都没有问题。', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施还是比较齐全达标的，地理位置有些。', '短评打分': 5}
{'短评内容': '设施配置都比较雅致，给人很舒适的感觉。', '短评打分': 5}
{'短评内容': '管理还不错，服务也很好。房间很卫生。', '短评打分': 5}
{'短评内容': '酒店感觉还是比较新的，大堂装修的挺气派，房间里挺时尚的。', '短评打分': 5}
{'短评内容': '酒店的配套设施挺齐全的，餐厅啊、健身啊、会议室啊、都有，住的人蛮多的，整体感觉还是不错的。', '短评打分': 5}
{'短评内容': '酒店的位置不错，离东湖挺近的，周边交通也挺便利的。', '短评打分': 5}
