{'短评内容': '很温馨的酒店', '短评打分': 3}
{'短评内容': '冰箱是坏滴 住了两天 也没有说给换的意思 ', '短评打分': 1}
{'短评内容': '地理位置挺好，房间设施也不错，就是楼道很恐怖', '短评打分': 5}
{'短评内容': '房间比较大，有厨房，价钱还便宜，交通方便，驾车到海边只用二十分钟，推荐', '短评打分': 5}
{'短评内容': '服务不错，就是洗衣机是双缸的，其它挺好。', '短评打分': 5}
{'短评内容': '房间很不错,设施齐全,只是空调声音有点儿大\n\n', '短评打分': 3}
{'短评内容': '1.位置不错就是入口不好找\n2.吃嘛周边高低中档都有\n3.玩周边KTV 电玩  都有\n4.住 本人订的豪华大床房（2218房）因媳妇手艺不错特别找带灶具的公寓 网上写53平米 实际步量36-40平米  因地板颜色较暗感觉整个房间有些不舒服，特别难受的是床上被褥的味道，一闻就是没晾干而且是在屋内晾的同时与其它不明物品混洗的一股饭馊味道。另灶具饭锅底长锈同时厨具较少，一盘一碗一勺（我想是前身是单身汉住', '短评打分': 1}
{'短评内容': '浴室花伞有问题、没有衣挂、墙壁多处有蚊子的血迹、被子有汗味。', '短评打分': 3}
{'短评内容': '从后门走离肯德基，金街，天缘超市，吃饭的地都很近很方便，客服小伙子很热情，只是电梯里还有隔板没拆掉有些脏，电视老些不过频道超全，带电脑可以上网，有煤气抽油烟机能做饭，感觉还好', '短评打分': 5}
{'短评内容': '第一次入住公寓式酒店，感觉还不错。就是开车进门时小区门卫不太配合，不愿意给开门，希望酒店和物业进一步协调好。', '短评打分': 5}
{'短评内容': '我订的是VIP大床房，基本还不错，我们是三口人一起去的，住了八天，最大的好处是可以做饭，比在酒店好多了，但有一点是可以肯定的，床绝对不是一米八的，是一米五的，我们有一个人一直睡在沙发上，卫生还可以，性价比较高。', '短评打分': 5}
{'短评内容': '还行吧，设施比较陈旧，但是价格比较好，而且一些设施也很有味道，推荐一下。。。。。。', '短评打分': 5}
{'短评内容': '干净，安静，方便，热水不错。就是锅里有糊饭，冰箱里有剩东西希望下次检查干净。', '短评打分': 3}
{'短评内容': '酒店在市中心，位置很好找，旁边有KFC，不过里面的设施每间房子都不一样，可以带狗，大家一起去感觉很不错', '短评打分': 5}
{'短评内容': '酒店在市中心，位置很好找，旁边有KFC，不过里面的设施每间房子都不一样，可以带狗，大家一起去感觉很不错，会推荐的', '短评打分': 5}
{'短评内容': '环境较好，交通方便，可以自己做饭，不过厨具不是很干净，望店家改善，总的来说还不错，推荐入住', '短评打分': 5}
{'短评内容': '附近小区环境很好~~~保卫一流，可是房间有点小，我是200的大床房，没有网络，不爽。。。。。。用具俱全，就是如果想自己煮饭，还要买油盐酱醋呢。。。。结果还是在外面吃了', '短评打分': 5}
{'短评内容': '房间设施环境比较不错，我很满意，下次还会来', '短评打分': 5}
{'短评内容': '老板人不错很热情，设施很齐全，不过能用上的不多，虽然在热水器的问题上有点小问题，不过总体来说还不错', '短评打分': 5}
{'短评内容': '不错不错，酒店在小区里面，公寓式的，还有洗衣机 有厨具，价格便宜 面积要比正式的酒店大，很好', '短评打分': 5}
{'短评内容': '环境不错、就是去的时候房间还没有打扫呢。可能是比较忙，不过总体挺好的。', '短评打分': 3}
{'短评内容': '就像我家的小区一样，隔音略差点，热水器挺给力，去年在北戴河住的家庭旅馆是太阳能的大家都洗澡到下午就洗不了澡了，以后来玩还住这里！', '短评打分': 3}
{'短评内容': '\n感觉不错，还会来住。', '短评打分': 3}
{'短评内容': '优点：环境非常不错 干净 整洁 配套设施齐全 服务态度周到 位于秦皇岛市市中心 交通便利 小区环境优美\n缺点：发现厨具没有清洗 锅脏的不能用 有线电视欠费 只能看3-5个当地频道 ', '短评打分': 5}
{'短评内容': '不错 老板超级热心~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店环境还可以，地理位置不错，去哪都很方便。一个人住空间足够了。', '短评打分': 3}
{'短评内容': '条件一般，缺乏停车位，室内缺乏必要家具！', '短评打分': 5}
{'短评内容': '房间不错很好 我订的是主题大房 有家的感觉 很干净 下次还会再来的 ', '短评打分': 3}
{'短评内容': '不错，干净，设备也特全，管事的小哥还特热情，就是后来去孟姜女庙的时候被那的工作人员骗了，本身那就没什么可看的，在加上被当地的人骗了一下，还被黑车宰了一下（京A47213），报了110也不管用，再也不想去那了，', '短评打分': 5}
{'短评内容': '还不错。价格合理，干净，交通便捷，值得推荐', '短评打分': 5}
{'短评内容': '房间很干净,设施很齐全,价格合理,位置也在市中心那边,很不错,强烈推荐~', '短评打分': 5}
{'短评内容': '很不错，很物超所值，在那里很有家的感觉，而且交通便利，离市中心很近，环境很好', '短评打分': 5}
{'短评内容': '还算不错，很温馨，就是卫生差点·整体都挺好·有点难找·', '短评打分': 5}
