{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '位置不错，设备老旧些', '短评打分': 4}
{'短评内容': '豪华大床房，现在这个价位还是比较厚道的。卫生间还是干湿分离的，卧室的采光也是非常理想的，有些设备该更新了。', '短评打分': 4}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '非常不错，性价比超高', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '1111111111111111111', '短评打分': 5}
{'短评内容': '酒店真的太好了，前台服务很好，很热情，两个小伙子也很帅气，房间很干净，下次还会入住', '短评打分': 5}
{'短评内容': '早餐吃得好！卫生好！', '短评打分': 5}
{'短评内容': '交通便利，早餐不错！卫生好！', '短评打分': 5}
{'短评内容': '很不错，房间安静干净', '短评打分': 5}
{'短评内容': '这个价格可以，其他又能接受', '短评打分': 3}
{'短评内容': '设施略显陈旧，其他还好', '短评打分': 4}
{'短评内容': '性价比高，对面的饺子馆很赞??，强烈推荐！', '短评打分': 5}
{'短评内容': '酒店位置还可以吧，周围有很多公交车。房间大小一般，上网也可以，比较便宜，性价比还不错。下次来还可以住这。', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '住宿条件还可以！', '短评打分': 4}
{'短评内容': '位置好，舒适，干净就是房费不含早餐不好', '短评打分': 3}
{'短评内容': '实在是太老了，空调很差，换了房间依旧无法正常使用，原来美好的记忆不存在了。', '短评打分': 1}
{'短评内容': '干净舒适。非常好的酒店。', '短评打分': 3}
{'短评内容': '不错  很安静！周边吃饭 也方便 离星海广场 也比较近 。交通也方便', '短评打分': 5}
{'短评内容': '酒店位置、服务、早餐都不错，信价比高，下次还会入住。', '短评打分': 5}
{'短评内容': '五一期间去的，单人间和平时的价格一样，服务人员的态度都很好，房间住的也很舒服，环境也不错，还在楼下餐厅点了份水煮牛肉，味道不错，总之下次去大连还是会去的。', '短评打分': 5}
{'短评内容': '环境一般吧，没有如家汉庭那些连锁酒店好.位置还算比较好找吧', '短评打分': 5}
{'短评内容': '停车比较方便，旁边就是医院、酒店环境一般，', '短评打分': 5}
{'短评内容': '还不错，加个便宜，环境也还过得去。周边交通方便', '短评打分': 5}
{'短评内容': '酒店还不错，挺干净的，就是内部装修古朴了点，淋雨还是浴缸那种，隔音不太好，总体来说这个价位还可以', '短评打分': 5}
{'短评内容': '去大连每次都住这，便宜。定的小单间，小但温馨。麻雀虽小五脏俱全。', '短评打分': 5}
{'短评内容': '房间不错，周围环境很安静', '短评打分': 3}
{'短评内容': '一如既往  干净  床够大  就是停车稍微有点难 ', '短评打分': 5}
{'短评内容': '酒店条件很好，干净。如果价格再便宜一点就好了', '短评打分': 3}
{'短评内容': '酒店很干净，服务态度也不错，出行也比较方便，个人觉得很好', '短评打分': 5}
{'短评内容': '实在是对这个房间的味道无语了，不晓得到底是什么，以至于不得不大冬天的开着窗户睡觉，无语了', '短评打分': 1}
{'短评内容': '房间空调送风的味道比较大，也不晓得是哪里来的味道，郁闷啊', '短评打分': 5}
{'短评内容': '所处地段很好，附近很多吃好吃的地方，设施还行，也很安静，不过屋里没有吹风', '短评打分': 5}
{'短评内容': '酒店单间性价比高，自己出差时每次基本会选择入住，周围吃饭也比较方便，购买水果也很便利。以后还会选择。', '短评打分': 5}
{'短评内容': '房间数超多，旅游高峰时的不二选择，就是房间有些小，设备略显陈旧。', '短评打分': 5}
{'短评内容': '床干净', '短评打分': 3}
{'短评内容': '走廊和房间里的味道还是存在，就是不晓得从哪里来的，这次的大床房终于是真正的大床房了，还不错', '短评打分': 5}
{'短评内容': '酒店没什么可挑剔的，不过，大床房居然是两张单人床拼在一起的，这个真的没想到，虽然这样床的确很大，但是居然床垫也是两个，这样中间就没法睡了，还是个单人床啊！另外，走廊、房间里都有味道，就是那种类似刚装修后的味道，但是感觉酒店不是刚装修的，没搞清楚味道的来源', '短评打分': 5}
{'短评内容': '早餐8点30半后，就基本是凉的，酒店不可能不注意到这个情况，不为客人着想，缺点点服务意识，其他的都可以', '短评打分': 5}
{'短评内容': '性价比不错，不过单间好小~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '位置合适，干净卫生，比较宽敞。价格也比较合适，值得推荐', '短评打分': 5}
{'短评内容': '出差不见客户端时候，住经济性酒店大都会选择川王府，就是有点旧。', '短评打分': 5}
{'短评内容': '房间性价比较高，相对于房价，设施较新，早餐一般，可以去外面吃，', '短评打分': 5}
{'短评内容': '一如既往的好，服务超一流，餐厅菜也很好吃，强力推荐入住。', '短评打分': 5}
{'短评内容': '宾馆环意，服务，卫生都非常好，值得再次入住', '短评打分': 5}
{'短评内容': '帮同事订的了，性价比高啊，套间不到300，这个价格很难得。', '短评打分': 5}
{'短评内容': '我是给同事订的，同事是回头客，应该是不错吧。', '短评打分': 5}
{'短评内容': '酒店房间虽小，但很干净，楼下就是美食城，很方便', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 3}
{'短评内容': '大厅可以，房间太旧，比我几年前去的还差。位置也不是太好', '短评打分': 1}
{'短评内容': '性价比高，主要停车方便，房间也够大，推荐', '短评打分': 5}
{'短评内容': '酒店太旧了，看着卫生不太好，尤其地毯太脏了，但床很大，比较舒服！', '短评打分': 3}
{'短评内容': '酒店的位置不错，房间也比较宽敞，以后有机会还会入住', '短评打分': 5}
{'短评内容': '环境一般，房内设施很简单，吹风机也没有,觉得性价比不高', '短评打分': 5}
{'短评内容': '酒店设施很旧，不值这个价', '短评打分': 3}
{'短评内容': '还不错。宾馆最重要的就是舒。这个时间段这个价格。表示满意。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '入住办理很快，不是很繁锁，前台服务员态度十分的好。所在区域环境很好。单间都朝阳，服务很满意。有需求电话个就有解答的。下次还来\n \n', '短评打分': 3}
{'短评内容': '环境位置都不错', '短评打分': 3}
{'短评内容': '酒店舒適度還行.服務員態度不好', '短评打分': 3}
{'短评内容': '酒店不错，服务也挺好，下次还住！', '短评打分': 3}
{'短评内容': '环境很好，安静，去市中心很方便，房子再大5平方就更好了，最好带早餐', '短评打分': 3}
{'短评内容': '就是房间设备有点陈旧了其他还好,再就是门不大好找', '短评打分': 5}
{'短评内容': '房间有点小，设施有点陈旧', '短评打分': 3}
{'短评内容': '常给朋友订到那里，感觉挺方便的，房间也够大，卫生条件也不错.室内阳光也够足，窗帘遮光也不错。感觉很实惠.朋友也挺满意的。', '短评打分': 5}
{'短评内容': '暑期性价比高。             位置尚可。  ', '短评打分': 5}
