{'短评内容': '不错，交通方便。', '短评打分': 5}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间非常整洁,价格很实惠。服务挺好,帮忙把行李送到房间，一路还有简单介绍，常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '酒店前台服务人员和保安大叔都很好。由于正在装修门前搭了很多架子后边紧挨着工地整夜都在施工，房间设施还可以就是卫生差了些，从来没住过这么脏地毯的酒店', '短评打分': 3}
{'短评内容': '不错挺好的环境也好', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '多次入住这个酒店，周边唱歌，吃饭，24小时的餐厅一堆，交通也很方便，设施完善，下午放学后边有个学校，比较吵，但是就一会，房价也合适。', '短评打分': 5}
{'短评内容': '房间不错，楼底下吃的多，就是空调老化，达不到凉的效果', '短评打分': 5}
{'短评内容': '房间不错，就是空调达不到凉的效果，老化。', '短评打分': 5}
{'短评内容': '1．图片和实际房间严重不符;2．前台工作人员态度恶劣！', '短评打分': 2}
{'短评内容': '酒店硬件不错 服务一踏糊涂 大厅里好像社会闲杂人员比较多！象个黑社会！！！', '短评打分': 4}
{'短评内容': '该酒店服务，价格及环境都很好！', '短评打分': 3}
{'短评内容': '价格小贵，每次住都是没有其他合适的，这里离吃饭唱歌的地方近而已，单就房间而言，一般般。', '短评打分': 3}
{'短评内容': '可以的，挺不错的。下次', '短评打分': 5}
{'短评内容': '环境太差', '短评打分': 1}
{'短评内容': '＋环境不错 就是入住手续办理的太慢 房子地暖不太热 不过空调制热就弥补了', '短评打分': 3}
{'短评内容': '酒店条件不错，服务也很好。周边环境还行。对得起这个价格', '短评打分': 5}
{'短评内容': '如果酒店有自己的停车场就好了。车老是没地方停', '短评打分': 5}
{'短评内容': '酒店条件不错，周边交通也方便。就是搞卫生不是太及时。有时一天都没人搞卫生', '短评打分': 5}
{'短评内容': '枕头太少，早上无冷水。幸好热水不太烫。其他还可以。', '短评打分': 3}
{'短评内容': '感觉不错…环境也可以…离商区比较近', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '房间比较干净。配置的电脑都带摄像头，速度一般，可以满足网页浏览。\n该有的基本上一应俱全。\n服务态度比较好，两个月前丢失的充电线虽然没有找到，不过前台给重新找了一个同型号的充电器，赞一个。', '短评打分': 5}
{'短评内容': '价格实惠，干净卫生，还好啦。相比乌鲁木齐其他的酒店都价位好高的，感觉很难承受。这个，符合我们对价格的承受能力，环境也还好的。', '短评打分': 5}
{'短评内容': '这家酒店不错，环境好卫生也好，服务热情周到，价格也合理。购物也方便，吃饭也方便而且离市中心也近，总之这家酒店不错', '短评打分': 5}
{'短评内容': '酒店前台很亲切，地理位置也还过得去，附近吃饭还算方便。', '短评打分': 5}
{'短评内容': '小小的酒店，还算干净，先给的房间进去有股怪味，要求换房就给换了，重要的是可以免费上网，这很重要，因为初到这里一切都不熟，上网查询很方便。就是酒店后面好像有施工，每晚有很多施工车经过，很吵。建议不要接受酒店推荐的旅行社，很贵，我们去南山每人150，天池每人200元。结果中旅报名费南山70元，天池150元，差距很大的。可以去周围大的酒店旁有正规的旅行社，都是明码标价。', '短评打分': 5}
{'短评内容': '小巷停车，不安全！房价还可以。距离东环干果市场及大巴扎不太远。', '短评打分': 1}
{'短评内容': '环境不错，位置也很好，交通便利，就是浴室的地板太滑了，小心点', '短评打分': 5}
{'短评内容': '感觉一般\n比如家差点\n窗户很小\n客房配置一般', '短评打分': 5}
{'短评内容': '才一年的酒店。就那么旧。.。。。。。。。。。。。。。。', '短评打分': 1}
