{'descr': '服务态度不错，住的很舒服', 'star': 5}
{'descr': '酒店位置不错，离石家庄目前唯一的地铁换乘站—新百广场站步行约7、8分钟，周围大卖场、小吃挺多的，坐地铁能到大部分景点跟便捷。卫生条件不错，前台态度好，房间位置临街晚上有点吵，不过别的内侧的房间应该没有这个问题。推荐来石家庄出差游玩的可以考虑。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '位置好，干净卫生，早餐丰富！', 'star': 5}
{'descr': '性价比最高的选择', 'star': 5}
{'descr': '环境很好不错', 'star': 5}
{'descr': '环境，服务，都很好，', 'star': 5}
{'descr': '前台服务好，环境优雅，卫生干净，位置方便，很不错的哟…………好好好', 'star': 5}
{'descr': '这个为其他朋友订的，感觉物美价廉', 'star': 5}
{'descr': '价格还可以，离学校比较近', 'star': 5}
{'descr': '不错不错', 'star': 5}
{'descr': '酒店环境不错，服务员态度也不错，住了两次都很好，下次还住这里', 'star': 5}
{'descr': '不错', 'star': 4}
{'descr': '价钱合适 环境一般 只能说还可以吧', 'star': 5}
{'descr': '服务很好，住过的同等价位中服务最好的，周边也方便，就是酒店有些老了，', 'star': 5}
{'descr': '常去的宾馆，各项都很不错，物美价廉', 'star': 5}
{'descr': '还凑合 其实有点贵 相对于酒店的硬件', 'star': 5}
{'descr': '感觉 还不错。下次再入住吧，要是早餐免费就好了。', 'star': 5}
{'descr': '每次去石家庄都住那里，方便，酒店比较安静、卫生还不错。', 'star': 5}
{'descr': '服务员态度很好，酒店的环境总体也很不错，值得推荐。', 'star': 5}
{'descr': '干净，方便，清静。离火车站2，3公里的样子。', 'star': 5}
{'descr': '酒店很好，设施很新，住着很舒服！下次还会选择入住1', 'star': 5}
{'descr': '房间还可以..厕所味道比较大..隔音不好..', 'star': 3}
{'descr': '还行，物有所值！价格挺便宜的', 'star': 3}
{'descr': '不错的酒店，价格比较便宜，房间也比较大，超值', 'star': 5}
{'descr': '不错的酒店，房间比较大，在市中心，比较方便', 'star': 5}
{'descr': '房间还可以，挺干净的！就是比较偏，但是比较安静，可以适合在外出差人士居住！', 'star': 5}
{'descr': '不错，房间大', 'star': 3}
{'descr': '酒店隔音效果太差，外边马路很吵，半夜隔壁好像在唱歌，服务员敲门两次，服务不咋的。', 'star': 1}
{'descr': '酒店隔音效果太差，隔壁和楼道声音听得一清二楚。', 'star': 1}
{'descr': '隔音效果太差，空调没遥控。服务挺好。结账入住速度挺快。', 'star': 5}
{'descr': '环境很好，干净卫生，有家的感觉，服务态度非常好，打电话说需要开空调，很快就把遥控器送上来了。只是卫生间有点冷，天花板不严实，透风，隔音效果也不太好。总体来说很满意，祝越办越好！', 'star': 5}
{'descr': '呵呵，住了不止一次了。特别值得一提的是电脑出了问题，服务人员帮我折腾了很久，终于搞定了。估计他晚饭都没来得及吃，让我非常感动。', 'star': 5}
{'descr': '房间很小，尤其是淋浴房，转个身都困难，完全达不到其他城市莫泰的标准。更重要的是，隔音效果很差，在走廊里可以听到房间里的声音，在房间可以听到隔壁的声音，隔壁房间嘿咻的声音……', 'star': 1}
{'descr': '很好 第二次入住了', 'star': 3}
{'descr': '干净卫生，交通方便！////、。。。、。、。，。。。', 'star': 5}
{'descr': '交通挺方便的，酒店也挺干净的，下回去还会选择', 'star': 5}
{'descr': '性价比不错 推荐入住', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '位置很好，离火车站超近的，周边也有不少吃的，服务也是可以的！', 'star': 5}
{'descr': '服务超好，卫生不错，周边环境也不错，特别是公园，近在咫尺，起早的朋友可以去转转，很是遐意。', 'star': 5}
{'descr': 'Clean and convenience. The family room size is big', 'star': 5}
{'descr': 'Clean and convenience, near bus station. ', 'star': 5}
{'descr': '客房设施比较旧，空间窄小，窗外恶劣，对不起它的价格！', 'star': 1}
{'descr': '比想象中还要好，呵呵~交通方便，安静，又能逛街，哈哈！', 'star': 5}
{'descr': '整体还不错，比汉庭好多了，橘黄色的风格很好看', 'star': 5}
{'descr': '成功入住', 'star': 3}
{'descr': '酒店不错，干净卫生，管理比较规范。\n确定就是房间小点。\n我到总台找朋友，服务员不告知你房间号，直接与房间里的朋友联系，以避免不必要的麻烦。确实不错。', 'star': 5}
{'descr': '大床房的房间极少，说是25平，可室内面积10平都不到。前台三个服务员从进店开始就喋喋不休地推荐办会员卡，多次表示不办理之后，还在那一个劲地要求办卡，让人不胜其烦。', 'star': 1}
{'descr': '还行，天冷，有独立空调。还行。。。。。。。。。', 'star': 5}
{'descr': '前台结账稍微慢一些。房间还是蛮干净的位置也很好，环境还是蛮好的和一般的快捷酒店都差不多。', 'star': 3}
{'descr': '还不错吧，第二次住了，期待下次吧！就是这次的房间布局比上一次还好点', 'star': 5}
{'descr': '服务还不错,房间卫生差点,床单有头发。', 'star': 5}
{'descr': '该酒店卫生条件挺好，性价比不错，希望在全国各大城市多开一些分店。比如威海。', 'star': 5}
{'descr': '入住的时候出点意外，不过还凑合吧，设施不错', 'star': 5}
{'descr': '离市中心挺近的,交通很方便。因为是新建的原因，设施挺新的。住的是商务房，房间满大的。接待的小姐满热情的，就是她们指路都是东南西北这样指的，有点不大习惯。出租车特便宜，起步价才5元。', 'star': 5}
{'descr': '还好，交通也很方便，价格也合理。不错！交通很方便', 'star': 3}
{'descr': '有点装修的味道，其他还很好，服务也还好...', 'star': 5}
{'descr': '没有开餐厅,用餐不方便.新酒店硬件设施还是比较不错的.性价比还行.', 'star': 5}
{'descr': '打车不是很方便。', 'star': 5}
{'descr': '希望餐饮服务有待提高，其他都挺好', 'star': 5}
