{'短评内容': '不只一次预定，环境很好。', '短评打分': 5}
{'短评内容': '床垫和枕头品质非常棒！房间户型设施都很好！下次还要来！', '短评打分': 5}
{'短评内容': '泰国清迈一游，让我结识了安纳塔垃。由此，又去过曼谷的安纳，这次又入住了三亚的安纳，安纳在泰国，也许是透露着神秘与奢华。在三亚，它是性价比超高的酒店。也许，三亚供选择的好酒店太多了。不过，安纳让你住着不浮躁，内心安定。安纳的细节做的非常到位，自然，与清迈的相比，还差点味道儿。来三亚，以后，还有可能住安纳，它周围配套也很方便。', '短评打分': 5}
{'短评内容': '酒店在大东海地区，旁边就是洲际酒店，相对于洲际来说缺少娱乐性一些，不过酒店本身就是给喜欢安静的人来住的，别墅房真心推荐，只有一个字，大！但是有一点意见想跟酒店提一下，我早上说能不能延迟到两点退房，酒店的答复是一会儿有客人入住，但是当我三点过去找落下的东西时，看到房间根本都还没开始打扫，这个细节让我不是很满意。', '短评打分': 5}
{'短评内容': '下次必选的度假酒店！', '短评打分': 5}
{'短评内容': '安娜塔拉是我度假必选的酒店，这已经是我第三次入住了。位于三亚半山半岛这家安娜塔拉地理位置不错，服务周到，游泳干净，也有私人沙滩，海岸线差点，但对我喜欢晒晒大阳方式度假影响不大，周边用餐也方便或者坐酒店巴士去大东海吃也非常方便。', '短评打分': 5}
{'短评内容': '位置非常好，在半山半岛洲际酒店隔壁，天气好的话应该可以看到传说中果冻色的海，可惜我们去的时候台风刚刚过境，海水海滩杂物比较多，沙滩上很多悲剧了的小鱼，酒店很不错，东南亚风格，这么好的位置、硬件和服务，常年600多的价格简直bug，而且团客也很少，美中不足的就是室外泳池有点小，没有无边际泳池', '短评打分': 5}
{'短评内容': '酒店不错。还行', '短评打分': 5}
{'短评内容': '高端酒店是旅游中很重要的一部分', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '太美了', '短评打分': 5}
{'短评内容': '房间真是超级大，独享无敌海景，可以躺床上看日出很舒服。酒店沙滩与洲际连通，其实外面的一样可以进来，私密性一般。客房设施基本齐全，备品略小气，数量不足。热水出水慢，水压低且冷热不稳定。服务方面，一般水平，基本合格。早餐种类少了些。总体还是满意的！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店还是不错，性价比可以，就是服务管理混乱真的需要改进，非常不人性化。请大家入住酒店务必保管好自己的钥匙，因为弄掉了酒店会让你赔2000元人民币，因为要换门，这是我见过最黑的酒店了。', '短评打分': 3}
{'短评内容': '酒店环境不错，服务员态度也好，就是总有人在阳台上抽烟非常讨厌，别人要一起闻，实在让人厌恶', '短评打分': 5}
{'短评内容': '之前也是看了网评来的，但我很失望，可以说“差评！差评！差评！”。 酒店环境还是可以，反正是属于比较小的那种，几分钟就可以把酒店及花园逛完。我最想说的是酒店的服务，从下午入住一直到晚上，我们都觉得酒店的热水不是很好，根本不用加冷水，还觉得稍稍有点偏冷，打电话给酒店反应，酒店大堂助理是这样解释的“从来都没有客人反应过这样的问题。我们工程部的人说了，全部都是调试好的，这个水温是可以接受的。”我槽！是以你', '短评打分': 3}
{'短评内容': '不错！很棒的度假酒店！', '短评打分': 5}
{'短评内容': '整体还可以，适合休闲，床都很大，房间也挺舒服，一进房间看到毛巾都折成花酒店卫生还可以。早餐还可以！但是周围吃饭的地方较少。', '短评打分': 5}
{'短评内容': '体验不好', '短评打分': 1}
