{'短评内容': '般', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '有点小', '短评打分': 3}
{'短评内容': '要求不高，这样的酒店还是一分钱一份货的。与价钱相符。楼下有一条不错的常府街吃东西还比较方便，安全系数也比较高。', '短评打分': 4}
{'短评内容': '前台服务态度很好！值得称赞。', '短评打分': 4}
{'短评内容': '酒店位置还不错，到各个景点的距离都算是比较近的，酒店前台的服务态度还是非常不错的，房间有点小了但价格便宜', '短评打分': 5}
{'短评内容': '酒店位置还不错，到各个景点的距离都算是比较近的，酒店前台的服务态度还是非常不错的，房间有点小了但价格便宜', '短评打分': 5}
{'短评内容': '酒店位置还不错，到各个景点的距离都算是比较近的，酒店前台的服务态度还是非常不错的，房间有点小了但价格便宜', '短评打分': 5}
{'短评内容': '挺好的，位置不错，价格良心！', '短评打分': 5}
{'短评内容': '没有毛巾，只有浴巾，这是第一次见，也没有停车位，但价钱挺实惠，到秦淮河很近。', '短评打分': 4}
{'短评内容': '床太硬，下水道堵塞较严重，卫生一般，随便住住还可以，交通比较方便', '短评打分': 3}
{'短评内容': '还好吧，挺省钱的', '短评打分': 5}
{'短评内容': '电视没声音，房间有点小，其他ok', '短评打分': 5}
{'短评内容': '环境还可以，以后有机会还会继续入住', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
