{'短评内容': '早餐不错。', '短评打分': 5}
{'短评内容': '洗浴挺干净', '短评打分': 5}
{'短评内容': '服务好~~~', '短评打分': 5}
{'短评内容': '不错，，，', '短评打分': 5}
{'短评内容': '不错。。。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '不错，国庆出游，挺好', '短评打分': 5}
{'短评内容': '环境很好，设施完备，硬件不错，服务很周到，卫生不错，干净整洁，周边购物很方便，有超市，夜晚很安静，非常舒适。  ', '短评打分': 4}
{'短评内容': '酒店大堂，餐厅不错，楼道地毯，房间设施比较老化，该更新了。', '短评打分': 4}
{'短评内容': '服务态度很好，设施很一般，早餐很一般！', '短评打分': 4}
{'短评内容': '这个价位还可以。', '短评打分': 4}
{'短评内容': '网络信号不太好', '短评打分': 4}
{'短评内容': ' 环境很好，设施完备，硬件不错，服务很周到，卫生不错，干净整洁，周边购物很方便，有超市，夜晚很安静，非常舒适。', '短评打分': 5}
{'短评内容': '国庆节去晋中绵山，通过携程预订的酒店，极其不顺利。先是预订并确认的介休花园酒店，一路奔波晚上七点到达时被告知已经住满，预订的不算数，自己想办法去。协调携程后被告知可以去正达海兴，黑灯瞎火一直折腾到了酒店所在地的郊区，到达后总算入住，三星，要价498元，一副爱住不住的样子。晚上九点半左右，与酒店同楼的卡拉ok歌厅开始鬼哭狼嚎，低音炮轰鸣，简直就如同在入住的房间内一般唱歌一般。在介休的一晚，简直如同噩', '短评打分': 2}
{'短评内容': '性价比不高，对不起498的价格', '短评打分': 3}
{'短评内容': '正达海兴洒店', '短评打分': 3}
{'短评内容': '位置太偏远，噪声较大，订购大床房，未安排。', '短评打分': 1}
