{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '网络太差，其他的一般。', '短评打分': 4}
{'短评内容': '旁边有个超市还不错                                         ', '短评打分': 3}
{'短评内容': '舒适，环境好。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '。。还行，环境不是太好。。。', '短评打分': 5}
{'短评内容': '很差，非常不好，酒店环境差，酒店老板态度差，厕所水池漏水，厕所帘子上霉了，车子叫我们停在中百仓储，说是免费的，结果收了我们25元，问前台，前台说不知道，问老板，老板态度极差，开口骂人，因为我们要回家，只能自己掏钱出来！这个是我住过最差的一个酒店，价格还不怎么便宜！我走的时候还忘记拍照了，供你们参考，住的时候小心点吧！', '短评打分': 1}
{'短评内容': '地理位置不错，购买生活用品很方便，性价比还是比较高的。', '短评打分': 4}
{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '离学校很近，这一点很方便。环境卫生良好，就是不隔音！！！晚上大厅人说话说到很晚门关了开开了关没完没了', '短评打分': 5}
{'短评内容': '第一次住，服务不好', '短评打分': 3}
{'短评内容': '酒店一般吧，离考试的地方很近，楼下是中百仓储，还比较方便，只是158的价格，房间还没有窗户很不好，压抑的很，光线昏暗。另外隔音不好，外头说话里面听的一清二楚。', '短评打分': 3}
{'短评内容': '隔音效果不是一般的差，隔壁的人老是开门关门，在走廊讲话，吵死了。', '短评打分': 4}
{'短评内容': '服务人员就是有点怪异', '短评打分': 5}
{'短评内容': '挺好挺方便的～', '短评打分': 5}
{'短评内容': '挺好挺方便的～', '短评打分': 5}
{'短评内容': '挺好挺方便的～', '短评打分': 5}
