{'短评内容': '没有早餐，出去吃也方便', '短评打分': 4}
{'短评内容': '床太软，就一个枕头', '短评打分': 4}
{'短评内容': '无早餐，不能加床。不适合带孩子！', '短评打分': 5}
{'短评内容': '大床房 床一点也不大', '短评打分': 5}
{'短评内容': '房间很小  跟房型介绍的38平米不符  有线电视没有几个台  无线WIFI基本不能用  前台接待的服务态度不好', '短评打分': 2}
{'短评内容': '环境惊喜', '短评打分': 5}
{'短评内容': '房间的热水流量太小了 不充足 其他还好 ', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '交通很便利，景色很宜人，空气很好，阳光充足，床好大枕头也很舒服，房间很干净，装修豪华，性价比超高的。', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店位置在新区，旁边是医院跟学校。房间挺干净，很舒适。价格还便宜。值得推荐', '短评打分': 4}
{'短评内容': '环境不错，周边学校很多，在开发区，交通还好，公交不方便，打车议价。', '短评打分': 5}
{'短评内容': '酒店价格合适，交通也便利，每次来都住，床太软了，改进下就更好了。就是WiFi信号不好，有的房间好有的不好。再就是没有免费矿泉水', '短评打分': 4}
{'短评内容': '第二次入住了，还可以的一家酒店', '短评打分': 4}
{'短评内容': '位置好   干净卫生   设施齐全  服务周到', '短评打分': 5}
{'短评内容': '酒店很好，服务很好，酒店设施很新，硬件设施比较到位，就是位置有点偏远', '短评打分': 5}
