{'短评内容': '房间很干净，环境很好，很漂亮', '短评打分': 5}
{'短评内容': '总体很好，硬件很不错，环境好。管理的细节有待提高，比如房间进去电话线都掉了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间正常，早饭真的很失望，一群服务员站着聊天，没人煎鸡蛋，说自己很忙，我的天，一大早忙啥呢，站着聊天忙着打嘴炮呢？因为我问了一句煎鸡蛋，把鸡蛋都收走了，额', '短评打分': 3}
{'短评内容': '很好房间很舒适', '短评打分': 5}
{'短评内容': '环境没得说，温泉也挺值得泡的。酒店房间比较大，有个大阳台不错。但是酒店其他的内容就比较差劲了，服务态度一般，没有星级酒店的样子，拖鞋质量烂的不行，刚穿上就坏了，早餐更是一般连锁酒店的档次。下次去可以考虑泡了温泉就回来。', '短评打分': 4}
{'短评内容': '房间非常大，室内空气很好没异味。性价比超高。', '短评打分': 5}
{'短评内容': '感觉不错，环境好服务好', '短评打分': 4}
{'短评内容': '卫生间排水不太好 其他都很不错的', '短评打分': 5}
{'短评内容': '很好的一次体验', '短评打分': 5}
{'短评内容': '服务周到，继续努力，加油加油加油！环境好，服务好，设施好，适合旅游度假，商务出行，继续加油，生意兴隆', '短评打分': 5}
{'短评内容': '环境好，服务好，非常棒。适合商务旅游，度假等，加油加油服务周到，继续努力，加油加油加油服务周到，继续努力，加油加油加油', '短评打分': 5}
{'短评内容': '酒店环境很好，不管是内部环境还是外部环境，就是房间灯光太暗', '短评打分': 5}
{'短评内容': '房间装修比较古朴典雅，挺好的', '短评打分': 5}
{'短评内容': '设施老了一些，不过商务房够大。干净卫生。', '短评打分': 4}
{'短评内容': '设施较旧，有异味。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错，温泉很舒服，就是蚊子多点，大家做好预防', '短评打分': 5}
{'短评内容': '酒店设施陈旧，不会再入住', '短评打分': 3}
{'短评内容': '酒店态度很好，环境幽雅，下次还会选择这里', '短评打分': 3}
{'短评内容': '酒店设施老了，温泉还是不错的。去泡温泉的话可以', '短评打分': 5}
{'短评内容': '酒店不错，服务也很周到，下次仍然选择这家酒店', '短评打分': 5}
