{'短评内容': '不错，服务到位，价格实惠，干净卫生。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不错，出差首选', '短评打分': 5}
{'短评内容': '环境很干净，位置很方便，无线不太给力，连不上，断断续续的，不过整体卫生还可以，房间稍小了点.吃饭较远', '短评打分': 4}
{'短评内容': '服务好！房间卫生干净，冬天暖气很暖和。', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 4}
{'短评内容': '价格合适，卫生干净，设施齐全，总体物有所值。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '还行吧，一贯的品种，老客户了', '短评打分': 4}
{'短评内容': '还行吧，一贯的品种，经常住..还行吧……', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '价格优惠，环境很好，服务态度不错，房间布置还算可以，电视有点小了', '短评打分': 5}
{'短评内容': '不错，干净舒服！会再来！', '短评打分': 3}
{'短评内容': '环境不错 房间干净 服务员热情 价格适中 第二次住了、、、、、、', '短评打分': 5}
{'短评内容': '住宿条件各方面都满意，服务也好，就是吃不方便，', '短评打分': 5}
{'短评内容': '地理位置不错，装修风格不错，服务人员很热情', '短评打分': 5}
{'短评内容': '地理位置不错，装修也很好，服务人员很热情', '短评打分': 5}
{'短评内容': '非常好！酒店非常干净！非常人性化，总之我还是会入住的谢谢！', '短评打分': 5}
{'短评内容': '还不错，感觉很温馨，服务态度很好，下次还回来这里。', '短评打分': 5}
{'短评内容': '环境不错 价格也适中 总体都好 下次继续入住', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 3}
{'短评内容': '该酒店环境很好，酒店特别干净卫生，早餐味道不错！', '短评打分': 5}
{'短评内容': '很好，没有停车的地方，蚊子很多，至少打死了5只蚊子，早餐价格贵，东西少！', '短评打分': 5}
{'短评内容': '挺不错的，服务态度不错，下午的洗澡水不是太热，总体还是很好的', '短评打分': 5}
{'短评内容': '刚开业1个月左右，提供熨斗之类的。位置也不错', '短评打分': 5}
{'短评内容': '新开的，挺干净', '短评打分': 3}
{'短评内容': '无免费洗漱用品，装修差，淋浴无防滑垫，感觉非常差。', '短评打分': 3}
{'短评内容': '酒店位置在市中心，比较好找，酒店也很干净，周围交通、购物、餐馆都很方便，价位也比较合适。', '短评打分': 5}
{'短评内容': '\n早餐质量太一般', '短评打分': 3}
