{'descr': '后悔了 简直就是连我家都不如 卫生间太破 和图片上的完全不一样 太垃圾了 ', 'star': 1}
{'descr': '感觉挺好，交通方便，价格实惠', 'star': 3}
{'descr': '非常不错的酒店，住宿吃饭都很方便，价格很公道。', 'star': 5}
{'descr': '太恶心了根本就是骗人，真的我们等了4个多小时，最后不接电话！！！', 'star': 1}
{'descr': '老板牛气大了', 'star': 3}
{'descr': '房间很宽敞，环境很干净，服务的态度也很好。交通便利，吃饭也很方便。提一个小的建议，就是房间里面没有浴巾。总体的评价是很好了。', 'star': 5}
{'descr': '  个人来说还是推荐~\n  所谓每个人对于质量与需求都各不同~每天都忙忙碌碌的安排着行程，住在这里主要是为了能保证良好的休息与睡眠，与宾馆不同的是这里的隔音效果会很好；上网的网速也很不错；还有便利的交通与购物条件，这几点这里都是很符合的~~西安路上有几个大型商场和超市，商场有百盛、锦辉和麦凯乐等等；超市呢，在公寓对面的商场下面就是沃尔玛，附近锦辉那边儿还有一个家乐福；\n  对于设施方面会有一点纰漏', 'star': 5}
{'descr': '酒店靠近商业街，购物乘车都很方便，老板那里还有很多景点的优惠票。。', 'star': 5}
{'descr': '总体还可以，地方挺宽敞，但是设施很一般，厕所有点窄。 还不能做饭。', 'star': 1}
{'descr': '总体感觉还可以，地角不错，在商业街中，逛街吃饭旅游都很方便。', 'star': 5}
{'descr': '其他都好，就是没有浴巾、茶杯很脏，\r\n其他都好，就是没有浴巾、茶杯很脏', 'star': 1}
