{'短评内容': '房间舒适度还行，但面积太小，6月份住的时候大一些，这次直接给我个最差的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '性价比不错。', '短评打分': 4}
{'短评内容': '去方特的话，住这里还是比较方便的，酒店对面就有吃的，经济实惠…公交站就在酒店的门口，非常满意的一次出行。', '短评打分': 5}
{'短评内容': '还可以，便宜', '短评打分': 4}
{'短评内容': '经常来，如果住多次，提前预定', '短评打分': 5}
{'短评内容': '价格合理，位置好找。', '短评打分': 5}
{'短评内容': '房间大小合适，舒适性还行，就是算账算不清楚，天天催你交房费', '短评打分': 5}
{'短评内容': '很好，不错。。&hellip;&hellip;可以&hellip;&hellip;&hellip;&hellip;～', '短评打分': 5}
{'短评内容': '还好吧   房间偏小一些。', '短评打分': 5}
{'短评内容': '价格合理，位置好找，服务可以，', '短评打分': 5}
{'短评内容': '很好，价格合理，位置好找。', '短评打分': 5}
{'短评内容': '挺好看，就是不知道质量怎么样啊。', '短评打分': 5}
{'短评内容': '总体来说还不错 ', '短评打分': 5}
{'短评内容': '房间不错，比较干净', '短评打分': 5}
{'短评内容': '酒店前台服務很好，環境設備都可以，這個價格算是很合理的。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还好！', '短评打分': 4}
{'短评内容': '感觉挺好，就是WiFi有点问题', '短评打分': 5}
{'短评内容': '还可以，晚上到早上就走了', '短评打分': 4}
{'短评内容': '整体还行，主要是经济实惠', '短评打分': 5}
{'短评内容': '房间是还好，可是办个退房耽误了一下，早餐实在不咋的，带个身高不足一米的孩子吃一个鸡蛋加一碗稀饭6块钱...', '短评打分': 5}
{'短评内容': '不错，干净整洁，如家的酒店一向如此，交通也很方便，下次还会再来', '短评打分': 5}
{'短评内容': '在同安办事住这还是比较方便的，离同安汽车站也近。但是入住当天网络就不好用了第二天也是时好时坏的。感觉不太好！', '短评打分': 5}
{'短评内容': '价格合适住房不错装饰风格典雅设备很新', '短评打分': 3}
{'短评内容': '舒适、交通方便', '短评打分': 3}
{'短评内容': '酒店干净整洁，很舒服。价格优惠，周围安静，交通也方便，周边配套好。', '短评打分': 5}
{'短评内容': '干净卫生，服务不错。唯一不足的地方就是没有无线局域网，呵呵有局域网就OK了。', '短评打分': 5}
{'短评内容': '该酒店干净卫生，配套设施完善，交通也很方便，值得推荐', '短评打分': 5}
{'短评内容': '房间很好，网速也很快。就是附近吃饭不太方便。', '短评打分': 5}
{'短评内容': '基本达到如家的一贯水准.\n就是有一点不满意:入住房间的时候发现马桶是用过的,有小便没有冲掉', '短评打分': 5}
{'短评内容': '前2次入住，都是靠南边，就是中国邮政这边，天亮的时候EMS快递的车辆进进出出，有点影响。这次是靠北边，比较安静，下次就有经验了。ps：入住的是商务大床房。', '短评打分': 5}
{'短评内容': '离车站很近，挺实惠', '短评打分': 3}
{'短评内容': ' 洗澡热水有些忽冷忽热…蚊子太多了，蛮干净', '短评打分': 3}
{'短评内容': '还不错，房间有点小，但是应该是同安最舒适的酒店了~', '短评打分': 5}
{'短评内容': '房间不错，普通大床房干净舒适，', '短评打分': 3}
{'短评内容': '服务态度超级好！！房间很干净！交通很方便！', '短评打分': 3}
{'短评内容': '房间还不错', '短评打分': 3}
{'短评内容': '价钱不贵，不过房间较小，特别是浴室，总体来说还不错', '短评打分': 5}
{'短评内容': '还不错，前台挺热情的，进出的时候都会很热情地问候一下，房间不是靠马路边上，挺安静的。美中不足的是，房间没有很大，热水器出来的水忽冷忽热，还好这2天气温比较高，影响不会很大。', '短评打分': 5}
{'短评内容': '不错，感觉很好', '短评打分': 3}
{'短评内容': '标间还不错，就是吃饭附近比较困难，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店洗澡忽冷忽热，前台服务人员还不错，房间里有根柱子。', '短评打分': 1}
{'短评内容': '服务周到，态度很好，房间温馨的，下次还来～', '短评打分': 5}
{'短评内容': '交通便捷，環境舒適，乾淨衛生，我住的是大床房 ，推薦！', '短评打分': 5}
{'短评内容': '什么都好  就是水温太太太不稳定了  不然位置方便，条件也不错，服务态度超好，服务员都会和你打招呼', '短评打分': 5}
{'短评内容': '＋热水忽冷忽热的，其他都好', '短评打分': 3}
{'短评内容': '如家的服务果然不错，酒店感觉很温馨，电视还是IPTV，细节方面做的很用心。自助早餐不错，价格也很划算。', '短评打分': 5}
