{'短评内容': '好可以吧，就是半夜好冷！！', '短评打分': 5}
{'短评内容': '酒店位置好找，出行便捷。服务态度良好', '短评打分': 5}
{'短评内容': '第二次去很不错，服务热情周到，房间价格实惠', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比还是比较高的，周边医院，吃的也不少', '短评打分': 4}
{'短评内容': '环境还不错！', '短评打分': 5}
{'短评内容': '环境安静，比较干净，空间比较大', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '环境对的起这个价格！', '短评打分': 5}
{'短评内容': '离红门不远', '短评打分': 4}
{'短评内容': '非常好的酒店，旁边的一个涮羊肉店非常不错', '短评打分': 3}
{'短评内容': '还可以，还可以，还可以，还可以，还可以', '短评打分': 5}
{'短评内容': 'Quite ok for a Night!  Close to the railway Station. Friendly staff!!', '短评打分': 3}
{'短评内容': '。。。。。好。', '短评打分': 5}
{'短评内容': '设施陈旧，服务一般，打70分', '短评打分': 4}
{'短评内容': '设施陈旧，服务一般，打70分', '短评打分': 3}
{'短评内容': '好。提早了一天从泰山下来，宾馆以网订的价格让我们提前了一天入住。', '短评打分': 5}
{'短评内容': '守信用，我们预订的是双标B房，早上10点许到达时房间还没整理出来，宾馆为我们免费升级为三人间了。交通也方便，出门走5-6分钟便是公交K3线，可直达天外村和红门。红门可转19线到天烛峰。', '短评打分': 5}
{'短评内容': '环境不错，服务也很好！', '短评打分': 3}
{'短评内容': '房间还行，离火车站也挺近的，出来直接坐公交就能到泰山红门', '短评打分': 3}
{'短评内容': '  条件很好，价格合适', '短评打分': 3}
{'短评内容': '整体情况还不错', '短评打分': 3}
{'短评内容': '服务态度挺好的，不过卫生间的设施不太好，总体还是可以接受的', '短评打分': 5}
{'短评内容': '感觉还可以，就是价格有点贵。', '短评打分': 3}
{'短评内容': '一大早退房居然停电了', '短评打分': 3}
{'短评内容': '离火车很进，很方便。也很干净', '短评打分': 3}
{'短评内容': '酒店的设施比较老久了开金币二厂昂汗啊婆婆均', '短评打分': 5}
{'短评内容': '整体环境较好，服务质量尚可，工薪族首选。', '短评打分': 5}
{'短评内容': '酒店服务还行，就是环境一般，去的时候空调不制热，服务员比较热情的更换了房间，赞一个！', '短评打分': 5}
{'短评内容': '酒店的设施比较老久了，卫生间尤其比较严重，水龙头经常不能出水，说实话这是我最近几年住得条件最差的酒店了，如果不是已经付款我是不会在这儿住的了。不过酒店服务还是可以。好在价钱便宜，入住的朋友可以综合考虑。', '短评打分': 1}
{'短评内容': '交通方便，离火车站、汽车站很近，（出租车起步里程内） 酒店左右有川菜馆等各系餐馆、超市及ktv，往北就是到泰山中天门的天外天上山汽车站，便于集中解决游客吃、住、行、游、购、娱的需求。有兴趣的朋友可选此店一试。', '短评打分': 5}
