{'短评内容': '没有早餐', '短评打分': 4}
{'短评内容': '房间内干净整洁卫生，内部设施齐全，网络很好，服务员态度热情，很喜欢的酒店公寓！', '短评打分': 5}
{'短评内容': '公寓很好，设施也很完善，房间里面也很干净，交通也便利，价格实惠，有机会还会再去的', '短评打分': 5}
{'短评内容': '交通便利 服务一流，环境挺好的。', '短评打分': 5}
{'短评内容': '  位置环境都很好  服务态度也好', '短评打分': 5}
{'短评内容': '好非常好下次还去', '短评打分': 5}
{'短评内容': '一般吧！', '短评打分': 3}
{'短评内容': '公寓式的', '短评打分': 4}
{'短评内容': '还不错，最喜欢的是投影电影', '短评打分': 5}
{'短评内容': '位置优越，出游方便', '短评打分': 4}
{'短评内容': '位置优越，出游方便', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店服务不错，位置交通便利，附近有很多吃饭的地方，亲戚很喜欢', '短评打分': 4}
{'短评内容': '酒店服务不错，位置交通便利，附近有很多吃饭的地方，亲戚很喜欢', '短评打分': 4}
{'短评内容': 'Location very near to the metro at Windows to the World.. very good.. but the rooms facing the food street was way too noisy til all hours of the night.. i switched rooms from the 4th floor to the 9th', '短评打分': 3}
{'短评内容': '還行', '短评打分': 4}
{'短评内容': '酒店服务态度很好，在小区里面，环境不错，是家庭旅游的好选择！', '短评打分': 5}
{'短评内容': '非常好，下雨天会有人到地铁站接待。像回家的感觉', '短评打分': 5}
{'短评内容': '總體不錯，交通方便，就是沒去過難找了點，下次如有需要還會住。', '短评打分': 5}
{'短评内容': '一般，没想象的好，而且一定要看仔细房间先', '短评打分': 1}
{'短评内容': '地理环境十分优越。游玩购物十分便利。房间空间很大。周围环境十分安静。晚上睡的很好。房间设施很好：有冰箱，洗衣机，微波炉等等！！宽带网速也很好。服务人员很亲切。绝对是商务出差家庭旅游的首选酒店，值得推荐。', '短评打分': 5}
{'短评内容': '设施简陋，周围很吵，一晚没睡好。象我经常商务出差住酒店的，以前一直没住过这类酒店公寓，但这次住了后感觉真不习惯，以后我还是选择非公寓式的酒店。', '短评打分': 1}
{'短评内容': '周边风景很好，服务也很好，卫生也不错啊！就是稍微难找一些，希望在大楼外边多加个标志！', '短评打分': 5}
{'短评内容': '位置\u3000服务 好', '短评打分': 3}
{'短评内容': '还好了，房间比较大，但是没有酒店的感觉，就是公寓。适合一家人住。', '短评打分': 5}
{'短评内容': '不错 各方面都好 性价比高 就是沐浴房太小了', '短评打分': 5}
{'短评内容': '酒店的外部环境很好，很安静，内部环境就比较一般啦。个人有洁癖，所以觉得哪儿都不干净。\n他们服务人员的素质真的不错！', '短评打分': 1}
{'短评内容': '房间很大，很好。床单再干净点就好了。。服务人员态度非常好。还可以买到半价电影票。离地铁非常近。交通很方便', '短评打分': 5}
{'短评内容': '空间很大，适合家庭旅行，洗衣做饭很方便，离世界之窗很近。', '短评打分': 5}
{'短评内容': '订的是豪华套间，后面因为没房间了，帮我升级了一个家庭套间，嗯，感觉有点大了，挺浪费的', '短评打分': 5}
{'短评内容': '讓人感覺有像家的感覺~只是地理位置標誌不明顯要找下，公寓附近有很多美食又靠近世界之窗及歡樂谷等大型遊樂點很方便。', '短评打分': 5}
{'短评内容': '想要在深圳玩的朋友，沙河纪假日酒店绝对是你的首选。酒店离世界之窗、欢乐谷、锦绣中华民俗村都非常近，只要步行就能到。酒店是公寓式的，特别适家庭旅游，有电冰箱、洗衣机、厨房，而且房间通气，有对流风，空气好，不噪杂、安全。进出大门、客房都有电子锁，有保安。最主要的是服务态度非常好。我们第一次到深圳，分不清东南西北，站在世界之窗大门前，不知酒店往哪走，没想到打了个酒店电话，酒店服务员立即说来接我们。因为那', '短评打分': 5}
{'短评内容': '最大的优点在于位置，就在世界之窗对面，坐地铁到哪儿都很方便。房间没有想象中好，床有些单薄，但我们住的两室一厅，床一大一小，一家人住的很宽松。另外，服务生也很热情。就是酒店在小区里面，不太好找，订房时，一定要记住酒店的电话。', '短评打分': 5}
{'短评内容': '酒店很安全，酒店接待人员很尽责，主动出来迎接，客厅很大，房间很干净。', '短评打分': 5}
{'短评内容': '有家的感觉，很温馨。地方不远，就是稍微要找一下。酒店可以过来接的。', '短评打分': 5}
{'短评内容': '适合家庭居住，晚上挺安静的，服务不错，与世界之窗，欢乐谷都很近，下次还会选择这里。', '短评打分': 5}
{'短评内容': '服务挺好。。。。不过地方挺难找。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的环境..', '短评打分': 3}
