{'短评内容': '酒店外边看见一般  有点旧  里边装修还行  卫生还好  基本满意', '短评打分': 5}
{'短评内容': '时间记错不好', '短评打分': 3}
{'短评内容': 'hai hang1111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '这个住过的酒店中最差的酒店，让人非常恼怒', '短评打分': 1}
{'短评内容': '房间大小还好，打扫的挺干净，设施挺齐全，还能上网，住的挺满意的。', '短评打分': 5}
{'短评内容': '酒店挺不错，周边交通挺便利，出行挺方便，服务卫生也不错。', '短评打分': 5}
{'短评内容': '酒店位于长沙市中心地带，周边交通很便利，内部环境挺干净，总体感觉还不错。', '短评打分': 5}
{'短评内容': '服务上挺细心挺周到，房间挺宽敞挺舒适，餐厅饭菜也挺可口的。', '短评打分': 3}
{'短评内容': '酒店离火车站挺近，周边交通也挺便利的，服务态度挺好，感觉挺亲切的。', '短评打分': 3}
{'短评内容': '酒店价格还算合理，前台服务挺好，响应挺及时，房间挺干净，设施也挺好，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店硬件软件方面还都不错，出行也挺方便，价格如果再便宜点就更好了。', '短评打分': 3}
{'短评内容': '卫生挺好，房间收拾的挺干净，服务也不错，随叫随到，态度也很好，周边交通挺便利，出行也挺方便。', '短评打分': 5}
{'短评内容': '房间面积还好，设施挺齐全，就是有些陈旧，卫生方面还不错，打扫的挺干净，总体感觉还好。', '短评打分': 3}
{'短评内容': '位置不错，出行方便，房间里干净卫生，设施也挺好，隔音效果也不错，住的挺舒适。', '短评打分': 5}
