{'短评内容': '很安静～', '短评打分': 5}
{'短评内容': '挺不错，但是有点贵，卫生一般，房间挺宽敞', '短评打分': 3}
{'短评内容': '只能是还行吧', '短评打分': 4}
{'短评内容': '凑会吧 出来玩也不讲究那么多', '短评打分': 3}
{'短评内容': '服务较好地点离火车站也不远登泰山挺方便门口就有公交车站到红门和天外村就是卫生间味大点隔音效果差点总之不错的选择', '短评打分': 3}
{'短评内容': '这次住的还不错，房间很大，没什么噪音，离火车站挺近的', '短评打分': 3}
{'短评内容': '住宿条件还可以，找吃找喝也方便，服务态度也很好。', '短评打分': 5}
{'短评内容': '家庭房 很大 比想象的大 东西很干净 装潢也不错 不是很久 很好', '短评打分': 5}
{'短评内容': '条件很不错 家庭住很合适 有独立卫浴 离景区开车不是很远', '短评打分': 5}
{'短评内容': '酒店还不错，从外面看不是很新，不过里面还不错，房间比较大', '短评打分': 5}
{'短评内容': '比较干净。服务员态度比较好。', '短评打分': 3}
{'短评内容': '离孔府孔庙很近就在正东面，晚上可以周边逛逛。南面就是小吃一条街（五马祠？），北面不远是颜庙。不足之处是没有wifi，房间卫生设施一般。不过这个价，也不能要求太多。服务态度还是很不错的。', '短评打分': 5}
{'短评内容': '进门后就闻到很重的霉味，空调开到16°后依然不给力', '短评打分': 1}
{'短评内容': '总体一般，价格比较低，就别要求那么多了。', '短评打分': 1}
{'短评内容': '酒店离火车站有好几百米，如果行李多建议打车才6块钱。房间很大，但洗澡就很不舒服，水温很不稳定，又小一下热一下冷，希望酒店改进', '短评打分': 5}
{'短评内容': '非常好！经济又实惠，干净宽敞舒适！下次去还住那！', '短评打分': 5}
{'短评内容': '酒店还是不错的，地理位置也不错，离泰山火车站有两站路；从高铁泰安站到这里的车也有很多。\n酒店内部的装修和配置绝对要比从外面看到的要好很多很多，妈妈也说价格合理，装修不错。可是有个缺点，酒店没有电梯，虽然只有三层，但是设置一个电梯就会更好。', '短评打分': 5}
{'短评内容': '周边环境一般，但坐公交车很方便。定的三人间，房间很大，卫生也不错！', '短评打分': 3}
{'短评内容': '今天住进来后发现物超所值，房间很大，走廊很宽，位置也很好，停车位、大润发超市、农贸市场都在附近。服务也很好。超值，没有旅游区被宰的感觉，强力推荐了。', '短评打分': 5}
{'短评内容': '酒店很干净  房间也很大   距离市区近  交通挺方便的   本来打算住一天的  后来因为一些原因多住了一天    下次去泰安还会住这里的  ', '短评打分': 5}
{'短评内容': '房间很大，去泰山很方便，附近有大润发超市，购物也方便，呵呵', '短评打分': 5}
{'短评内容': '位置很好，离火车站、泰山景区很近，价格很便宜，房间也很大，觉得很值。', '短评打分': 5}
{'短评内容': '房间有股异味，前台态度差，厕所不是很干净', '短评打分': 1}
{'短评内容': '挺不错的 我们开了3个标间 房间的特点特别大 卫生条件良好！关键地理位置不错 ！交通方便  去火车站  去泰山 去方特都方便！', '短评打分': 5}
{'短评内容': '房间很大 装修的也不错 只是不知道是不是我运气不好 我住315 房间电视是坏的 热水也不行 要么是热水 要么就是冷水  还有317电脑是坏的打不开', '短评打分': 1}
{'短评内容': ' 挺干净的，交通也方便，不错。', '短评打分': 3}
