{'短评内容': '挺好，就是床有点小', '短评打分': 5}
{'短评内容': '就一般快捷酒店，能住', '短评打分': 4}
{'短评内容': '房間有潮味，不過', '短评打分': 4}
{'短评内容': 'WiFi信号不稳定，其余一般', '短评打分': 5}
{'短评内容': '什么服务态度，简直了，财务不上班不能联系一下吗，再也不会入住了', '短评打分': 3}
{'短评内容': '常住酒店，前台服務親切，唯一住宿旅客有時過於吵雜，周邊吃的不少，不過離地鐵有些距離。總體而言，出差地近，方便。', '短评打分': 4}
{'短评内容': '和以前一样，感觉不错。周边比较热闹，商业很发达。房间比较宽敞，干净得很，服务也很好。出去吃饭非常方便，', '短评打分': 5}
{'短评内容': '出差来到这里，酒店环境很不错，服务员很热情，房间比较宽敞。热水充足，早餐也很好。以后到附近基本会来这。', '短评打分': 5}
{'短评内容': '环境一般，服务可以。', '短评打分': 3}
{'短评内容': '非常感谢上勤，已是二次入住，非常满意！', '短评打分': 5}
{'短评内容': '房间挺大，就是早上外面有点噪音', '短评打分': 4}
{'短评内容': '门脸太小 简陋 但房间还是不错的，比快捷酒店大', '短评打分': 5}
{'短评内容': '价格挺实惠，环境也不错，挺好', '短评打分': 5}
{'短评内容': '环境一般，不过价钱可以', '短评打分': 5}
{'短评内容': '房间空调30度还是太冷，房里没有水提供。隔音差。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '老旧脏，别去住。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': ' 装修好，干净。比汉庭好几倍。', '短评打分': 3}
{'短评内容': '  房间很干净.特别是洗澡水很大很舒服', '短评打分': 3}
{'短评内容': '空调声音很响！全是小名片！但是一份价格一分货。', '短评打分': 1}
{'短评内容': '环境很好，交通挺方便，离地铁15分钟。早上边上有装修，有点小吵，卫生很干净。性价比好。', '短评打分': 3}
{'短评内容': '环境好干净', '短评打分': 3}
{'短评内容': '价位适中，环境还可以。\n周边环境安静舒适，交通便利。', '短评打分': 5}
{'短评内容': '离会很近，服务态度好', '短评打分': 3}
{'短评内容': '为什么网速总是很慢呢，提意见好几年了，也不见任何改进，还有数字房，明明说带电脑的，可偏偏要收费租电脑，需要改进吧！', '短评打分': 5}
{'短评内容': '交通比较便利，房间也凑合吧，只是因为便利才选择入住的。                                                                                    电梯实在简陋，十年如一日的差！', '短评打分': 5}
{'短评内容': '很好   很方便  服务态度很好  位置很好', '短评打分': 5}
{'短评内容': '酒店设施还算不错，价格在这个区位也算合理，下次还可以考虑住这', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '宾馆提供网线的网速很慢。客房比较安静。离地铁较远。', '短评打分': 1}
{'短评内容': '环境比想象的好，比较舒适~离展会还是比较近的。', '短评打分': 5}
{'短评内容': '距离光大会展中心很近，对要来参展的人很方便', '短评打分': 5}
{'短评内容': '总体感觉还行。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '替客户预定的，入住后反映还不错！就是交通不太方便！总体来说还可以！', '短评打分': 5}
{'短评内容': '不错，位置很好，比较方便，下次还住！！！', '短评打分': 5}
{'短评内容': '还不错很方便', '短评打分': 3}
{'短评内容': '我入住的是他们的特价房。房间小了一点。但是非常实惠。以后还会来住。', '短评打分': 5}
{'短评内容': '这家酒店还可以、交通很便利，旁边有很多餐饮、购物的连锁店，紧挨九号线、一号线，有公交车，很方便。', '短评打分': 5}
{'短评内容': ' 一般  不如锦江更莫泰 房内有根大柱子 隔音效果差 没有剃刀', '短评打分': 3}
{'短评内容': '虽然房间不如描述那么大，但是干净整洁，环境安静，可以弥补不足', '短评打分': 5}
{'短评内容': '很不错，酒店服务很好。住那几天天气很冷，还免费加了条被子。态度很好', '短评打分': 5}
{'短评内容': '还可以，给同事定的，说还不错！以后会光顾', '短评打分': 5}
{'短评内容': '＋不错', '短评打分': 3}
{'短评内容': '床太小，空调马力不足', '短评打分': 3}
{'短评内容': '性价比很高，地方也很安静，住的是特价房，128一晚，房间也很小很温馨，热水很给力。', '短评打分': 5}
{'短评内容': '性价比较高，服务水平也较好。我们向服务员咨询市内行程事宜，回答很用心。', '短评打分': 5}
{'短评内容': '蛮大的，比客栈类的住宿好多了', '短评打分': 3}
{'短评内容': '房间不错。', '短评打分': 3}
{'短评内容': '房间挺干净，舒适。', '短评打分': 3}
{'短评内容': '写的很详细，和描述的差不多，以后会还会来的', '短评打分': 5}
{'短评内容': '我认为该店一般 ，但价格还可以，有些吵，我住的时候还在装修。', '短评打分': 5}
{'短评内容': '房间不错, 大床上很好, 服务也可以, 主要是没有免费早餐不太好!', '短评打分': 5}
{'短评内容': '一般般啦，房间空间有点小，而且空调效果也不是很好，冻了一宿！酒店门面还跟其他杂七杂八的一起，一看就没档次', '短评打分': 1}
{'短评内容': '还比较方便，开会之类的方便一点。 比较卫生', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '服务很好，就是房间有霉味，热水不是很好，水温不好，不是很热就是很凉', '短评打分': 5}
{'短评内容': '性价比很高   环境也很好    超值', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '酒店很不错，房间也比较大，设施也很新。周围和店内吃饭也很方便，到漕宝路地铁站步行十五分钟。总之很满意！非炒做。是本人分分两次定了两个房间。', '短评打分': 5}
{'短评内容': '酒店很不错，房间也比较大，设施也很新。周围和店内吃饭也很方便，到漕宝路地铁站步行十五分钟。总之很满意！', '短评打分': 5}
{'短评内容': '环境陈旧位置还好', '短评打分': 3}
{'短评内容': '挺不错的  就是浴室里面少了个垫脚布！总的感觉不错  ', '短评打分': 5}
{'短评内容': '这几天连续入住该酒店，价格非常合理，在上海实属难得，服务也很好，值得推荐。除了续房费比较麻烦（交房费就必须结账，要不就预售权预多一点）。', '短评打分': 5}
