{'短评内容': '非常非常不错', '短评打分': 5}
{'短评内容': '心情不好 独自出来逛逛 住在这里糟透了  房间发霉 蚊子蜘蛛很多 空调加钱 Wi-Fi几乎不能用 连水壶都没找到  床头柜附近没有插座  床头灯时亮时灭 唯一欣慰的是老板娘态度很好 ', '短评打分': 2}
{'短评内容': '超级赞 老板娘人超级好 很热情 会推荐给朋友', '短评打分': 5}
{'短评内容': '垃圾 要什么没什么 房间到处发霉 卫生间连浴袍都没有  漱口杯都是坏的 吹风机也没有 Wi-Fi我还是连的隔壁的酒店的 房间空调是坏的 就是个摆设 电话机也没有 周边环境非常吵 晚上吵得睡不着 凌晨又被窗外的声音吵醒！这客房就是垃圾中的垃圾 ', '短评打分': 1}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '家庭旅馆。老板娘很热情 就是屋子很不隔音', '短评打分': 5}
{'短评内容': '属于农家乐的标准，但老板娘非常热情，好客。', '短评打分': 5}
{'短评内容': '并不在景区内，不过离景区入口不远。预订时说是可以加床的，但到店里却要我们多付一间房的房费，信用度差', '短评打分': 3}
{'短评内容': '加钱换了标准间，老板娘人挺好，离周庄很近', '短评打分': 5}
{'短评内容': '节假日这价格不贵，但平常的话就偏贵，平常这种房间好多……就是民房……', '短评打分': 1}
{'短评内容': '这家客栈是在景点外面的。\n需要在古戏台那个出入口先拍照片，这样你的门票可以随意进出。\n客栈也是在古戏台那个出入口的附近\n也可以从沈万三水底墓那个口出去，反正两个口出去都比较近\n客栈比较干净。二楼2个房间。前面是标间，后面是双人床\n三楼是属于阁楼。二楼与三楼之间的楼梯是木的。所以走动里吵声还是比较大的', '短评打分': 1}
