{'短评内容': '整体还行吧', '短评打分': 3}
{'短评内容': '酒店地理位置好', '短评打分': 4}
{'短评内容': '很干净，环境也不错，虽然酒店开业时间有点长了。但是设施一点都不觉得陈旧过时，以后去长春就固定住这家酒店了', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '押金200，六点开始早餐', '短评打分': 5}
{'短评内容': '不错，交通便利，环境也还可以', '短评打分': 5}
{'短评内容': '酒店环境非常好，交通便利，一次非常愉快的旅行。', '短评打分': 5}
{'短评内容': '酒店本身没有什么问题，只是通过京东开票太麻烦了，不按套路出牌', '短评打分': 1}
{'短评内容': '商务出差 还可以', '短评打分': 4}
{'短评内容': '很不错，早餐很不错，很丰富', '短评打分': 5}
{'短评内容': '很不错，早餐很不错，很丰富', '短评打分': 5}
{'短评内容': '早餐很棒，很不错，', '短评打分': 5}
{'短评内容': '房间挺大的，挺不错的', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '还可以。卫生间异味可太重了！挺受不了的', '短评打分': 4}
{'短评内容': '酒店地点非常方便，每次去都住在那，旁边有万达，沃尔玛，还有很多购物中心，吃饭的地方也特别多。酒店的早餐种类也很多！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '小还埋汰……', '短评打分': 2}
{'短评内容': '交通很方便，房间卫生还可以，早餐一般', '短评打分': 5}
{'短评内容': '环境很好，设施比较老旧', '短评打分': 5}
{'短评内容': '酒店位置不错，顶楼早饭还有旋转餐厅，周边环境很好，后面就是一条小巷子，有好多好吃的，最主要的价格也不贵，下次还会考虑入住', '短评打分': 5}
{'短评内容': '酒店位置不错，顶楼早饭还有旋转餐厅，周边环境很好，后面就是一条小巷子，有好多好吃的，最主要的价格也不贵，下次还会考虑入住', '短评打分': 5}
{'短评内容': '环境干净，方便', '短评打分': 5}
{'短评内容': '环境舒适，价格合理，洁净卫生，非常适合出差商旅之选', '短评打分': 5}
{'短评内容': '地理位置在长春的绝对的商业中心，附近全是大商场、超市、购物中心。相当的热闹。爱热闹的人可以考虑入住。房间总的来说还算可以就是稍显小。', '短评打分': 5}
{'短评内容': '房间比较小，但是还满干净的，市中心，什么都方便。', '短评打分': 3}
{'短评内容': '环境可以，早餐一般，有报纸和蛋糕赠送。总体还可以。', '短评打分': 5}
{'短评内容': '优点：位置不错，很方便，性价比较高。\n\n缺点：停车场居然收费20块，四星酒店没有免费停车？？？\n\n      电梯有厨房的味道！！！', '短评打分': 5}
{'短评内容': '硬件条件不错,早餐质量需要提高和四星不符啊.....', '短评打分': 5}
{'短评内容': '以后大连我就经常住这里了，就是早饭不太好', '短评打分': 5}
{'短评内容': '繁华地段,有时间的话购物很方便!!!!!!!!!!', '短评打分': 5}
{'短评内容': '酒店靠近市中心位置确实较好，前台和大堂副理服务较为热情；大堂副理尤其值得称赞！\n但与同类同档次酒店相比价格确实太贵，特别是我们所住楼层服务员的服务态度极差，\n且多次欺负外地客人，这与宾至如归相差甚远，确实需要酒店主管很好批评教育和改正，否则严重影响酒店形象、也影响酒店生意；另外，此酒店号称四星酒店，但大堂连喝茶\n喝咖啡的地方都没有，这也实在不应该啊！', '短评打分': 1}
{'短评内容': '硬件设施很好,软服务需提高! 早餐一班班!', '短评打分': 5}
{'短评内容': '核心地段，方便就是商场，购物方便，房间装修还不错，性价比还不错，小套房的床是斜的，但沙发很好，大套房的房间很大，但沙发没有小套房的好。', '短评打分': 5}
{'短评内容': '环境还好!房间小点,四星,性价比可以!', '短评打分': 3}
{'短评内容': '很不错为生很好住着很舒服', '短评打分': 3}
{'短评内容': '中规中距', '短评打分': 3}
{'短评内容': '住宿环境不错', '短评打分': 3}
{'短评内容': '性价比很好，下次还会入住。', '短评打分': 3}
{'短评内容': '地理位置还不错，不过酒店内部装修不怎么样，服务也一般。早餐比较差', '短评打分': 1}
{'短评内容': '地毯太脏，前台完全谈不上服务，很奇怪这样的素质就能开酒店。。。。', '短评打分': 1}
{'短评内容': '很好  酒店很舒适  不过为什么有冰箱  冰箱里没有东西呢？', '短评打分': 5}
{'短评内容': '市中心的酒店，出行方便。酒店装修过，简约，感觉还不错。是商务住宿不错的选择。', '短评打分': 5}
{'短评内容': '很好的酒店，装修很新颖，下次还会入住！！！！', '短评打分': 5}
{'短评内容': '位置好 交通便利，就是房间有点小，干净、整洁。性价比很高，周边吃的挺多的，设施都还挺好挺新的，非常满意 \n', '短评打分': 5}
{'短评内容': '地理位置不错，套房面积也挺大，但装修还是旧了些', '短评打分': 1}
{'短评内容': '第二次入住了，都很好，周围有很多商场，对面还有东方饺子王，推荐', '短评打分': 5}
{'短评内容': '挺不错的，紧邻重庆路，购物逛街都很方便，旁边还有沃尔玛', '短评打分': 5}
{'短评内容': '房间大小及设施不错！早餐也很好！位于商业街，交通便利！', '短评打分': 5}
{'短评内容': '在市内最繁华地段，很方便。房间也很干净，这个价格很满意。以后出差就选这里', '短评打分': 5}
{'短评内容': '太差劲了，五点入住时还没打扫好。然后等在门口看服务员打扫，竟然看到用同一条抹布又擦桌子，又擦马桶；毛巾也不更换，我找服务员，大姐告诉我说，上一个客人应该没用过，让我接着用，恶心！晕！', '短评打分': 1}
{'短评内容': '条件还可以，早餐质量一般。交通便利，卫生也还可以', '短评打分': 5}
{'短评内容': '位于长春市最繁华市中心。毗邻重庆路。出行方便，打车去伪满皇宫和净月潭都只要10元左右。周末有些塞车。\n有免费的自助早餐。服务还可以。', '短评打分': 5}
{'短评内容': '位处市中心, 周围购物和吃饭都很方便, 酒店房间也不错, 以性价比来说值得住了.', '短评打分': 5}
{'短评内容': '不错，在长春市中心，值得再次入住，下一次再住这里', '短评打分': 5}
{'短评内容': '也就是招待所得水平。设施陈旧，服务意识差。国营单位过度的。', '短评打分': 1}
{'短评内容': '房间里家具太多，使得比较大的房间也显得小了。尤其是网线的位置，前面真好被桌腿挡住，使得网线太难接。明明知道网线不好，应该及时更换。其它均可以。', '短评打分': 5}
{'短评内容': '酒店的房间有点小，但很干净，周围交通便利，地铁、公交出行方便、离商业区很近。不足的地方，傍晚门前会有卖猫狗的小商贩，比较乱。电梯较小，高峰时上下楼要等。', '短评打分': 5}
{'短评内容': '很好 不错 值得入住  很好 不错 值得入住  很好 不错 值得入住 ', '短评打分': 5}
{'短评内容': '酒店位置不错，早餐不怎么样，很一般，很一般。', '短评打分': 5}
{'短评内容': '国贸酒店装修及室内布置比较舒服，服务也非常到位，就是没有接送飞机场的服务！', '短评打分': 5}
{'短评内容': '房间位置超好，楼下就是必胜客和KFC，吃快餐非常方便，三百多的价格也不贵', '短评打分': 5}
{'短评内容': '性价比高，档次高，环境好，附近购物十分方便\n', '短评打分': 5}
{'短评内容': '最常住的酒店，性价比高，服务好，硬件好，强烈推荐商旅入住', '短评打分': 5}
{'短评内容': '性价比很高，逛街购物也很方便，就是早餐开的晚了点。', '短评打分': 5}
{'短评内容': '地点好，很舒适，就是办理入住和退房的时候需要很多时间，其余都很好啦，推荐。', '短评打分': 5}
{'短评内容': '地点特别好，周围有好几个商场，可以晚上去购物', '短评打分': 5}
{'短评内容': '在重庆路商圈，位置不错，房间很干净，早餐如果再丰富些就更好了。', '短评打分': 5}
{'短评内容': '性价比较高，服务态度一般，被褥不是很新，总体感觉尚可。对得起这个价钱。', '短评打分': 5}
{'短评内容': '房间位置超好，楼下就是必胜客和KFC，吃快餐非常方便，三百多的价格也不贵，比吉祥398的房间强多了，至少服务好多了。', '短评打分': 5}
{'短评内容': '还可以,那天早餐就是乱,也许是早餐厅小了点,其他还可以', '短评打分': 5}
{'短评内容': '位置不错，周边有很多吃饭的地方，靠近重庆路商圈，服务再温馨些就更好了。', '短评打分': 5}
{'短评内容': '位置不错，在重庆路商圈上，服务不错，早餐再丰富些，就更好了。', '短评打分': 5}
{'短评内容': '电梯有点毛病，不是很方便，停车位不够，其他都不错，很舒适', '短评打分': 5}
{'短评内容': '除了停车位不多，电梯有点不智能，其他都很好，下次还会选这个酒店', '短评打分': 5}
{'短评内容': '环境优良。早餐不错，希望早餐照顾一下散客们。下次还会入住', '短评打分': 5}
{'短评内容': '位置不错，在重庆路商圈上，周边的配套设施很好，交通也方便。', '短评打分': 5}
{'短评内容': '服务再细致些，早餐再做的好吃些，就更加完美了，房间里像速溶咖啡，不应该收费。', '短评打分': 5}
{'短评内容': '酒店为新装修，整体感觉还可以，有些细节还是比较薄弱，需加强！有些服务员素质待加强！\n', '短评打分': 5}
{'短评内容': '好 房间很大 地段还好 几乎没有缺点 就是早餐不免费 需要改进', '短评打分': 5}
{'短评内容': '很好，不错的酒店，房间很干净，服务态度也很好，下次还会入住。', '短评打分': 5}
{'短评内容': '客房很简洁舒适，服务也很周到，很喜欢这家酒店。', '短评打分': 5}
{'短评内容': '标准的三星级酒店 装修古老 设施较为陈旧 位置还是不错的', '短评打分': 5}
{'短评内容': '酒店新装修的，设施很好，就是房间不算大，结帐的速度比以前快了！', '短评打分': 5}
{'短评内容': '位置不错，离长春火車站近.步行几分钟很方便。房间设施很新，卫生条件也好，性价比不错', '短评打分': 5}
{'短评内容': '酒店设施比较新，环境也不错，就是隔音效果差了些', '短评打分': 5}
{'短评内容': '环境很好，早餐普通。下次还会入住，还有点装修的味道。需提高软件服务', '短评打分': 5}
{'短评内容': '环境不错，位置不错，就是大堂有点寒酸！~                     ', '短评打分': 5}
{'短评内容': '位置不错，离长春卓展步行几分钟很方便。房间设施很新，卫生条件也好，性价比不错', '短评打分': 3}
{'短评内容': '房间设施很新，早餐也还不错，地理位置也很方便。值得推荐', '短评打分': 5}
{'短评内容': '酒店位置不错，交通方便，性价比高。现正在重新装修大堂及门面，装修后感觉会更好。', '短评打分': 5}
{'短评内容': '大堂在装修，服务员态度相当一般，由于赶早班车，客人希望略早一点开早餐或带走一些，被拒。', '短评打分': 5}
{'短评内容': '设施很好，房间不错，位置在市中心，性价比很高。', '短评打分': 5}
{'短评内容': '入住还可以，就是结账的时候人比较多，没有办法啊，谁叫长春这几天会比较多。', '短评打分': 5}
{'短评内容': '酒店2009年新装修，房间明显还有刺鼻味道。房间地毯颜色太深，不舒服。最不能忍受的是不能上网，网管忙了一小时也没解决，换房间试试也不行。住过几十家酒店，不能上网的还是第一家，要不是信用卡担保，当天肯定要退房，勉强住了一天。\r\n优点也要说：整体装修符合四星标准，等味道没了就好了。', '短评打分': 1}
{'短评内容': '位置相当不错，新装修的房间，环境不错，性价比很高\r\n下次去还住这里。', '短评打分': 5}
{'短评内容': '还不错的.地理位置还挺方便.以后还会住.', '短评打分': 3}
{'短评内容': '+房间家具较新 总体感觉还不错', '短评打分': 5}
{'短评内容': '位置很好 很舒适 26层旋转餐厅很有特色', '短评打分': 3}
{'短评内容': '位置很好 服务态度也很好 26层有旋转餐厅很有特点', '短评打分': 5}
{'短评内容': '酒店似乎是新装修的,里面的设施和用品都很新很有档次.地理位置相当好,周围吃饭购物都很方便。整体感觉性价比很好，值得推荐。', '短评打分': 5}
{'短评内容': '挺热闹的.交通方便.', '短评打分': 5}
{'短评内容': '国贸位于长春市中心，出行交通很方便，价格合理适中。性价比很不错去长春的话可以做个参考。', '短评打分': 5}
{'短评内容': '酒店边上吃饭办事都比较便利，有小吃和商场，办理入住很顺利，总体感觉不错。', '短评打分': 5}
{'短评内容': '房间设施和卫生都很不错，卫生间很干净，住起来很舒服，比较满意。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '隔音效果好，觉睡的很舒服，服务员温和友好，而且耐心，周围吃饭坐车都方便，推荐。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店硬件条件和卫生还可以，位置不错挺方便出行的，而且性价比也很高，我挺满意的.', '短评打分': 5}
{'短评内容': '设施还可以，服务员态度热情，感觉很温馨，还有就是位置好，交通快捷。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，对人有礼貌，位置是在市中心的，所以交通也很方便。', '短评打分': 5}
{'短评内容': '性价比不错，房间宽敞明亮，床也很舒服，离人民广场不远，挺繁华的。', '短评打分': 5}
{'短评内容': ' 一个字 好！', '短评打分': 3}
{'短评内容': '好 值得入住 ', '短评打分': 5}
{'短评内容': '不错 不过网络好像有问题 我去那会上不了网', '短评打分': 3}
{'短评内容': '基本还可以，但不知道为啥电脑在那不能上网，换家酒店就好了', '短评打分': 5}
