{'descr': '还行', 'star': 4}
{'descr': '房间设施，卫生超级差，洗个澡还凉的很，，最不能忍受的是Wi-Fi竟然不能上网，那你们安个Wi-Fi干毛用', 'star': 1}
{'descr': '位置挺好的，离观前街也不太远，出去走一段路就有地铁站的，房间小了点，但是性价比不错，热水一打开就有，也有空调，隔音也还是好的。', 'star': 5}
{'descr': '房间小了点，其它还好。', 'star': 5}
{'descr': '前台招待很热情，就是周边环境有点吵，隔音一般', 'star': 4}
{'descr': '不不不不不不不不', 'star': 5}
{'descr': '行程有变，还好可以免费取消！', 'star': 5}
{'descr': '位置一般，交通一般', 'star': 5}
{'descr': '密不透风。窗户是封死死的。床头灯坏的。洗手间通风也是坏的。。。', 'star': 1}
{'descr': '二楼有个舞厅，太炒了，', 'star': 4}
{'descr': '环境很好啊，可以常去啊', 'star': 5}
{'descr': '布丁经济实惠，卫生还可以就是边上的KTV有点吵', 'star': 5}
{'descr': '很干净', 'star': 5}
{'descr': '很快很好', 'star': 4}
{'descr': '房间好简陋，被子太薄，睡得冷死了，空调开了也还是冷。', 'star': 3}
{'descr': '位置离医院很近，对我们来说很方便，附近有好利来，酒店大堂也有小货架，吃喝用都有还蛮齐全的！房间虽小，但比附近那几家干净，有窗户！', 'star': 5}
{'descr': '价钱与实际相符，性价比高。', 'star': 5}
{'descr': '清爽干净整洁', 'star': 5}
{'descr': '清爽干净整洁', 'star': 5}
{'descr': '挺好的', 'star': 4}
{'descr': '酒店价格很优惠。房间太小了，服务基本可以。中评吧', 'star': 4}
{'descr': '总体上还可以，房间也比普通大床房大一些，价格很便宜，就是电视的信号不太好！房间隔音也不好，这个价格也不能要求太多啦。下次估计还会住这边！', 'star': 5}
{'descr': '酒店都还好，就是挨着个大舞厅，从早到晚听得见，还有附近装修的声音，甚是吵闹！', 'star': 5}
{'descr': '很好的房间', 'star': 5}
{'descr': '本来订的温馨大床房，到店后店员给我们免费换成了特价大床房。说温馨大床房睡两个人够呛的，厄，但是特价大床房也比想象中的小，就不知温馨版的要怎么小了，可能是刚住过七天的大床房造成的对比，不过一分价钱一分货吗，总体还是不错的，干干净净的，打扫也很及时，服务态度也很好。。离观前街有一些距离的，走过去大概十五分钟的样子吧。', 'star': 5}
{'descr': '还不错，就是小了点，洗漱用品需要自己买或是自己带，有点麻烦\n\n整体还是不错的', 'star': 5}
{'descr': '价格不比别的连锁酒店低，房间太小了，无窗的非常闷气，没有一次性牙刷梳子，下次不会再入住了。', 'star': 1}
{'descr': '到各个景点都很方便，不怕累的话走路也能到，比如十全街啊，观前啊，石路啊都不远，酒店布置的挺有情趣，服务员态度也不错，就是房间小了点', 'star': 5}
{'descr': '交通比较方便，价格低廉；酒店房间小，隔音不好，隔壁说话听得很淸楚；住的三层，二层有歌舞厅，从早晨六点就开始有人跳舞，音乐声超大，与房间形成共振，一直到晚上十点，严重影响休息；总评性价比不高，不予推荐。', 'star': 3}
{'descr': '我定的是温馨大床房，房间非常非常的小，这家店旁边有个歌厅，晚上睡觉很吵！', 'star': 3}
{'descr': '房间除了有点小，但是很亮，有窗，还不错', 'star': 3}
{'descr': '屋子还不错，交通方便，苏州不很大，到哪都不用很长时间啊', 'star': 3}
{'descr': '酒店有点小', 'star': 3}
{'descr': '酒店还不错。布丁的风格都比较小巧。周围交通也比较方便的。', 'star': 5}
{'descr': '很干净，有朝气的酒店！个人很喜欢虽然房间不大，', 'star': 3}
{'descr': '地点还不错，也干净，就是房间太小，还有就是不提供洗刷用品得自己带或花钱在前台买。', 'star': 5}
{'descr': '不提供洗漱用品，真悲剧……环境也一版版。', 'star': 1}
{'descr': '总体感觉还行，就是住的房间没WIFI信号，后来懒得换了', 'star': 5}
{'descr': '地点很好，交通便利 走环保型酒店的路线，设施一般啦  空间不够大', 'star': 5}
{'descr': '还不错，临街的房间有点儿吵。不错的说。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '感觉还不错 不过要自备牙膏牙刷 别的都很好', 'star': 5}
{'descr': '价格虽然比较便宜一些，但是里面的空间确实是有点简陋，没有像样的桌子，只是一块三角形的板，没有窗户（这个我倒是提前知道的）的设计使得整个楼层感觉想蜂窝似地。\n不过服务态度倒是挺好。', 'star': 1}
{'descr': '服务很好，快捷周到', 'star': 3}
{'descr': '房间太小了吧，145元住那种房间一点都不值，以后不会去了', 'star': 1}
{'descr': '这个酒店还不错，比较干净，时尚年轻的感觉，服务也不错。', 'star': 5}
{'descr': '交通不方便，晚上没夜宵，唯一的夜宵真是难吃，酒店房间太小，穿单起球，不舒服，环境还行干净，电视机位子不对，无法观看，洗漱东西请自备，酒店不提供，如果需要可在总台投币购买，无线宽带速度蛮快，', 'star': 1}
{'descr': '价格实惠,挺实合平民的.服务态度很好!就是吃饭有点困难,因为附近的饭店比较少', 'star': 5}
{'descr': '温馨的感觉，周边环境还行，就是没有洗漱用品，入住的朋友可能要自己准备咯', 'star': 5}
{'descr': '很温馨，很有家的感觉', 'star': 3}
{'descr': '房间太小太闷，不适合商务，性价比差。', 'star': 3}
{'descr': '标间虽小但很温馨，很干净，洗澡水很给力，价位不高，适合带家人自费旅游是歇歇脚，经济又舒适', 'star': 5}
{'descr': '同样的价格，大床房Ｂ要舒服许多，无线宽带也很方便，周围吃饭的地方不多有点遗憾。对了，那儿不提供洗漱用品，杯子也得自己弄个替代物，卫生还是不错的', 'star': 5}
{'descr': '酒店位置很好，出行很方便。卫生方面，洗手间稍有异味，其他还好。洗漱用品要自己准备，稍有不便。这次住的是内窗的大床房，比较闷，不推荐。', 'star': 3}
{'descr': '适合年轻人住 一个楼层里的房间很多 有点像迷宫 遇到火灾可能会有问题……', 'star': 1}
{'descr': '环境还行 不过毛巾有点味道。下次要注意房间的清洁', 'star': 5}
{'descr': '房间虽然小但很干净，隔音效果好～', 'star': 3}
{'descr': '房间太小，隔音太差，窗户锁死，无法通风，洗浴用品需自行购买，夜间睡觉貌似附近还有KTV的唱歌声，无法安然就寝。', 'star': 1}
{'descr': '卫生间不怎么干净，预定的时候也没说牙刷牙膏什么的要自己带', 'star': 1}
{'descr': '房间有点小，但是很干净， 很喜欢这家酒店的窗帘很漂亮，交通也很方便 ', 'star': 5}
{'descr': '房间很小，设施太过简陋，隔音也不好，唯一的好处就是价格 比较便宜', 'star': 1}
{'descr': '房间太小', 'star': 3}
{'descr': '温馨大床房在角落里，外面就是kTv，吵。还有塞门缝”服务卡片”的，酒店应该管一下 。其实还可以。', 'star': 3}
{'descr': '地段很方便，走走就是市中心了，位于老城区，所以可以看的东西还是必要多的，总的来说还行', 'star': 5}
{'descr': '很好，态度不错！！！！！！！！！房间还蛮干净的！！！', 'star': 5}
{'descr': '不太好找，服务一般，而且晚上还挺吵的，不建议你们去。', 'star': 1}
{'descr': '挺干净的,服务也好,橙色的,挺温馨,推荐!', 'star': 5}
{'descr': '为什么  你们这里给我 的房间是 145元  和 115元 各一天  一共是 260 元   而酒店直接是 125元  一个晚上  一共 250元    怎么价格会不一样呢？？   酒店很干净   隔音效果不好  服务很好  ', 'star': 5}
