{'短评内容': '房间好大，风景不错', '短评打分': 3}
{'短评内容': '基本都挺好的，以后会向友人推荐这家酒店，谢谢。', '短评打分': 5}
{'短评内容': ' 酒店很不错，豪华迷你单间足够两人住的，加返的券灰常划算的。', '短评打分': 3}
{'短评内容': ' 北海凯旋国际大酒店太差劲了。首先，房间陈旧简陋，厕所极其差，连一般的快捷酒店都比不上；其次，客服态度很差；再次，价钱也不便宜', '短评打分': 3}
{'短评内容': '刚到酒店CHECK IN， 总台就告知7月1日起房价要涨（因为进入北海旅游旺季），但是本人坚决不同意，并告知ELONG上订的就是这个价，如果价格有变动，酒店应该及时通知ELONG并做出更改，而不是消费者到达酒店后通知我们。后来总台致电给主管级人物，同意按ELONG预定的价格入住。服务态度上还是比较好的。客房服务人员的服务也很不错。普通标间不值得入住，地面不干净，地上太多的烟洞，房间有浓厚的烟味。房', '短评打分': 5}
{'短评内容': '早餐很好，但是客房服务员不是一般的差，相当地恶劣！', '短评打分': 5}
{'短评内容': '酒店地理位置还不错.', '短评打分': 3}
{'短评内容': '该酒店挺不错的，地理位置好，酒店内部环境还可以，房间也比较安静，且顶楼有旋转餐厅。', '短评打分': 5}
{'短评内容': '酒店大堂很大气，酒店的地理位置极好，周边有KTV、酒吧、购物广场等，各项配套非常完善！', '短评打分': 5}
{'短评内容': '不错的酒店，32楼的旋转餐厅非常不错，周围都是繁华的商业广场，逛街购物非常方便。唯一美中不足的是酒店大厅的灯光不足，给人感觉比较阴森。', '短评打分': 5}
{'短评内容': '酒店还不错！还免费升级了间豪华间！上街挺方便的！市中心！', '短评打分': 3}
{'短评内容': '环境不错很简洁', '短评打分': 3}
{'短评内容': '凯旋国际商务大酒店位置方便，服务热情，就是早餐的种类少了点！', '短评打分': 5}
{'短评内容': '已入住，酒店位置不错，海景房风景很好，就是房间有点小。', '短评打分': 3}
{'短评内容': '位置不错，酒店前面就是北部湾广场，周围都是超市，酒店顶楼的旋转餐厅味道不错，价格也是大众水平，而且人不多，非常安静。下次还要住这里。', '短评打分': 5}
{'短评内容': '市中心方便但设施陈旧', '短评打分': 3}
{'短评内容': '夏天住还可以，冬天住酒店没有暖气，被子又薄，那个冷啊', '短评打分': 1}
{'短评内容': '房间设施有点陈旧了，装修也不是很喜欢', '短评打分': 3}
{'短评内容': '不错, 不错, 经济实惠, 下次再来, 下次再来....', '短评打分': 5}
{'短评内容': '酒店无论那方面都是比较差的，不建议其他人入住               ', '短评打分': 1}
{'短评内容': '酒店位置非常好，出行用餐购物都很方便。豪华迷你单人房卫生间实在太小，连沐浴房都没，无法忍受，后来换了个标准单人间。但是200多起价这个价格的酒店中央空调只制冷不制热，还是有比较大的缺陷。', '短评打分': 5}
{'短评内容': '酒店设施还可以  但是离五星级酒店就差远了 服务一般', '短评打分': 5}
{'短评内容': '198的房间比较小，但是没关系，但冬天居住的话会很冷，酒店没有冷暖空调！', '短评打分': 5}
{'短评内容': '今天温度很低，挂五星酒店竟无暖风！！！前台接待服务很差！再不住这名实不符的酒店了；（：（', '短评打分': 1}
{'短评内容': '价格合理 卫生干净', '短评打分': 3}
{'短评内容': '还可以！！!!!!!!!!!!!!!!!  好像空调有点问题！！', '短评打分': 5}
{'短评内容': '这个酒店位置好 但是迷你单人间实在是太小了 更恶劣的是卫生间的淋浴喷头居然是坏的 不能挂在墙上 害我一直拿手里面洗澡 3星级酒店居然没有马桶 是蹲坑 让人难以接受', '短评打分': 1}
{'短评内容': '卫生还可以，就是都比较旧了，不值五星级', '短评打分': 3}
{'短评内容': '国庆节去北海刚好遇到据说是近十年不遇的大台风，可怕的经历，作为旅游简直太失败了。之前预订这家离海大概二十分钟车程的酒店是因为这个时间海边的酒店都满房了，不过后来来了台风后发觉幸亏住在这里。台风里的大海边简直是噩梦，除了那些海边酒店本身外，没有吃饭的地方，去沙滩更不可能。\n酒店位置很好，北海城的正正中心，吃饭特别方便，尤其下楼就有KFC，把儿子乐坏了。对面是北海的大商场，刮着台风就只能去商场混。\n住', '短评打分': 5}
{'短评内容': '北部湾广场边上,挺热闹，顶层餐厅视野好 .\n31楼开出的早餐服务，汤米粉，有各式小菜和调料。\n', '短评打分': 5}
{'短评内容': '这次入住品尝了酒店在31楼开出的早餐服务，总体不错！特别是汤米粉，有各式小菜和调料相伴可称为“佳肴”！', '短评打分': 5}
{'短评内容': '还可以，再来北海还住这', '短评打分': 3}
{'短评内容': '环境不错舒适', '短评打分': 3}
{'短评内容': '住在里面可以看见整个北海城区，位置不错.......', '短评打分': 5}
{'短评内容': '地处繁华闹市，房间还好，饮食随意，好-----------------下次再来 ', '短评打分': 5}
{'短评内容': '号称海景，事实上只能看楼顶而已，还不能用银行卡', '短评打分': 1}
{'短评内容': '位置好，北部湾广场边上，坐车方便，挺热闹，早餐还行，顶层餐厅视野好', '短评打分': 5}
{'短评内容': '挂星的和标准星级的还是有不少的差距，房间比较小，可以远眺北部湾也许算是一个小亮点吧', '短评打分': 1}
{'短评内容': '酒店很豪华，住在里面可以看见整个北海城区', '短评打分': 5}
{'短评内容': '地点在市中心，方便购物吃饭。早餐没什么可吃的。服务人员态度还好。设施一般。', '短评打分': 5}
{'短评内容': '定的迷你大床房,不错,干净,周围交通和生活便利', '短评打分': 3}
{'短评内容': '总体感觉不错，早餐也挺好，物有所值，前台服务也不错，下次还住', '短评打分': 5}
{'短评内容': ' 几好,中途有点小问题换房间,服务员很快解决。', '短评打分': 3}
{'短评内容': '空调太不给力了，制冷系统不好', '短评打分': 3}
{'短评内容': '酒店不如想想的好，海景房纯属圈套，离海边还有2公里远，在窗户边只能看见海里停的船的轮廓。讲什么海景房，有些诶被骗的感觉。', '短评打分': 1}
{'短评内容': '总体感觉不错,就是电视收台太少了,才几个吧.希望改进!', '短评打分': 5}
{'短评内容': '还可以，靠近市中心，很近， 主要方便，。。。。就是酒店服务不怎么样，', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店位于市中心，出行购物用餐比较方便，很好。', '短评打分': 5}
{'短评内容': '不错，价格很实惠。房间充足。装修豪华。性价比高。', '短评打分': 5}
{'短评内容': '已经住过多次了，很好，房子和早餐很好，环境也好', '短评打分': 5}
{'短评内容': '很舒服的酒店，适合入住，而且交通也很方便。强烈推荐。', '短评打分': 5}
{'短评内容': '\u3000\u3000位置最佳，服务也不错。但12楼的标双太成问题了，房间霉味严重，卫生间设施破烂，隔壁夜总会噪音值到零晨2、3时，严重影响入睡。第二天换了16楼的豪华标双，总体感觉还是不错。如要推荐，只能推荐豪华标双。早餐吗，只能吃饱，不能吃好。', '短评打分': 5}
{'短评内容': '冷氣不夠涼,房間裝飾很豪華,可惜床太硬了,睡木板一樣!!!', '短评打分': 1}
{'短评内容': '后来安排的房间没有第一次入住时大，非常小，希望酒店可以保持前后一致！', '短评打分': 5}
{'短评内容': '就是没有早餐，感觉不太方便，其它一切都还好。', '短评打分': 5}
{'短评内容': '北海凯旋国际大酒店地处闹市内部装修及设施有准四星水准，总体印象不错！', '短评打分': 3}
{'短评内容': '干净舒适，还不错！', '短评打分': 3}
{'短评内容': ' 我第一次去北海，入住北海凯旋国际商务大酒店很好，北海市的典范，请大家去北海一定住宿北海凯旋国际商务大酒店。', '短评打分': 5}
{'短评内容': '性价比不高。。跟的3星酒店内设差不多。。空调也不够凉。。', '短评打分': 1}
{'短评内容': '＋酒店服务态度很好！地理位置很棒！', '短评打分': 3}
{'短评内容': '五星级的酒店  超级便宜的价格  非常舒适的居住条件  物超所值', '短评打分': 5}
{'短评内容': '麻雀虽小，五脏俱全，交通方便，餐饮丰富，黄金地段', '短评打分': 5}
{'短评内容': '还行，适合一个人入住，房间很小，不过一个人足已，毕竟价格实惠', '短评打分': 3}
{'短评内容': '已入住,很好', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '各方面感觉还不错，就是没有早餐，房间够大，也很整洁。如果有早餐，就好了。', '短评打分': 5}
{'短评内容': '除了交通方便，其他说不出来什么好~住豪华海景单间都没有早餐~床太硬，卫生间贼小~', '短评打分': 1}
{'短评内容': '商业中心   楼下就是商业街   吃的选择比较多  房间环境还可以  ', '短评打分': 5}
{'短评内容': '酒店很烂，没有早餐，价钱还死贵，没有免费的矿泉水', '短评打分': 1}
{'短评内容': '有点旧，地毯有味道，房间内还挺潮湿的，不喜欢', '短评打分': 1}
{'短评内容': '酒店硬件装修的很不错，服务很好，服务员都很周到热情，房间蛮大的，属于欧式的建筑风格，房间卫生条件很好，干净整洁，住宿条件不错', '短评打分': 5}
{'短评内容': '位置不错，地处北海市中心，这家酒店楼层很高，29和30层是旋转餐厅，从餐厅能看到整个北海市的景观，酒店靠海也比较近，周边环境很好，性价比较高', '短评打分': 5}
{'短评内容': '性价比比较高，配套设施齐全，服务到位，酒店所处位置交通出行很方便', '短评打分': 5}
{'短评内容': '酒店大堂装修的比较气派，服务一般，房间大小合适，周边出行方便，附近逛街购物都没问题，住宿条件还可以', '短评打分': 5}
{'短评内容': '房间住着比较干净清爽，硬件设施配备齐全，酒店地处北海最繁华的地方，距离购物广场，车站，吃饭的地都很近，出行很方便', '短评打分': 5}
{'短评内容': '酒店卫生状况很好，很干净整洁，前台服务很好周到热情，房间蛮大的，装修的比较传统，地理位置交通出行还是很方便的', '短评打分': 3}
{'短评内容': '比较一般的酒店。房间卫生条件一般，服务还好，酒店位置在市中心，出行较方便', '短评打分': 3}
{'短评内容': '，房间太小', '短评打分': 3}
{'短评内容': '房间装修的很传统，服务一般，卫生条件不错，干净整洁，酒店地处北海市中心，周边出行很是方便的', '短评打分': 5}
{'短评内容': '房间挺干净的，就餐环境很好，价格也很实惠，酒店靠近海，周边环境不错，总体感觉各方面都还好', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比价高，酒店装修的气派，硬件设施齐全，服务到位，卫生很好，服务员都会及时打扫房间的，住着很放心', '短评打分': 5}
