{'descr': '一般', 'star': 3}
{'descr': '不错不错啦', 'star': 5}
{'descr': '不是很干净', 'star': 4}
{'descr': '实惠，环境不错', 'star': 5}
{'descr': '酒店服务非常好', 'star': 5}
{'descr': '酒店设备一般般 位置还可以 周围吃饭地方不多 拖鞋太薄了 房间还比较安静 总体来讲还是值这个价 电梯也要刷卡才能用 比较安全', 'star': 4}
{'descr': '一般，就是空调不给力压', 'star': 3}
{'descr': '改造后加盟的，清洁度一般', 'star': 4}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 4}
{'descr': '位置好', 'star': 5}
{'descr': '不错，便宜，附近有麦当劳，离东川路地铁站也很近', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '总体还不错，房间非常宽敞，环境安静.在偏僻的交大周围也算性价比比较高的酒店了。离东川路地铁站比较近，公交一站的距离。', 'star': 4}
{'descr': '感觉不错，环境挺好的。', 'star': 4}
{'descr': '很好 下次还会住很好 下次还会住很好 下次还会住', 'star': 5}
{'descr': '酒店环境很好，紧靠百家湖，环境安静', 'star': 3}
{'descr': '酒店环境很好，紧靠百家湖，环境安静', 'star': 3}
{'descr': '酒店位置，服务，房间都不错！希望下次还在这里住！', 'star': 5}
{'descr': '设施尚可，旁边靠近一个机械车间，一个晚上都在加班，室外空气里有很明显的机械车间特有的那种油铁味，如果入住建议选择单号房间可能会好点', 'star': 5}
{'descr': '位子比较难找，服务态度蛮好的，但是设施比较一般，但是价格还是蛮合理，但是环境个人觉得比较吵', 'star': 5}
{'descr': '条件很好，交通也便利，从地铁站一直走过来就能找到，大床房面积好大', 'star': 5}
{'descr': '前台的服务挺好的，各种配套服务很标准化，值得信任。', 'star': 5}
{'descr': '还可以，就是不怎么好找。下次去，还会住的，交通还是方便的', 'star': 5}
{'descr': '酒店一般，服务两星级，环境三星级，价格四星级！', 'star': 3}
{'descr': '安静 整洁 舒适 离开交通大学闵行校区很近 离开紫竹科技园也很近', 'star': 5}
{'descr': '公司客户基本都订这，图的地理位置和环境。其他没什么好说', 'star': 5}
{'descr': '公司客人基本都定这，地理位置和环境都不错', 'star': 5}
{'descr': '还可以。价格有点乱。。。。。。。。。。。。。', 'star': 5}
{'descr': '整体感觉还不错，房间有点小，洗手间遮蔽不够好。', 'star': 5}
{'descr': '酒店环境是很好，百家湖边上，但是说实话，给我的印象不好，晚上10：30了还有电话骚扰，第二天发现白色的被子上有很明显的黑色污迹，汗!!!要是晚上看到，肯定找他们换房间了。。。。', 'star': 1}
{'descr': '很不错  实惠  下次再去  就是现在好像没特价了  ', 'star': 5}
{'descr': '房间比较大，挺干净的。房间比较大，挺干净的。房间比较大，挺干净的。房间比较大，挺干净的。房间比较大，挺干净的。有点不太舒服的就是早餐比较一般', 'star': 5}
{'descr': '酒店打的不是很方便，出租车一般不进南京城里，酒店前台的服务似乎不够热诚，一走进大堂就有点失望了。', 'star': 1}
{'descr': '早餐尚可，服务较差。出租车很难打。', 'star': 3}
{'descr': '酒店干净，简洁舒适,但隔音较差,晚上噪音较大', 'star': 3}
{'descr': '空间很大，装修很新.不错啊', 'star': 3}
{'descr': '还好，看起来干净，距离交大闵行校区步行一刻钟', 'star': 5}
{'descr': '环境还不错~价格也很好 ，就是离车站远了点', 'star': 5}
{'descr': '距离交大闵行校区步行15分钟，就是当时发票没能及时开出，现在还在等他们邮寄发票！这点不方便！！', 'star': 5}
{'descr': '装修的味道太大了，熏得头晕。晚上没敢在房间里住，找了别的酒店。钱付了又退不回来。早餐也一塌糊涂。强烈不推荐。\n', 'star': 1}
{'descr': '干净卫生，就是设施的质量较差，里面装修的做工对不起这家宾馆的规模。', 'star': 5}
{'descr': '整体不错，就是电视机打开速度太慢，离床比较远，看得吃力。', 'star': 3}
{'descr': '很干净 很好 服务挺热情 就是店里面点菜有点贵 总的来说不错 电视的话有点小卡。。', 'star': 5}
{'descr': '价格不算太贵，环境也还可以。\n\n就是晚上杂音比较多', 'star': 5}
{'descr': '酒店非常豪华就是难找', 'star': 3}
{'descr': '挺好', 'star': 3}
{'descr': '订的节日百元房，冲的是便宜。。里面装修也还是不错，也很干净，服务也蛮好，就是隔音效果不好，但总体来说很超值了。。', 'star': 5}
