{'短评内容': '很好呢 房间卫生很好服务态度也很好', '短评打分': 5}
{'短评内容': '周围全是KTV，太吵', '短评打分': 4}
{'短评内容': '晚上真的太吵了，不过入住的时候前台就已经说了，但是还是没有想到有那么吵，第二天果断换酒店', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境还可以，主要看能定到好房间吗？我住的房间还可以！离中山桥很近！定房间的时候说楼上楼下有娱乐场所很吵，但定个好楼层也就好了！', '短评打分': 4}
{'短评内容': '好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评好评', '短评打分': 5}
{'短评内容': '经常住  挺好', '短评打分': 5}
{'短评内容': '房子比较大，干净整洁！房间设施齐全！就是楼上有KTV 比较吵！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还不错\n 京东上第一次订酒店', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '晚上周围噪音太大', '短评打分': 2}
{'短评内容': '挨着ktv，有点吵', '短评打分': 4}
{'短评内容': '还行，价格公道，位置方便。', '短评打分': 5}
{'短评内容': '太烂了，第一次住这么差的酒店，KTV唱歌扰得一晚上没睡，又没停车位，今后坚决不选这家了。', '短评打分': 2}
{'短评内容': '楼上就是ktv，到半夜两点前都有点吵', '短评打分': 4}
{'短评内容': '服务好，房间整齐，大，舒服。而且价格在周边算不错的。', '短评打分': 5}
{'短评内容': '酒店和ktv夹层布置，晚上睡觉会比较吵，建议睡眠不好的人慎重考虑。酒店位置很好，交通方便。房间很大，设施齐全，隔音效果差。', '短评打分': 4}
{'短评内容': '很满意。服务态度好', '短评打分': 5}
{'短评内容': '综合评价，不错！', '短评打分': 4}
{'短评内容': '我住十一楼，1109房间，我晕，从晚上七八点到凌晨四五点KTV的声音震天响，根本没法休息，因为过来出差，周围的酒店也就这里干净点，凑合吧！可怜我受了5天的罪啊 ！', '短评打分': 1}
{'短评内容': '交通比较便利，卫生不怎么样，洗脸池有毛屑，杯子里也有。在细节上能更完善就好了', '短评打分': 5}
