{'短评内容': '第一次入住的时候觉得还可以，这次觉得没以前好了', '短评打分': 4}
{'短评内容': '有骚扰电话。你们懂得', '短评打分': 4}
{'短评内容': '好，挺不错的', '短评打分': 4}
{'短评内容': '酒店安静、干净服务也好，值得推荐', '短评打分': 5}
{'短评内容': '酒店安静、干净服务也好值得推荐', '短评打分': 5}
{'短评内容': '已经垮了', '短评打分': 5}
{'短评内容': '房间没有窗户，一进去就是一股很久没有通风的味道，那个床是烂的，上面有那个粘粘，把我的丝袜给挂烂了。', '短评打分': 4}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '网上预订是水的，没空调，其他都有', '短评打分': 3}
{'短评内容': '酒店不错的推荐！', '短评打分': 5}
{'短评内容': '太旧了……味大…… …………………………', '短评打分': 3}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '环境挺好，卫生还中！！！！！！！', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
