{'短评内容': '无早餐，车站附近，不建议住，周边环境乱，脏！', '短评打分': 4}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '挺干净的，在重庆北站倒车的可以考虑', '短评打分': 5}
{'短评内容': '服务热情', '短评打分': 5}
{'短评内容': '服务人员很负责，晚上十一点多到找不到地方，有来接人，服务也很到位。旅馆较小，不过价格比较实惠，同样的旅馆我住过一个要八十多。', '短评打分': 4}
{'短评内容': '崔欣', '短评打分': 1}
{'短评内容': '老板人很不错。住宿环境也蛮好的。老板看我一个人住 就特意又换了一大标间给我住。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '差评 说好的全天热水 结果放不出热水偶尔运气好才有一点热水 要个吹风也是烂的 拖鞋是脏的 电脑键盘是烂的 浴霸也是烂的 根本莫法住 必须差评', '短评打分': 2}
{'短评内容': '有点小插曲但都解决好了，态度还不错，性价比高，要求不高的住一晚可以了，套房改造的公寓，隔音稍微差点！', '短评打分': 4}
{'短评内容': '一般，这价钱也只有这样啦！', '短评打分': 3}
{'短评内容': '总体来说真的不错了，这个价格，房间有点小，老板很热情，离龙头寺车站很近', '短评打分': 5}
{'短评内容': '我能说老板带我们去的根本不是什么舒馨公寓吗，图片与现实根本不符', '短评打分': 1}
{'短评内容': '老板人挺不错，专门留给我了一个带窗的房间，还有电脑可以使用，给个好评', '短评打分': 5}
{'短评内容': '到重庆就打电话问老板地址，老板说接我，我忘记说我还要40分钟才到，结果老板在那等了差不多半小时，附近都是吃的，很实惠，房间挺干净的，床头有插座，边充电边玩手机，洗澡有浴霸不怕冷。报一日游没有解放碑这个点，想趁晚上去看，老板说打的堵车还贵，告诉了我地铁路线，人很好。来重庆旅游可以找老板报团哦，便宜些，我在携程报了，来到才知道贵了', '短评打分': 5}
