{'短评内容': '不错，服务好干净', '短评打分': 4}
{'短评内容': '位置很好找   交通便利   房间很干净设施也不错', '短评打分': 5}
{'短评内容': '位置很好找   交通便利   房间很干净设施也不错', '短评打分': 5}
{'短评内容': '酒店不错。有停车场。也有饮用水。', '短评打分': 3}
{'短评内容': '酒店重新装修过，还是一如既往的好，停车方便，房间大，床也大，卫生干净，周边吃饭很方便，每次来乌市必选的酒店，', '短评打分': 5}
{'短评内容': '卫生、安静、已经很多次入住了！很不错的宾馆！', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '出差乌鲁木齐的首选，交通便利吃饭方便。', '短评打分': 4}
{'短评内容': '出差乌鲁木齐的首选，交通便利吃饭方便。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '网速慢.床太硬', '短评打分': 5}
{'短评内容': '服务不错，房间太小了，晚上睡觉有点吵，好像是空调室外机的声音。。', '短评打分': 5}
{'短评内容': '交通便利，环境舒适，不错的选择', '短评打分': 3}
{'短评内容': '怎么说呢，因为较高的推荐我最终给老公选择了这家酒店，结果老公说就跟普通的宾馆差不多，还不如去如家呢 ，让我郁闷啊！ ', '短评打分': 1}
{'短评内容': '交通、餐饮都十分方便，房间环境舒适，服务较好', '短评打分': 5}
{'短评内容': '干净、早餐好、价格适合，周边环境位居市中心，出行方便。', '短评打分': 5}
{'短评内容': '房间不错，价格稍高。', '短评打分': 3}
{'短评内容': '酒店的价格入住的时候由238变成248，有点恼火！', '短评打分': 5}
{'短评内容': '最近几次都住，房间干净、清净。但是这次入住，在房间里一直听到嗡嗡的声音，直到凌晨1点过才消失。本来订的两天，住一天就赶紧退房', '短评打分': 1}
{'短评内容': '网络简直是差劲！无语！！！！网络简直是差劲！无语！！！！', '短评打分': 1}
{'短评内容': '很不错的酒店，值得一去，周围环境很不错，唯一就是房间小了点，不过干净。', '短评打分': 5}
{'短评内容': '还不错，收费的东西不明确，多花了5块钱，希望改进', '短评打分': 5}
{'短评内容': '整体都还不错~  不过略感价位有点稍高~\u3000\u3000但是位置已经很好了！\u3000\u3000哈哈\u3000\u3000', '短评打分': 5}
{'短评内容': '酒店设施比较不错，卫生也好。就是打车不太方便，周围不远的地方也有吃饭的地方。总体不错！', '短评打分': 5}
{'短评内容': '整体感觉还不错，如果不是乌鲁木齐最近实在是打车不方便，这里就没神马问题了。\n早餐的种类有点少，但作为经济型酒店来说已经可以接受了。酒店的服务生态度很好，但是前台在客人多的时候就有点忙不过来了，让客人等的时间过长。', '短评打分': 5}
{'短评内容': '价格还可以，房间干净，在公园北街酒吧一条街附近。', '短评打分': 5}
{'短评内容': '周边环境很好，交通餐饮十分方便，房间环境卫生都不错，服务也不错', '短评打分': 5}
{'短评内容': '环境很好 服务很热情 适合常出差的人士居住 以后来乌鲁木齐还来这里', '短评打分': 5}
{'短评内容': '交通便利，停车方便，安全。同比其他的商务酒店要安静、卫生。推荐！', '短评打分': 5}
{'短评内容': '房间比较大 我选的是218元的标间， 除了网线，还有无线网，不错，早餐很好，也比较多。比较安静， 位置在工人文化宫附近，不要被八音和速8酒店的名字误导，跑到八音和KTV哪儿了， 总体非常满意。', '短评打分': 5}
{'短评内容': '挺好的，服务卫生都很好，尤其是早餐很好！', '短评打分': 5}
{'短评内容': '就是觉得还算安静 服务态度 也还不错 另外希望能在优惠点 就好了', '短评打分': 5}
{'短评内容': '定的标准间B特惠 真的不错，房间大，比较干净 ，188元不错。', '短评打分': 5}
{'短评内容': '位置非常好,在文化宫的边上,附近很多吃饭的地方\n不过就是床有点硬', '短评打分': 5}
