{'descr': '位置有点偏僻', 'star': 4}
{'descr': '环境一般，室内空气有异味，离拙政园很近', 'star': 4}
{'descr': '总体还行，房间内设施略陈旧，卫生间设施也一样', 'star': 4}
{'descr': '位置不错', 'star': 4}
{'descr': '每次都选速8，好，自助游', 'star': 5}
{'descr': '娄门关附近，价格不贵。', 'star': 5}
{'descr': '地理位置相对比较偏一些吧！ 但是环境不错 装修较新 卫生也很好哦！推荐！', 'star': 5}
{'descr': '交通方面还是很方便的，但是设施比较一般，节假日价格上涨很多', 'star': 4}
{'descr': '酒店位置太棒了，交通打车也可以，主要名气大。就是屋里电视启动很麻烦。另外说真的，速8真得装修了。那么好地段搞成精品酒店多好。白瞎了那房源', 'star': 3}
{'descr': '还可以吧', 'star': 3}
{'descr': '环境很好，交通也很方便', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '超喜欢', 'star': 5}
{'descr': '还好', 'star': 4}
{'descr': '刚下高铁就马上狮子林去玩，从狮子林南坐313到向阳桥下车即可到达~经过向阳桥就看到速8了~酒店很好找~晚上不想去游船的可以选择到河的对岸欣赏一下夜景~感觉美美的~城楼已经有一千多年历史~可去感受一下~晚上还有人在河边垂钓~此情此景不正合适度假的心情~', 'star': 4}
{'descr': '房间比较干净，周围环境一般，价格一般，性价比一般！', 'star': 4}
{'descr': '一般', 'star': 3}
{'descr': '房间还可以的，比较大干净', 'star': 3}
{'descr': '这是我第一次住速8酒店,也是最后一次.\n该酒店不讲信誉,而且服务极差.我提前说过要留一间安静不临街的房间,前台也同意了,但等到入住确是靠路边的房间,一直过车,很吵.前台说晚上9点后就不吵了,但实际情况确不是这样,前台又说是因为过节,而且不靠路边的房间都没有窗户.她们是不是把人都当傻子了,这些为什么在我提前咨询的时候不说呢?房间的隔音极差,隔壁的人一直在吵闹,他们电视的声音也听得很清楚,一晚上基本没', 'star': 1}
{'descr': '一、好的方面：被褥清洁，卫生间设施设备基本齐全，卫生状况良好，排风设备完好无异味，服务反馈很及时，离拙政园、狮子林所在的东北街很近，大概一千米，过了楼门桥差不多就到了。二、不足之处：无刮胡须、吹风机设备，洗发水效果不好，隔音效果一般，不知是下水管道铺设问题还是其他屋顶一小块面积出现渗水迹象，无窗，排风机声音有些大尤其是在入睡时。\n总体感觉：150元的特价还是可以，总台服务还是不错，房间上不了网时，', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '靠近火车站，连锁的品质一如往常，没有太差，没有太好……', 'star': 5}
{'descr': '房间比想象的小多了，床也小了点，空间挤了点', 'star': 1}
{'descr': '标准间还是不错的，宽敞，有窗，经济实惠。', 'star': 5}
{'descr': '有电脑，就是上网速度有点慢，房间环境不错。', 'star': 5}
{'descr': '看房时是双床房，临着河的，房间宽敞明亮，入住时换了大床房，窗外乱七八糟，还好老人家不在意，当时应该订好房间的，其他还可以，很满意卫生间', 'star': 5}
{'descr': '标间比大床房好，多出10元住大床房比较合算', 'star': 1}
{'descr': '比实际的便宜三十，就是不知道消费券怎么用', 'star': 3}
{'descr': '大是满大的，还行，就是到付钱的时候问我们拿清洁费，说有污渍，虽然钱不多，但心里总归不怎么开心的。', 'star': 5}
{'descr': '服务，卫生，交通等都很好并且出行等市内交通很多。，值得推荐！', 'star': 5}
{'descr': '酒店卫生服务都不错，而且离苏州几个名园都不远，很方便，值得推荐', 'star': 5}
{'descr': '条件很好，很干净，可以上网，网速也很快！最重要的是，离景点好近哦！服务也很好！赞！', 'star': 3}
{'descr': '我已入住，服务比较满意', 'star': 3}
{'descr': '酒店距离拙政园大约10分钟，狮子林有点儿距离。喜欢走路的朋友比较适合，因为到耦园和动物园都比较近，但是走路还是需要一些时间。节假日的时候白塔东路比较拥挤，我还是建议大家选择步行好一些。酒店陈设简单明快，洁净整齐，我比较喜欢淋浴间，玩了一天舒舒服服的洗个热水澡非常的惬意哦！我和家人都感觉很不错的酒店，酒店的房间也很大，但是要选择的。酒店有内圈房是没有窗户的，要注意选择哦！', 'star': 5}
{'descr': '离拙政园很近，就是在主干道上和桥边，有点吵。', 'star': 5}
{'descr': '离拙政园确实不远，走着就过去了，就是空调不暖和，窗户不保暖，睡在靠窗那边冻醒好几回。\n洗手间的水发黄，如果开的大点下水管还漏水- -\n电视的台还可以，就是信号不好，，都不清楚，还时不时的就没信号- - ', 'star': 1}
{'descr': '新开业的酒店，冷冷清清的，空调不好，褥子薄得能摸到弹簧。', 'star': 1}
{'descr': '位置在桥下面，从火车站打的不太好找，但是离拙政园走过去的话稍微有点远\n饭店的隔音不好，大早上的就被左右隔壁的人吵醒了\n', 'star': 5}
{'descr': '酒店位置还可以，出门很多吃饭的地方，离开火车站什么的都不远，但是房间没有窗门，很压抑，而且最关键的是早餐太差，就两三样东西，是我吃到现在最差的早餐，还有收15元！强烈不推荐！', 'star': 1}
{'descr': '这是第三次来苏州速8（拙政园店），很不错的酒店，下次还会来的，就是我在京东网上预订的房间，在杭州、苏州、周庄、上海显示的是在艺龙上预订的，令我很郁闷。是京东网把我们的信息给转嫁了吗？另外如果有速8会员卡的话，预定房间会比网上预订便宜的，另外马上10.1黄金周马上到了，看见速8 总台已经预告准备涨价了，一个房间涨60元，请抓紧预定吧。', 'star': 5}
