{'短评内容': '还好吧。。', '短评打分': 5}
{'短评内容': '一般般的酒店啦，没有早餐，一次性鞋等用品要收费。对比经济性酒店，还是过得去的，以后有机会还会入住的。', '短评打分': 4}
{'短评内容': '非常不错！很喜欢这里，一来就住这里', '短评打分': 5}
{'短评内容': '可以吧。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '说是携程订的有点不高兴啊、房间有点旧、自驾路过订的、可以停车', '短评打分': 4}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '对的起这个价格', '短评打分': 5}
{'短评内容': '房间一般…环境一般！价格还可以', '短评打分': 3}
{'短评内容': '房间环境一般', '短评打分': 3}
{'短评内容': '房间还可以…但是靠外边的房子有点小吵', '短评打分': 3}
{'短评内容': '第二十一次入住了', '短评打分': 5}
{'短评内容': '每次出差都住这，已经习惯了！', '短评打分': 5}
{'短评内容': '酒店其实还算可以。就是太黑，竟然说我没有入住，反复搞了几次，才承认!!!', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境很好，服务也好，下次还住', '短评打分': 3}
{'短评内容': '挺好的，前台挺热情的，位置也还可以，房间卫生干净，性价比高', '短评打分': 3}
{'短评内容': '很不错，值得入住！洗漱用品收费而已！', '短评打分': 3}
