{'短评内容': '周围环境暗上楼有点黑', '短评打分': 4}
{'短评内容': '东西好差，真的，不值这个价格', '短评打分': 3}
{'短评内容': '房间宽敞。环境优雅。值得拥有', '短评打分': 5}
{'短评内容': '哦哦哦哦哦哦哦', '短评打分': 5}
{'短评内容': '可以这', '短评打分': 5}
{'短评内容': '好，，，，，，，，，，，。。。', '短评打分': 5}
{'短评内容': '不错的，，，，，，，，', '短评打分': 5}
{'短评内容': '公寓式酒店，要绕一圈，还有门禁，进出不是很方便，床头没有插座，手机充电不方便', '短评打分': 4}
{'短评内容': '在小区内，可以住', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '出行方便，干净服务态度好', '短评打分': 3}
{'短评内容': '一般吧，不过这个价位也还可以了', '短评打分': 4}
{'短评内容': '房间隔音效果不好 晚上靠路那边太吵了', '短评打分': 3}
{'短评内容': '还不错，公寓式酒店，交通也方便。最重要的是离机场大巴点很近。', '短评打分': 5}
{'短评内容': '环境还行，服务态度很好，设施家具略感沉旧，总体不错。', '短评打分': 3}
{'短评内容': '地点还算不错,购物与出行方便;室内环境较好,干净卫生;服务态度很好,给个好评。', '短评打分': 5}
{'短评内容': '环境大抵还是不错的，附近也有不少商店，但是周围环境欠缺繁华，但是作为长住的地点，还是不错的，附近的公交可以直达大雁塔，房间环境也很好，也比较干净整洁，同时房间相比相同价位的旅馆要大得多，我最喜欢的也就是是它的阳台，给人感觉不会憋闷，作为较低价位段的旅馆算是很好的了。', '短评打分': 5}
{'短评内容': '很整洁，周围也很繁华，在小区里面感觉很安全，住起来很舒服。', '短评打分': 5}
{'短评内容': '酒店很干净 服务也很好  最好的是酒店的服务人员素质很高 我们落下的东西及时通知了我们  下次去还会入住', '短评打分': 5}
{'短评内容': '感觉环境还是需要改善，房子和灯光最起码给人亮一点的感觉，地板也应该重新修整！而现在给人的感觉是比较敷衍！', '短评打分': 3}
{'短评内容': '这家酒店还是不错的，本来以为比较偏远，但是去火车站都有公交直达，外出比较方便，而且是酒店式公寓单房，不是打隔断的，隔音效果很好，晚上比较安静，按照同等价位的酒店来看，性价比还是比较高的', '短评打分': 5}
{'短评内容': '是我想想中的那种房子，这次订酒店真是太高兴了！公寓设施齐全，很干净，有家的感觉哦O(∩_∩)O~', '短评打分': 5}
{'短评内容': '酒店挺家庭化的，房间很大很舒适，设施也挺齐全，让人感觉挺温馨的。', '短评打分': 5}
{'短评内容': '酒店设计的有点本土特色，设施很齐全，价格也不贵，住的很满意。', '短评打分': 5}
{'短评内容': '价格不算贵，服务态度也挺好，房间装修风格挺别致，设施挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间挺大的，颜色搭配的挺协调，设施很齐全，感觉挺舒适。', '短评打分': 5}
{'短评内容': '这次住的很惬意很随意，设施很齐全，房间宽敞舒适，价格还不贵，值得推荐。', '短评打分': 5}
{'短评内容': '设施有些陈旧，但挺齐全的，卫生很好，床单被子都挺干净，用着挺放心。', '短评打分': 3}
{'短评内容': '在一个小区里，环境挺干净，睡眠质量挺好，价格也不算贵。', '短评打分': 5}
{'短评内容': '公寓形式，房间挺宽敞的，厨房洗衣机冰箱都有，住着挺不错的。', '短评打分': 3}
{'短评内容': '服务挺细心的，每个房间和每个房间的风格不一样，布置都温馨，住的有种家咯感觉。', '短评打分': 5}
{'短评内容': '房间装修的挺好，打扫也挺干净，有宽敞有电脑的，使用很方便。', '短评打分': 3}
