{'短评内容': '差差差，我不知道该说什么。我订的标间。说了给我一间安静一点的。呵呵，没想到给我一间靠近KTV的。忘记说了这家旅馆边上隔壁是一家会所。一墙之隔，然后半夜音乐声雷鸣。找服务员换一间。服务员说可以但是要加钱。马德，这还要加钱。怎么不明抢。没办法大半夜也没去处，只能加钱。换了第二间一开门，卧槽卫生间的玻璃炸了，碎了一地，边上的床上都是玻璃渣。服务员说只能给我们换大床。从标间到大床，我也是醉了。第三间房一进', '短评打分': 1}
{'短评内容': '，，，，，，，，，，，，，，，，，，，，，，，，，，就，，，，，，，，，，，，，，，，，，，，，，，就', '短评打分': 5}
{'短评内容': '，，，，，，，，，，，，，，，，，，，，，，，，，，就，，，，，，，，，，，，，，，，，，，，，，，就', '短评打分': 5}
{'短评内容': '挺好，还可以，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，灬灬', '短评打分': 5}
{'短评内容': '还不错，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，。。。', '短评打分': 5}
{'短评内容': '总体不错，性价比高，交通还是比较方便。尤其开车的，上下高速公路特方便。我已住了多次。下会再去宁波仍然住博文。', '短评打分': 5}
{'短评内容': '位置比较好，附近可以吃饭的选择比较多。总体上还是不错的', '短评打分': 5}
{'短评内容': '位置比较好，附近可以吃饭的选择比较多。总体上还是不错的', '短评打分': 5}
{'短评内容': '还好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '装修老旧，卫生一般，非常一般', '短评打分': 3}
{'短评内容': '房间蛮好，三星酒店的早餐太差，值得改进。', '短评打分': 3}
{'短评内容': '一帮帮了，干净还可以。', '短评打分': 3}
{'短评内容': '还行，五年前来过，宾馆老了', '短评打分': 3}
{'短评内容': '考试来的，晚上看书，根本就没睡，房间有点老', '短评打分': 3}
{'短评内容': '酒店很不方便，共三层，没有电梯，提很大一箱行礼也没有保安人员帮忙，而且很吵，一点也不值这个价格。订的时候是大床房，到前台却告知无，只有双床。超级郁闷', '短评打分': 1}
