{'descr': '交通方便,环境优雅,价格优惠', 'star': 5}
{'descr': '酒店在居民区里面，停车场小。服务还不错', 'star': 5}
{'descr': '临时有事竟然取消不了', 'star': 1}
{'descr': '酒店位置离地铁站很近  服务也很好  早餐市自助餐挺丰富的   下次出差还来这', 'star': 5}
{'descr': '早餐很好！酒店位置离民航干院不远。服务态度超好，很喜欢前台的年轻人！酒店价格在同地段算是低的了。', 'star': 5}
{'descr': '酒店位置很好 去了不止一次了', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '服务还好！但是居然没提供梳子之类的', 'star': 3}
{'descr': '附近有公交车站，离三元桥地铁站不算远，宾馆在小区，安静、休息好，推荐住', 'star': 4}
{'descr': '房子不大，装修时间久&bull;但还算干净，在小区里挺好找，挺安静，休息得不错。而且离公交站很近，就是觉得有点小贵。', 'star': 4}
{'descr': '房子不大，但比较干净，在小区里挺好找，挺安静，休息得不错。而且离公交站很近，就是觉得有点小贵。', 'star': 4}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '掌柜的服务态度真好，发货很快。商品质量也相当不错。太喜欢了，谢谢！', 'star': 5}
{'descr': '掌柜的服务态度真好，发货很快。商品质量也相当不错。太喜欢了，谢谢！', 'star': 5}
{'descr': '不错，位置很好，比较干净，设备有些老旧，总的来说比较物有所值', 'star': 5}
{'descr': '很好，全国连锁就是要正规些，很精致，京东更优惠', 'star': 5}
{'descr': '建议用一次性杯子，硬件设施及时维修！', 'star': 5}
{'descr': '普通快捷酒店，还是比较干净，建议用一次性杯子。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '换不错', 'star': 5}
{'descr': '真心感觉差，洗漱用具都不全，真心感觉差，洗漱用具都不全，真心感觉差，洗漱用具都不全，真心感觉差，洗漱用具都不全。', 'star': 3}
{'descr': '比附近另一家汉庭要陈旧些', 'star': 4}
{'descr': '酒店整体感非常好，很满意。房间卫生很干净，采光很好，大堂干净，整洁，很满意，酒店员工很好，见到客人很热情，服务态度很好。房间隔音效果很好，睡得很舒服，非常好。服务员的态度很好，很亲切，很满意，操作熟练，办理入住快，酒店交通非常便利，购物很方便，真心推荐给更多的朋友。酒店房间设施齐全，电视非常清晰，淋浴很好用，24小时热水供应，非常方便，酒店环境很好。大厅干净温馨，有免费的咖啡，奶茶，前台服务员微笑', 'star': 5}
{'descr': '离办事的地方近，比较方便', 'star': 4}
{'descr': '服务员弄错房卡，等了好久。对不起都不说，态度漠然。房间没网线连接电脑，无线信号不好。垃圾汉庭。', 'star': 3}
{'descr': '因为临时有一个会议，这边交通都比较方便，离望京soho都是也很近，而且在小区里面相对来说还是比较安静，但是有可能酒店时间比较长了，整体设施有点偏旧，对这点还是不太满意，其他的都还不错！', 'star': 5}
{'descr': '挺好的，挺干净，就是房间有点小', 'star': 5}
{'descr': '公司展会订的，因为去展馆还算方便，之前也订，不知道是不是因为这次房间多，安排上实在有点混乱，希望下次能改进吧\n以后展会难免还是要再定的', 'star': 5}
{'descr': '和别的家比起来，这家服务态度一般，房间也不算大，优点就是离机场比较近。', 'star': 5}
{'descr': '还行，就是不太好找，以前定不用信用担保，现在需要，挺麻烦的', 'star': 1}
{'descr': '还不错，离住处比较方便，地段小偏，但还算安静，离机场也蛮近的', 'star': 5}
{'descr': '还不错，比较干净整洁，就是房间有点味道。', 'star': 5}
