{'短评内容': '比较经济，房间较小，休息足够啦', '短评打分': 5}
{'短评内容': '总体来说还是不错的！', '短评打分': 4}
{'短评内容': '酒店半夜停电了', '短评打分': 5}
{'短评内容': '，酒店位置不错性价比高', '短评打分': 5}
{'短评内容': '挺好挺好的~', '短评打分': 5}
{'短评内容': '挺好的，住了好几次了，很满意', '短评打分': 5}
{'短评内容': '黄金价格改革后黄凡分分合合会被反复发个呵呵呵', '短评打分': 5}
{'短评内容': '挺好的住宿，便宜实惠，距离大雁塔超级近，非常方便', '短评打分': 5}
{'短评内容': '。。。。。。。。。。', '短评打分': 5}
{'短评内容': '具体我福气咯王乙王乙王乙王乙', '短评打分': 5}
{'短评内容': '还可以呢，房间再大点就好了~~总体还行，就是洗发露和沐浴露太low了', '短评打分': 5}
{'短评内容': '环境不错的', '短评打分': 5}
{'短评内容': '挺好的，环境优雅，客服态度也很好', '短评打分': 5}
{'短评内容': '还不错哦，值得推荐', '短评打分': 5}
{'短评内容': '挺好的选择', '短评打分': 4}
{'短评内容': '还不错经常住布丁都非常熟悉了觉得很适合学生党只住一晚还是很不错的 卫生条件都非常的不错就是会小点 但是这个价格非常的值了', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '连一个洗漱用品都不提供，房间还那么小', '短评打分': 4}
{'短评内容': '一分价钱一分货，房间只能说还凑合', '短评打分': 4}
{'短评内容': '一个人住可以，床小，房间很小，窗户不能开，被子不通气，不是棉的，捂在里面出汉！难受！', '短评打分': 3}
{'短评内容': '位置超方便，火车站、大雁塔都超级近。 热水很给力，房间很温馨干净，前台小美女还给了2套洗漱用品很热情友好，淋浴很舒服，电视节目很多。酒店位置很好，公交站就在门口，坐车很方便，酒店给的路线图很贴心哦！服务周到细心，赞一个', '短评打分': 5}
{'短评内容': '好！给五颗星，服务热情棒棒哒！卫生干净棒棒哒！热水，wifi都超给力，交通便利，经济实惠，总之很好，值得推荐入住哦！', '短评打分': 5}
{'短评内容': '非常满意，环境好，位置佳，挺温馨的，服务很好，态度和蔼。房间给安排了比较安静的，干净整洁，床舒适，空调好用', '短评打分': 5}
{'短评内容': '房间很干净的，床也很舒服，东西设施都挺齐全。前台服务给满分吧，感觉很亲切，耐心解答并指引，下次住还会选择这', '短评打分': 5}
{'短评内容': '房间干净，很温馨，大床房有向阳的窗户，小马窗帘是个亮点，可爱。楼层的走廊里墙上彩绘很好看，适合拍照留念哦！前台服务也是不错的，房间给前台打电话，态度很好，要了一些食品还给送到了房间，点个赞，还有也给送了洗漱用品，很感谢', '短评打分': 5}
{'短评内容': '住的还行，房间小了一点。干净，整洁，但五脏俱全。', '短评打分': 5}
{'短评内容': '住的还行，房间小了一点。干净，整洁，但五脏俱全。', '短评打分': 5}
{'短评内容': '房间虽然不大，但很整洁干净，管理的不错。', '短评打分': 5}
{'短评内容': '房间虽小，但是五脏俱全，整洁干净没有异味。外出旅行的好选择。不错', '短评打分': 5}
{'短评内容': '\n\n酒店很满意！价格实惠！', '短评打分': 3}
{'短评内容': '布丁酒店西安大唐通艺坊店整体不错，比较干净，但是隔音差，没有衣架可以挂衣服，很头疼！', '短评打分': 3}
{'短评内容': '酒店很时尚干净特价房很小服务员很到位不错以后还会去住', '短评打分': 3}
{'短评内容': ' zh虽然很小,但还可以,就是不提供洗浴用品,收费', '短评打分': 3}
