{'短评内容': '经常住很方便。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好好，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '好好好，，，，，，，，，，', '短评打分': 5}
{'短评内容': '好啊', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '，舒适位置火车站特别近，交通方便', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '无早餐楼下有个餐厅', '短评打分': 3}
{'短评内容': '离火车站很近，交通很方便。原以为会比较嘈杂，但实际上朝天井的房间很安静。虽然不包早餐，但宾馆食堂很不错，菜品丰富，味道很好，价格便宜。', '短评打分': 5}
{'短评内容': '全是价廉实惠。', '短评打分': 5}
{'短评内容': '不错 地理位置还行，周围交通比较便利然后就是吃的也蛮多的这点比较好。很方便。不知道照片去哪儿了总之还是不错的性价比比较高还便宜主要周围很方便前台太度爷还不错????去哪儿都很方便的', '短评打分': 5}
{'短评内容': '多次入住 不错', '短评打分': 5}
{'短评内容': '很棒很赞 适合情侣', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '一直住这家，离办公地点比较近，周边配套设施也齐全。', '短评打分': 4}
{'短评内容': '老酒店，所有的硬件都还换了，软件设施也没有，楼道都是异味，洗澡热水也不行，毛巾很脏，唉，这个价格不去如家，七天，速八什么的，不要去住了', '短评打分': 2}
{'短评内容': '房间还可以，就是气味太不好…', '短评打分': 4}
{'短评内容': '好吵…很老的房子', '短评打分': 3}
{'短评内容': '位置很方便，房间重新装过，环境也改善了。。。。。。', '短评打分': 3}
{'短评内容': '酒店交通便利但是太吵没有早点', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很不错，下次还来', '短评打分': 5}
{'短评内容': '服务热情，环境优美，有岁月的味道，离济南站200米，去市里很方便。热水，空调很好。再来啊。', '短评打分': 5}
{'短评内容': '不错&middot;， 经济，离火车站近', '短评打分': 5}
{'短评内容': '酒店房间不大，隔音不错，就是淋浴的喷头不太对劲，不好用，其他都还好，蛮温馨的一家店！', '短评打分': 5}
{'短评内容': '离火车站很近，交通便利，服务不错，就是房间有点小，房间的地毯比较脏，其他还好', '短评打分': 5}
{'短评内容': '离火车站近，是山东文物保护单位，房间较大，价格便宜，但设施陈旧', '短评打分': 5}
{'短评内容': '价格比较实惠，内部设施有点陈旧，如果赶火车住在这边还是比较方便的，离公交站点也近，处在一个十字路口的位置，比较好找。', '短评打分': 5}
{'短评内容': '酒店的工作人员服务态度很好，房间设施也不错，离火车站很近', '短评打分': 3}
{'短评内容': '整体不错 推荐入住 卫生达标  有网线需自己带笔记本  离火车站近实在是方便哈..', '短评打分': 5}
{'短评内容': '价格公道，干净，离火车站近，总之很满意，下次来还住这里', '短评打分': 5}
{'短评内容': ' 离火车站近，服务较好', '短评打分': 3}
{'短评内容': '第一天到的时候 没有听到网上说的ktv的歌声 但是第二天直到凌晨2 3点还有声音 吵得根本睡不着 但是前台人员的态度还可以 而且因为要去别的地方玩 在这里寄存了两天的行李也没有发生意外 内部的环境还可以 但是还是不建议入住 尤其是3楼 玩了一天 夜里还睡不着是很痛苦的', '短评打分': 1}
{'短评内容': '离火车站近，价格公道，干净整洁，总之很满意啦', '短评打分': 5}
{'短评内容': '价格公道，干净，离火车站近，总之很满意，下次来还住这里', '短评打分': 5}
{'短评内容': '离火车站很近，步行三五钟的距离，前台服务不错，第一次给了一间紧挨歌厅的房间，由于带着小孩，担心影响休息，前台很痛快换了一间。价位比周围如家，汉庭，7天捎便宜些，条件也还行。', '短评打分': 5}
{'短评内容': '房间整体还行，服务也不错，有一点就是房间隔音较差，晚上有点吵。', '短评打分': 5}
{'短评内容': '真的不错 离火车站也近 环境也好 而且服务态度也不错 宾馆里面卫生也很好', '短评打分': 5}
{'短评内容': '环境不错，如果外面有同学来，一定要住这里，离火车站很近。', '短评打分': 5}
{'短评内容': '酒店服务很好，前台很照顾孩子和老人，为我们调到了较低楼层较大的标间，我们很满意，下次还会入住。', '短评打分': 5}
{'短评内容': '对于150多元钱来说，还是值得的。只是网速较慢，不太方便。', '短评打分': 5}
{'短评内容': '还算干净，就是房间里有味，价格能接受，主要离火车站很近。', '短评打分': 5}
{'短评内容': '价格适中 环境还不错 值得推荐 有服务很方便', '短评打分': 5}
{'短评内容': '假期出游，首站济南再到青岛，发现济南的酒店普遍便宜很多，山东宾馆位置就在济南站附近，从外观到内部装修，古色古香，挺好。住很多酒店，往往是水小的可怜，是而山东宾馆是水大的有点刺肉。并且价格适中。有点遗憾的是大厅里味道不太好闻', '短评打分': 5}
{'短评内容': '周围环境较乱，房间隔音较差，楼上有歌厅，晚上很吵', '短评打分': 1}
{'短评内容': '山东宾馆不错不错不错', '短评打分': 3}
{'短评内容': '酒店位置非常好，交通非常方便，价格合适，服务好，值得大家选择', '短评打分': 5}
{'短评内容': '位置很好，地铁公交都方便，离很多景点很近。房间也很新。就是和写字楼在一起，电梯不太方便。', '短评打分': 5}
{'短评内容': '之前住过一次，所以这次也选择这里了。房间不错，隔音效果也还行。重点是离火车站近，走走就到了，吃早饭的话楼下就有金德利。', '短评打分': 5}
