{'短评内容': '还行，附近小吃比较优惠，只是房价到周五周六都会涨价60元', '短评打分': 5}
{'短评内容': '早餐最好能再丰富一点', '短评打分': 5}
{'短评内容': '主要与断桥近，吃东西也方便', '短评打分': 5}
{'短评内容': '环境不错！距离西湖景区挺近的', '短评打分': 5}
{'短评内容': '提供洗漱用品和吹风机    前台确认订单速度非常慢', '短评打分': 3}
{'短评内容': '一般。', '短评打分': 4}
{'短评内容': '位置还不错，离西湖很近', '短评打分': 4}
{'短评内容': '赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '方便快捷，省事，', '短评打分': 5}
{'短评内容': '离西湖特别近 玩的话很方便 周围吃东西也方便', '短评打分': 5}
{'短评内容': '服务快捷 酒店放心 完美的一次旅途', '短评打分': 5}
{'短评内容': '地点不错，不好找，比较潮湿', '短评打分': 5}
{'短评内容': '酒店离西湖断桥很近，有停车场对自驾游非常方便，但是进出不方便，还要考虑杭州单双号限号规定。设施比较旧，靠着山遍，晚上非常安静，房间隔音稍差。服务热情，入住方便。', '短评打分': 4}
{'短评内容': '房间卫生……你是知道的，如家都这个样子，也不敢有太多的奢望，房间里刺鼻的是烟味吗？还是什么？？这就不说了，可是床单上的污渍也太明显了吧！！洗不干净都可以原谅，最起码得换一下吧！！位置比较偏僻，空调声音快要赶超发电机了。最可恶的是早上居然停电了！！！一早上得到的回复都是正在维修。真的是一次很糟糕的体验！！唉！说多了都是泪', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店像迷宫，晚上还停电，服务态度差', '短评打分': 1}
{'短评内容': '比较旧呢！还很潮湿！跟小旅馆差不多', '短评打分': 3}
{'短评内容': '离西湖很近的，就是门口卫生不太好，房间里卫生间门锁是坏的，墙上吹风机是个摆设，插头居然没有插座可以插，其它还好', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 1}
{'短评内容': '房间干净整洁，地理位置优越，距离狮子林，拙政园，苏州博物馆步行也不远，周围小吃店多，特别是人见人爱的哑巴生煎包子好吃。', '短评打分': 5}
{'短评内容': '周边环境还好，主要是靠西湖近，价格也不贵，不错的选择', '短评打分': 4}
{'短评内容': '有点潮湿', '短评打分': 5}
{'短评内容': '离西湖断桥很近，去岳庙，灵隐寺七路公交都可到达，方便。', '短评打分': 5}
{'短评内容': '酒店位置不错，出来就是断桥，来的时候赶上下雪，风景很赞。周边一公里吃的能选择的不多。', '短评打分': 5}
{'短评内容': '酒店外部环境不错。就是房间太小了。行动不方便。', '短评打分': 3}
{'短评内容': '住的单人间，虽小，但还干净。离西湖和青年宫自行车卡办理点不远。', '短评打分': 4}
{'短评内容': '酒店离西湖很近，价格不便宜，房间比较潮，第二天要求更换有窗的还能好一点，房间内灯光比较暗，服务员态度还不错', '短评打分': 3}
{'短评内容': '酒店在西湖边 一个小山坡上 很独特 环境也很舒适 就是小名片太多', '短评打分': 5}
{'短评内容': '离断桥很近  到灵隐和火车站都有直达公交车', '短评打分': 5}
{'短评内容': '环境不错，距离西湖近', '短评打分': 3}
{'短评内容': ' 房间小了点但是环境还不错就在西湖边', '短评打分': 3}
{'短评内容': '还可以吧。为什么我是开的2间房 系统就给我记录一间呢 在上海住的新亚大酒店为什么没记录', '短评打分': 5}
{'短评内容': '住宿条件不错，服务很好。离西湖很近。', '短评打分': 3}
{'短评内容': ' 离西湖很近', '短评打分': 3}
{'短评内容': '离西湖很近，游玩便利。整理的环境也还不错，性价比比较高。\n', '短评打分': 5}
{'短评内容': '房间虽小但很干净，紧邻西湖，出差或旅游住非常不错，早餐也很好。', '短评打分': 3}
{'短评内容': '朋友说就是位置难找些，但是酒店环境还是不错的。若是能看到西湖美景那就更好了。虽然是在断桥处，但是他们都昂首挺胸的走着呢！O(∩_∩)O哈哈~！', '短评打分': 5}
{'短评内容': '酒店太让人失望了，大床房只有一个枕头，床横着摆屋内没什么空间了。窗帘一拉开就跑出来只蚊子。', '短评打分': 3}
{'短评内容': '住的一楼，进去就有一股霉味，房间小，不过挺安静的。', '短评打分': 1}
{'短评内容': '就地点好便宜,房间一般,因为处在山边上较潮房有股霉味,离断桥景区5分钟路,很近的', '短评打分': 5}
{'短评内容': '我们走错了，住了保椒路如家\n150号店263房', '短评打分': 3}
{'短评内容': '房间很干净,很温馨,有家的感觉,如果带个情人的话就太好了。离西湖很近,服务员态度也很好,早饭也很不错,如果价格再便宜点的话就更好了,总之很满意,下次有机会还会住如家。', '短评打分': 3}
{'短评内容': '里西湖真的是很近啊，房间有点小不过还算干净，出行也很方便', '短评打分': 5}
{'短评内容': '宾馆内味道有点重，服务不错。离断桥也近。如家还真的蛮有家的感觉，呵呵。', '短评打分': 5}
{'短评内容': '地方有点偏僻，不是很好找。但是很幽静。就在宝石山下，可以看到宝石山的塔。离断桥很近，步行五分钟就到了。美中不足的是房间很小，又是靠山而修建的，采光不好。环璄干净。', '短评打分': 5}
{'短评内容': '环境不好，地理位置没有想象中好，不具性价比，以后不会再去了，这次入住很失望', '短评打分': 1}
{'短评内容': '标房比较小，但距离断桥非常近，游玩起来很方便！', '短评打分': 5}
{'短评内容': '环境很安静，房间很干净，恰在西湖边，感觉很惬意。', '短评打分': 3}
{'短评内容': '房间小，但很干净，很安静，依山而建，环境优美。', '短评打分': 3}
{'短评内容': '力西湖断桥步行5分钟，地理位置优越。房间干净，隔音效果稍差。', '短评打分': 5}
{'短评内容': ' 地理位置还可以', '短评打分': 3}
{'短评内容': '总体感觉一般般吧，位置挺好的，服务也很一般，跟前台要个东西，特墨迹。晚上回去的时候，门缝夹着各种黄色小广告，希望酒店相关人员加强管理在这方面，就凭这点就对这里有些失望。', '短评打分': 1}
{'短评内容': '很干净，就是有点小了。设施也可以吧，反正这个价钱还行了。', '短评打分': 5}
{'短评内容': '位置很不错，离西湖非常近。房间小了点，但整体环境蛮好！附近夜宵等比较难找，逛逛西湖，还是很不错的！', '短评打分': 5}
{'短评内容': '总体还不错，位置很好，去哪都近，五分钟可以到西湖断桥，房间挺干净的，舒适度较好，缺点是电视没有中央五套，NBA都看不了！', '短评打分': 3}
{'短评内容': '酒店离西湖很近，出门逛西湖很方便。酒店建在山脚下，空气很新鲜，不足是空气潮湿衣服不易干，要准备一些全棉衣服。服务员态度很好。', '短评打分': 5}
{'短评内容': '就在断桥旁边一些，依宝石山而建，酒店很干净，而且环境很好，窗外就是宝石山，树木郁郁葱葱的，酒店2层还有一个小园林，感觉很好。服务态度也很好，前台很热情！下次去还打算住那里。', '短评打分': 5}
{'短评内容': '性价比强', '短评打分': 3}
{'短评内容': '环境空气都很好，离西湖真的很近！推荐哦！', '短评打分': 5}
{'短评内容': '环境很好，就在西湖边上，走5分钟就可以到断桥，唯一不好的就是房间隔音不好，隔壁打电话都可以听到。。。', '短评打分': 5}
{'短评内容': '环境没得说，非常好，离断桥很近，出酒店那个布厅餐厅的叫化鸡跟东坡肉非常地道，价格也不贵', '短评打分': 5}
{'短评内容': '很方便舒适的酒店，价格合理，离白堤非常近。', '短评打分': 1}
{'短评内容': '隔音实在太差晚上根本睡不好枕头有污渍第二天也没更换', '短评打分': 1}
{'短评内容': '位置很好，步行去西湖只需几分钟。空调很暖和。', '短评打分': 5}
{'短评内容': '出行很方便的酒店，有早餐，各方面设施都很好，下次还会来。', '短评打分': 5}
{'短评内容': '酒店的位置比原想的好找，距西湖近，在保徽塔上可照到白堤夜景。', '短评打分': 3}
{'短评内容': '位置不错，服务很好，还主动帮忙提箱子上楼。干净。只是周围能吃饭的地方不是很多。', '短评打分': 5}
{'短评内容': '离西湖真的特别特别近，步行3分钟到湖边，所以地理位置没得说。房间比较小，但是很温馨，而且在山脚下，早上起来推开窗户空气就特别好，价位也还合适没推荐！', '短评打分': 5}
{'短评内容': '不错，很方便！离西湖实在很近，而且总体房间很舒适，对比7天有过之而无不及！', '短评打分': 5}
{'短评内容': '离西湖断桥比较近，晚上路边还有宵夜，出来对面就有租自行车的地方，离办租车卡的少年宫500米左右，很方便，下次去还住这里。', '短评打分': 5}
