{'短评内容': '还不错，周围景色很漂亮，老板热情', '短评打分': 5}
{'短评内容': '酒店海景房能清除看海 很好 离海边也很近 下楼就是海 适合一家人出去玩儿', '短评打分': 5}
{'短评内容': '住的地方挺干净的，周边便利，老板给我们很多提意，给我们的带来了大大方便，让行程更充实', '短评打分': 5}
{'短评内容': '位置不错，老板热情。有问题都能解决', '短评打分': 5}
{'短评内容': '酒店超级棒，值得大家入住', '短评打分': 5}
{'短评内容': '位置非常好，提供包车服务，还可以帮忙购买船票，服务到位~非常满意!', '短评打分': 5}
{'短评内容': '帮朋友订的还不错', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '进门看到的和网上的没法比，墙角的壁虎让我彻底死了入住的心，迅速重找酒店。哎...', '短评打分': 3}
{'短评内容': '很满意 下次去还选这里', '短评打分': 5}
{'短评内容': '房间很好  观海房  前面还有个文化广场 赞！', '短评打分': 5}
{'短评内容': '出门就是大海，旁边就是夜市，第一班船上的岛，老板娘开车来接，帮我们寄存行李，帮我们买船票，跑前跑后，后来还送我们去港口，房间也很干净，很舒服，透过窗台能看到大海，真的很赞', '短评打分': 5}
{'短评内容': '酒店很赞，房间风景也不错，晚上晚饭时间入住的 ，老板很热情的 介绍我们去当地市场买了海鲜 ，在帮我们找了饭店加工，便宜又实惠，给老板32个赞，下次再来长岛自驾游，还是会选择这边', '短评打分': 5}
{'短评内容': '订的3人家庭房，到店后给免费升级了。原计划南岛祝一天，北岛渔家乐住2天，但在这里住下后直接就将后两天房费交上去了。酒店算是公寓式渔家乐，老板服务很周到，接站送站、景点门票优惠、帮安排行程。很庆幸在淡季来这里', '短评打分': 5}
{'短评内容': '和怡景轩是同一栋楼，能看到一半的海景，卫生还不错，设施在岛上算很好的了，价格也挺贵，老板很热情，有免费接送，游玩项目也会详细给你介绍，周边就是最繁华的街道，吃饭购物都方便', '短评打分': 5}
