{'短评内容': '服务热情，位置便利，和旅行社合作的价格也公道。', '短评打分': 5}
{'短评内容': '离市中心很近，很方便，价格公道，还不错，值得推荐', '短评打分': 5}
{'短评内容': '服务态度好,设施比较完善。【XC】', '短评打分': 5}
{'短评内容': '地方很大，暖气全天供应，交通便利。', '短评打分': 4}
{'短评内容': '垃圾宾馆', '短评打分': 1}
{'短评内容': '酒店位置不错', '短评打分': 4}
{'短评内容': '1、是在小区里的住宅，根本不是什么标准的酒店 2、每天没有人打扫卫生，很脏 3、里面只有一张床、一张沙发、一个茶几，而且很脏 4、卫生间不是一般的臭 5、还每天限电5度，太扯了 6、服务不好，一开始不给提前退房 7、不能刷卡，只能给现金', '短评打分': 1}
{'短评内容': '。酒店地址错误。没有外指示牌，还以为骗子呢。入住酒店必须与酒店方联系。中心医院斜对面高楼3号楼2单元22楼。', '短评打分': 5}
{'短评内容': '山寨如家 是湖南如家酒店什么什么集团 完全不是一回事', '短评打分': 3}
{'短评内容': '下次还会去，真的不错，性价比很高', '短评打分': 5}
{'短评内容': '条件还行，就是太难找了，酒店外没有任何标示', '短评打分': 5}
{'短评内容': '水电不能随便用，这个有点和其他的地方不同。其他的还不错！', '短评打分': 5}
{'短评内容': '去的时候堵车，客服热情联系把到店时间延后。老板很热情，房间卫生也很干净，还有厨房的，一个人住有点浪费了。', '短评打分': 5}
{'短评内容': '还不错，挺舒服的…', '短评打分': 3}
