{'短评内容': '不错，这个价位住这样的酒店很满意', '短评打分': 5}
{'短评内容': '一般房间味道有点不适应', '短评打分': 4}
{'短评内容': '酒店前边就有停车场，一楼服务台旁边有咖啡厅环境不错人这里一到晚上夜生活开始了人就很多，酒店还有茶餐厅，周边环境不错，酒店对面有条河。', '短评打分': 5}
{'短评内容': '说两个问题 一个就是房间中有老鼠， 我可是住在八楼，估计楼内的线路没有好好封闭， 被老鼠上来了，第二个问题是 赶上了电梯维修，八楼爬了几次。', '短评打分': 3}
{'短评内容': '酒店里的空调声音有点大  第一天时有点累 没有留意 第二天时才觉得有点吵  好在最近有台风 然后晚上睡觉没有开 ', '短评打分': 3}
{'短评内容': '很多次住了，', '短评打分': 5}
{'短评内容': '还好吧，这个价格，已经不错了', '短评打分': 5}
{'短评内容': '各方面还不错！唯独网络没有这就是大问题', '短评打分': 5}
{'短评内容': '好吧，还行啊，朋友住的，还一般般', '短评打分': 5}
{'短评内容': '出来会考的。！房间住的很舒服，空调电视很齐全，下次高考打算再来', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '太吵了', '短评打分': 2}
{'短评内容': '环境还行，就是小广告挺多的', '短评打分': 5}
{'短评内容': '酒店一般吧！毕竟是十一长假，性价比还说的过去，唯有一点让人不能忍受，凌晨三点四点了，外面还有人在哪里吃宵夜，吵闹的不能入睡。停车方便，早餐丰盛。', '短评打分': 4}
{'短评内容': '酒店居然忘了给我安排房间，临时给了个其他型号房。', '短评打分': 4}
{'短评内容': '服务挺好的，也挺干净，第二次住了，经济实惠，有早点', '短评打分': 5}
{'短评内容': '一般般吧还行，就是吃饭较方便。', '短评打分': 4}
{'短评内容': '酒店不错，房间很大，卫生也好，离车站也不远。', '短评打分': 4}
{'短评内容': '挺干净，环境不错。楼下小吃街，想吃啥都有。方便。有机会再来。', '短评打分': 5}
{'短评内容': '在万宁算是不错的酒店了，对得起这个价格，干净、设施全，交通便利。', '短评打分': 4}
{'短评内容': '房间挺大的，还好！', '短评打分': 5}
{'短评内容': '卫生不够细致，房间设施还算OK，不过格调方面基本上无。靠街道的房间比较吵，如果下次入住肯定要不靠街的房间。', '短评打分': 4}
