{'descr': '送的挺快的送的挺快的送的挺快的送的挺快的', 'star': 5}
{'descr': '总体不错，地理位置稍偏', 'star': 5}
{'descr': '来考试的，感觉挺好，就是枕头被子有点发黄，其他的都不错。服务员态度也都挺好。靠近马路会有一点声音，不过不影响休息。门缝有小广告。', 'star': 4}
{'descr': '非常不错，服务好又干净。', 'star': 5}
{'descr': '每次住锦江之星都是很满意、干净、空调、热水都很给力，服务都很好！', 'star': 5}
{'descr': '晚上会会有车的声音 很大 吵醒了好几回', 'star': 4}
{'descr': '酒店交通便捷，离地铁3号线很近，住宿条件及设备设施良好，前台服务热情周到，早餐品类丰富，味道不错。商务出差首选。', 'star': 5}
{'descr': '一直住这家，挺好的，一直住这家，挺好的，一直住这家，挺好的，', 'star': 5}
{'descr': '好很好非常好好很好非常好', 'star': 5}
{'descr': '商品质量很好  很满意', 'star': 5}
{'descr': '干净，整洁，没有人发小卡片，不错，下次来上海还住这里', 'star': 5}
{'descr': '挺好的服务，这家店经常去了', 'star': 5}
{'descr': '独立的一栋楼，还是很不错，就是前台比较傻', 'star': 5}
{'descr': '还是可以，这个锦江之星是独立的一栋楼', 'star': 5}
{'descr': '服务很好   卫生可以   只是双人床太小', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '环境很温馨，住的非常满意，总体推荐。这边的早餐没有吃到，不知是否会比其他酒店更好一些，下次来了一定要尝尝', 'star': 5}
{'descr': '这价格还不如其他的小地方', 'star': 3}
{'descr': '位置不是太好，但是酒店内的环境挺好，房间内的设施齐全、干净卫生，入住的时候要了三间不靠高架桥的房间，虽然每间加了20元钱，但晚上基本没有动静，睡到自然醒。另外早餐也不错，20元一位，品种还算丰盛，只是周围附近没有吃的，吃了几天有些腻了。', 'star': 5}
{'descr': '环境幽静，条件不错！服务周到，热情，下次再住！', 'star': 5}
{'descr': '干净宽畅，真的和前面的评价一样好，以后有机会来上海肯定首先考虑这家的', 'star': 5}
{'descr': '服务态度好，锦江小厨味道好！', 'star': 3}
{'descr': '酒店比较干净，但枕套有些泛黄，建议对泛黄的枕套漂白一次或直接更换掉，给顾客留下更好的印象', 'star': 5}
{'descr': '隔音差一些，另外就是床上用品有些旧了，已经不是很白净了', 'star': 5}
{'descr': '还算比较干净，周边没有吃饭的地方，另外最近周边在施工，稍微有点吵', 'star': 5}
{'descr': '酒店双号的房间比较好。不吵。中午就餐环境也不错，是因为去考试才定的房间，可惜现在据说没有房间了。 ', 'star': 5}
{'descr': '酒店比较新也挺干净，唯一不足之处就是周边饮食不方便，都是YP', 'star': 5}
{'descr': '  还可以，餐厅服务很好。房间的性价比很好。前厅保安的态度热情。', 'star': 5}
{'descr': '服务好、性价比高，离市区远了点，但在附近办事还是首选的酒店，另外离轻轨很近，去市区办事也很方便。', 'star': 5}
{'descr': '锦江之星一直是我出差首选，比5星级酒店睡的舒服，为什么要选不舒服但是奢侈的酒店呢？', 'star': 5}
{'descr': '确实不错的住处，功能、卫生、服务都很好，性价比高。虽然离市区远了点，但靠近地铁，也是方便。', 'star': 5}
{'descr': '房间非常干净，一直喜欢锦江之星，以后也会一直选择下去', 'star': 5}
{'descr': '服务好，设备号，安全系统好。值得推荐！好好！顶', 'star': 5}
{'descr': '里面环境还可以，卫生也还OK，服务也不错，可以入住', 'star': 5}
{'descr': '地理位置不错，房间够大、干净、有点缺点就是太吵了  汽车来回嗡嗡叫', 'star': 5}
{'descr': '服务非常好，很干净', 'star': 3}
{'descr': '很意外，非常干净，一楼还有厅式餐桌，有珠琏，很有味道，菜也有锅套餐，好吃又便宜，岳主管非常和气，很亲和！赞！', 'star': 3}
{'descr': '距离工作的地点比较近。入住的是大床间，房间不算大，但是满干净的，设施也完整，在商务连锁酒店中算上等的了。需要改进的地方，电视太破旧了，临街，比较吵。性价比90分以上吧。', 'star': 5}
{'descr': '酒店环境非常好。大床很大，还有智能点播电影看~：）\n交通也还算方便去五角场很方便！\n', 'star': 5}
{'descr': '房间还不错，对得起这个价格，\n下次还会入住的', 'star': 5}
{'descr': '预订方便，性价比不错，以后客户来还会推荐锦江之星。\n', 'star': 5}
{'descr': '服务很好，环境也很好，餐厅的东西价廉物美，唯一美中不足就是房间WIFI信号不够强，总是断网。', 'star': 5}
{'descr': '位置稍偏，环境不错，网速慢点！推荐！！！', 'star': 5}
{'descr': '服务周到有耐心', 'star': 3}
{'descr': '总体感觉还不错，就是靠高架的房间感觉噪音挺大。', 'star': 5}
{'descr': '环境幽静，离地铁站近。服务很好，非常满意~', 'star': 5}
{'descr': '还不错哦，交通方便。下次还会去住，楼下的乳鸽不错。', 'star': 5}
{'descr': '不错的酒店，非常干净，安全特别号，下次还会去', 'star': 5}
{'descr': '酒店离三号线殷高西路站很近  酒店很新  不错', 'star': 5}
{'descr': '酒店服务不错，前台态度很好，环境卫生都可以。', 'star': 5}
{'descr': '帮北京来的朋友订的酒店 不说好不好吧 世博期间 当时能订到交通便利又那么多房间的 真不容易~', 'star': 5}
{'descr': '非常好的经济型酒店，还会去的。住了几天没有什么可挑剔的。。。。。。。。。。\n', 'star': 5}
{'descr': '酒店不错', 'star': 5}
{'descr': '感觉还不错，最主要的是很干净！服务态度也挺好的，就是有一点，上个电梯还要插房卡，真是有点麻烦！', 'star': 5}
{'descr': ' 房子挺干净  条件不错  性价比很高', 'star': 5}
{'descr': '非常干净，交通方便，公交地铁3号线殷高西路，下面还有餐厅，很不错', 'star': 5}
{'descr': '酒店比较干净，离地铁较近，比较方便。', 'star': 5}
{'descr': '总体来说还不错 交通比较方便 附近便利店也不少', 'star': 5}
{'descr': '总体比较不错，餐厅还需改善', 'star': 5}
{'descr': '卫生、服务、性价比都不错，只是对门的隔音效果不太满意，住在房间里，能听到走在过道的人说话声，走路声音太大的也能听见，特别是晚上12点后。', 'star': 5}
{'descr': '但是还是通过锦江之星网页再少二十元左右', 'star': 5}
{'descr': '前台服务人员还有待加强培训，记性极差。\r\n\r\n纯商务的人推荐入住。很干净。', 'star': 5}
{'descr': '酒店的服务卫生以及设施都很一般的，酒店位置不错的，出行很方便的，酒店的价格还可以的。', 'star': 3}
{'descr': '酒店的服务很周到，内部的环境也不错挺干净的', 'star': 5}
{'descr': '酒店的条件还可以，地理位置，人员服务环境卫生，都挺好的，硬件设施非常不错，齐全完善。', 'star': 5}
{'descr': '酒店的环境设施都还不错,很干净和舒适.最好的就是他的位置出行非常方便,价格也很便宜.', 'star': 5}
{'descr': '酒店地理位置不好，离市中心太远了，其他方面比较不错', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
