{'短评内容': '环境很好，安静清幽，大堂美眉态度很好。停车免费。', '短评打分': 5}
{'短评内容': '最无语的一次住宿，酒店难找不说，旁边不知道什么机器，声音巨大，实在仍无可忍，加钱换了一间依然吵得不得了～服务态度超差！', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '位置好，空气好，服务好，性价比高', '短评打分': 5}
{'短评内容': '全五分好评以示鼓励，希望酒店下次及早成交订单，因为涉及平台返现', '短评打分': 5}
{'短评内容': '服务很不错，环境幽静', '短评打分': 5}
{'短评内容': '房间和订的根本不一致，只是1.1的小床', '短评打分': 3}
{'短评内容': '说是带早餐实际只有点剩的小花卷和白粥，还有点咸菜，挺大个酒店就我们一波人。服务很差，电话无限网都没有，热水也不热', '短评打分': 2}
{'短评内容': '安静，卫生，但是早餐太差', '短评打分': 5}
{'短评内容': '安静，舒适，周到的一次旅行，非常满意，下次还住莱特。', '短评打分': 3}
{'短评内容': '环境优雅交通不太方便，设施有点呈旧了', '短评打分': 4}
{'短评内容': '不是特殊原因根本不会住这里', '短评打分': 2}
{'短评内容': '这一路走来，最不推荐的酒店，价格贵，房间非常旧，位置不好找.严重不推荐，这周住的性价比最差的酒店', '短评打分': 3}
{'短评内容': '适合几家人一起入住；位置不错，下高速不远就到了，就是在山脚，如果是避暑，不是很凉快。', '短评打分': 3}
