{'短评内容': '不错，下次会继续入住', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '商务楼', '短评打分': 4}
{'短评内容': '酒店设施齐全、服务质量好、位置优越出行方便！我每次出差来通辽都住这家酒店，尤其冬天，旁边有一洗浴还可以泡泡澡放松一下！', '短评打分': 4}
{'短评内容': '酒店位置挺好的，离火车站挺近，周围也很方便，很热闹，商场和吃饭的地方很多，房间也很干净，内某其他的味道，隔音有点差', '短评打分': 5}
{'短评内容': '房间很暖和，也比较干净。酒店一层的自助餐还不错，78元钱一位，松茸汤很好喝，羊肉烤的也蛮好吃。下次还会预定这家酒店。', '短评打分': 4}
{'短评内容': '房间不错，很干净。', '短评打分': 5}
{'短评内容': '酒店环境卫生，服务态度好', '短评打分': 4}
{'短评内容': '周末和朋友们自驾从沈阳到通辽，按照导航的提示很容易就找到了这个酒店，办入住才知道原来酒店有主楼和附楼之分，好在，相距不远，建议完善信息，以免误导客人，酒店的房间很好，设施齐全，整洁干净，早餐也很好，推荐。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '酒店环境不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好 不错', '短评打分': 5}
{'短评内容': '标准间里真的算不错了 价格便宜 自助餐还可以 不过记房账还得自己报 不能刷一下房卡 赠送的早餐有点儿次 没什么东西都 这点不配4星级', '短评打分': 5}
