{'短评内容': '地理位置尴尬', '短评打分': 4}
{'短评内容': '服务态度非常好 性价比很高', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '总之挺好的 前台很热情', '短评打分': 5}
{'短评内容': '很不错，酒店环境很好，周围绿化很多，风景挺好的，吧台放了薄荷糖，可以免费吃，前台小伙子很热情，也很专业，房间很干净，卫生间很干净，毛巾很白很干净，床铺整整齐齐的，二四小时的热水真的很好。可以随时洗澡，桌子上面用手摸了一下，没有灰尘，看来房间是认真打扫的。房间味道也很清新，很舒服，非常好。以后来苏州就住这家。', '短评打分': 5}
{'短评内容': '布丁酒店，一如既往的好，', '短评打分': 5}
{'短评内容': '好评，酒店服务很好，干净整洁，房间舒适温馨。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还行吧 一人住的话凑合 主题蛮好的', '短评打分': 5}
{'短评内容': '干净但房间小', '短评打分': 5}
{'短评内容': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错，以后还去', '短评打分': 5}
{'短评内容': '安静，服务贴心', '短评打分': 5}
{'短评内容': '值得推荐！性价比不错，干净、卫生', '短评打分': 4}
{'短评内容': '性价比不错，住布丁就是为了便宜、干净', '短评打分': 5}
{'短评内容': '一进大厅给人感觉干净，卫生好，很温馨；房间很舒适 很干净 床垫硬挺睡着很舒服 服务态度很好 一进门就听见服务员问好 很有礼貌 堪比星级酒店的服务啦 真的很不错 卫生好 现在冬天还会在前台提供热水 很是便利 让我们心里很舒服 附近有一个大型的超市 很便利 晚上还有很多夜市 环境很干净 交通很方便 酒店内还有旅游路线 很贴心 去景点游玩坐公交可以直达又不远 前台服务员很有礼貌 还会和你讲怎么去 很有耐', '短评打分': 5}
{'短评内容': '洗手间没有门，离床50公分，两个人住太不方便了，房间小，床很大。转身的地方都没有的感觉。服务态度一般。', '短评打分': 4}
{'短评内容': '位置有些偏，不过干净，安静，布丁一如既往的比较小，不过房间的布置我很喜欢~', '短评打分': 3}
{'短评内容': '刚到苏州没找到地方，打电话问前台怎么去，结果给我指错误方向，害我多走了半个多小时，脚都疼了，还背着重重的行李，房间隔音效果非常差，都是预制板墙，大半夜的哗哗的水声，影响睡眠，房间面积很小，说是没有一次性洗漱用具，可是连纸巾都只有用剩一点点的放在那里，这也太节约了吧~', '短评打分': 3}
{'短评内容': '偏远，交通不便，除非自驾出行，设施简单，热水不热，蚊子多。总体附近没的选择的选择。', '短评打分': 1}
{'短评内容': '好的地方就是比较安静和无线网络，但是离生活圈较远，吃饭要走十几分钟，而且卫生间有股异味，因为只住一晚就忍了，标间的窗户巨小，窗户外面也是市内，根本没用。封闭的小空间。可能离大学城比较近吧，要不然这个价是不值的。', '短评打分': 1}
