{'短评内容': '可以的，好干净', '短评打分': 5}
{'短评内容': '停车都找不到位置，刮风下雨需湿身，冬天更差', '短评打分': 2}
{'短评内容': '房间虽小 但服务一直挺好 ', '短评打分': 5}
{'短评内容': '贴心', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '房间很干净，看起来不错，订给朋友住的。', '短评打分': 5}
{'短评内容': '房间是住过最小的房间，在里面没有信号，只能用无线，厕所热水基本不热，下水道有点堵，隔音不怎么好，服务也不怎么好，装修很好，很有自己的特色', '短评打分': 4}
{'短评内容': '酒店服务不好', '短评打分': 2}
{'短评内容': '没有之前住的那么好了。可能时间久了。', '短评打分': 5}
{'短评内容': '预定时是145返现20的，然后就没有然后了', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 4}
{'短评内容': '麻将虽小但五脏俱全，环境也算可以，性价比还行，去出差几次都住这里，总体还是不错的。手续正规，给客人安全的感觉，还有早餐吃呢，这个真的不错。', '短评打分': 5}
{'短评内容': '很不错的酒店。 被子盖着不怎么舒服，其他还好。', '短评打分': 5}
{'短评内容': '干净 服务好  还有魔方和握力器玩还有书读  虽然房间不大但是清净  周围环境也好  这个价格非常满意！！！！', '短评打分': 5}
{'短评内容': '房间比较干净。周边交通便利。服务和设施对得起这个价。值得推荐', '短评打分': 5}
