{'短评内容': '很好很方便，实惠', '短评打分': 5}
{'短评内容': '多次入住，感觉很好', '短评打分': 5}
{'短评内容': '酒店不错经济实惠', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 4}
{'短评内容': '房间还可以，安静', '短评打分': 5}
{'短评内容': '总体来说还不错，下次依然定这家！', '短评打分': 4}
{'短评内容': 'easy and much warmer winter time in our visiting and thanks', '短评打分': 5}
{'短评内容': '卫生条件一般，老酒店能这样也不错', '短评打分': 5}
{'短评内容': 'good as i expected. could the breakfast be a bit better', '短评打分': 5}
{'短评内容': 'we like to share a good and cheap hotel in this area', '短评打分': 4}
{'短评内容': '看精品单间房型设施上写着房间里有电脑，结果没有，电视屏幕太小，浴室里的沐浴露和洗发水都没有贴标签，根本就不知道哪个是沐浴露哪个是洗发水。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
