{'短评内容': '非常好，住着很好，安静卫生。并且服务态度满意。给你十个赞', '短评打分': 5}
{'短评内容': '环境不错，十分感谢！下次继续', '短评打分': 5}
{'短评内容': '卫生间很小', '短评打分': 3}
{'短评内容': '不爽', '短评打分': 1}
{'短评内容': '卫生非常好，设施也很新。热水一放就来，淋浴喷头水压很大，毛巾消毒后包好，就是房间小了一些。下次还住这里，性价比高！', '短评打分': 5}
{'短评内容': '房间小，热水不够用，差点冻感冒了，，不隔音，我做酒店行业这么多年，第一次入住这么差劲的酒店，不建议推荐入住', '短评打分': 2}
{'短评内容': '', '短评打分': 5}
{'短评内容': '环境不错 家具齐全 服务到位 ', '短评打分': 5}
{'短评内容': '机场大巴站隔壁，交通方便，房间很大。', '短评打分': 5}
{'短评内容': '就是出差随便住住，老酒店了，也不便宜。', '短评打分': 4}
{'短评内容': '服务好 环境也好 距离有色院超近 价格也便宜', '短评打分': 5}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '自主大床房155，商务大床房208，区别是一瓶一块钱的水和7块钱的早餐。', '短评打分': 1}
{'短评内容': '自主大床房155，商务大床房208，区别是一瓶一块钱的水和7块钱的早餐。', '短评打分': 1}
{'短评内容': '环境不错，地理位置比较好', '短评打分': 5}
{'短评内容': '酒店卫生不错，位置好，安静', '短评打分': 5}
{'短评内容': '太冷了房间里', '短评打分': 4}
{'短评内容': '服务是没的说，但是店里设施有点陈旧', '短评打分': 4}
