{'短评内容': '挺不错的房间很大～也很干净，在这里住两次了～～～', '短评打分': 5}
{'短评内容': '房间不错，挺大的，很安静', '短评打分': 5}
{'短评内容': '环境很好，很安静。', '短评打分': 5}
{'短评内容': '房间很大，位置也很棒，楼下有家自助烤肉', '短评打分': 5}
{'短评内容': '交通方便。', '短评打分': 5}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '房间很大很舒服。。。', '短评打分': 5}
{'短评内容': '偷鱼看我这种一定很喜欢????', '短评打分': 5}
{'短评内容': '11', '短评打分': 5}
{'短评内容': '服务谈不上，只是一个解决一下睡觉的问题。选窗的房间不见得好，窗外小吃店1点多还有营业，早上五六点就上货，比较吵', '短评打分': 2}
{'短评内容': '距离重大近，环境不错', '短评打分': 4}
{'短评内容': '房间还可以，周边紧临重庆大学，商务活动多，住了两天被包场了，又换了地方。还可以吧整天环境。。。。。。。', '短评打分': 4}
{'短评内容': '房间还行，反正是一个人住，没有那么多的追求，房间里面能听到一种声音，好像是电梯到了的提醒声音，有点影响', '短评打分': 4}
{'短评内容': '房间还行，反正是一个人住，没有那么多的追求，房间里面能听到一种声音，好像是电梯到了的提醒声音，有点影响', '短评打分': 4}
{'短评内容': '房间还行，反正是一个人住，没有那么多的追求，房间里面能听到一种声音，好像是电梯到了的提醒声音，有点影响', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '住得可以，就吃得太差了，交通便利', '短评打分': 3}
{'短评内容': '住得还可以，早歺太差了，交通便利', '短评打分': 3}
{'短评内容': '不错，第二次入住', '短评打分': 4}
{'短评内容': '除了早餐基本可以忽略之外，其他都很好很强大，哈哈，推荐入住！', '短评打分': 5}
