{'短评内容': '很好', '短评打分': 5}
{'短评内容': '凑合着吧。大门边，出去玩方便', '短评打分': 4}
{'短评内容': '房间还不错，早餐也可以，虽然有点简单，不过也还过得去，还有就是酒店在景区正对面，非常方便！', '短评打分': 5}
{'短评内容': '房间一股子霉味，床铺都是潮潮的，卫生间房间到处都是霉斑，像好久好久没有打理过的，反正这个房间不能住人的，定房的游友绝对慎重', '短评打分': 1}
{'短评内容': '停车场要收费的，10元一车，早餐有免费的，品种少些，除煮鸡蛋外，其他可任加，管饱。环境不错，大氧吧。房间很大，略旧。', '短评打分': 4}
{'短评内容': '住处与前台不在起，因为下雨，晚上6点前台就关门了。早餐只有馒头鸡蛋咸菜。价格略贵，不过应该是附近硬件最好的宾馆了。', '短评打分': 4}
{'短评内容': '环境很好，服务态度一般般！', '短评打分': 5}
{'短评内容': '房间潮湿还能理解，毕竟实在山里水边。但墙上各种裂纹，还有蟑螂，遥控器很脏居然只有一个有电池，空调电视二选一啊！还没盖子！被子也很脏！根本没法往身上盖啊！真的是没法忍受了！介绍信息号称到达浙北大峡谷漂流步行16米，结果开车6.6公里！！！这还有诚信么？真的是糟糕透了！携程上最差的一次订房！强烈不推荐！', '短评打分': 2}
{'短评内容': '酒店就在景区门口，位置很好。预定时房间含双早餐，但入住后酒店告知没有早餐；房间霉味严重，几乎没法入睡，实在不如周边的农家乐。', '短评打分': 3}
{'短评内容': '条件还行，电视机调不出节目，后来换个大床房被子又湿乎乎，只好又换回去。这个价位还行吧。', '短评打分': 4}
{'短评内容': '房间干净，热水好用，在山里住宿条件算是好的。最大的好处是离大峡谷近', '短评打分': 3}
{'短评内容': '卫生间里面还能看见蜘蛛在门上爬。。。。洗完澡地下就水漫金山了，空调开到30度一样没用就是不启动。。。。。房间里面没有电话联系不到前台。。。。', '短评打分': 3}
{'短评内容': '太差！！价格又高！不推荐！！！', '短评打分': 2}
{'短评内容': '酒店是一般般了，但是含了门票感觉太便宜了', '短评打分': 3}
{'短评内容': '酒店员工很少在外面等等了很久，前台去收拾的房间，设施一般住在山里还是蛮舒服的，空气可以', '短评打分': 5}
{'短评内容': '邻近景区入口，隔溪相望，非常方便。室内设施虽然简易，但基本功能齐全，热水随时可用。服务员很热情，态度很好。早饭不在住的地方，但距离很近，权当散步。入夜后游客散去，留宿不多。', '短评打分': 5}
{'短评内容': '地理位置不错，就在景点旁边，服务态度较好，热水供应也比较好，就是只能用现金结帐。', '短评打分': 5}
{'短评内容': '服务态度很亲切，浙北大峡谷的空气环境，风景非常舒服，虽然设施不是新的，但是服务很好住下就会很安心，下次还会再去...', '短评打分': 5}
