{'短评内容': '干净卫生，方便', '短评打分': 5}
{'短评内容': '很好，很整洁舒适，就是WiFi不好', '短评打分': 5}
{'短评内容': '各种极差', '短评打分': 1}
{'短评内容': '还好！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一个字 差 二个字太差', '短评打分': 1}
{'短评内容': '设备有点老，服务态度很好！', '短评打分': 3}
{'短评内容': '从没住过这么差的酒店，环境差，前台态度差！', '短评打分': 1}
{'短评内容': '还可以吧，帮朋友买的。。。。。。', '短评打分': 4}
{'短评内容': '位置不错，距离电视台演播大厅很近。', '短评打分': 3}
{'短评内容': '真的是太差了，脏乱差，我根本想不到用什么词语来形容这个环境了，停水停电，空调噪音超大，跟拆房子一样，真的是没办法修，要是能上传视频，我一定把视频上传！', '短评打分': 1}
{'短评内容': '酒店虽然离要去的考点远了点，但也是没办法的，毕竟考点附近都订满了。不过这个酒店订的也不错，附近公交很方面，还临近新北站。酒店环境还可以，服务态度特别好。不管是前台还是保洁大姐还是餐厅阿姨态度都很亲切。总体来说很满意', '短评打分': 5}
{'短评内容': '在那么偏的地方，房间能怎么好啊', '短评打分': 1}
{'短评内容': '还行，感觉有点不值', '短评打分': 3}
{'短评内容': '早餐不够给力。。。其他都还不错   洗澡水比较热，很不错', '短评打分': 5}
{'短评内容': '水不是太热，没有集中供暖，只能开空调制暖，不过有电脑免费上网，入住的那天停电，爬了十一层的楼梯', '短评打分': 1}
{'短评内容': '酒店的装修环境还勉强说的过去，算的上是二、三星级标准。这个只是靠个人感觉，我也不知道具体的二、三星级是什么标准。但是有两点致命伤不推荐大家到这住宿。一个是这里经常停水，鬼知道什么时候有水，什么时候没水，低楼层都是这样，更不要说是高楼层的商务间了，更是没水。另外一点，这个地方偶尔会停电，这个可能是个别情况，但是本来在这儿就居住一两天，停电事件还比较长的话，也够影响心情了。因为我是考试前住的，所以，这', '短评打分': 1}
{'短评内容': '这家店 简陋的  过了头！！！实在不好意思向各位推荐！！！', '短评打分': 1}
{'短评内容': '还不错，空间很大，不过是城中村自建的楼房•••', '短评打分': 5}
{'短评内容': '去郑州考试住了一晚，118的情侣小间缺点:设备质量差些，脸盆架晃的历害，地漏下水不畅，优点:房间空气还好没有杂味，床上干净，体格便宜，服务态度好。去游玩不推荐住。', '短评打分': 5}
{'短评内容': '条件一般，但服务还可以。条件一般，但服务还可以。条件一般，但服务还可以。条件一般，但服务还可以。', '短评打分': 1}
{'短评内容': '房间挺大，比较舒适。房间挺大，比较舒适。房间挺大，比较舒适。房间挺大，比较舒适。房间挺大，比较舒适。', '短评打分': 5}
{'短评内容': '还可以，就是水不热', '短评打分': 3}
{'短评内容': '房间的性价还是比较高的，当时住的一间采光卫生都特别的好，门口就有站牌，就是打车到市中心太贵了。', '短评打分': 5}
{'短评内容': '价钱好像不一样，实际价格118元！房间不大，房间内没电话不方便。', '短评打分': 3}
{'短评内容': '不错，性价比挺高。', '短评打分': 3}
{'短评内容': '房间很精致.就是没有窗户,但是设置了排风扇通风透气.\n早餐很北方,有粥有饼,还不错!\n卫生条件也还不错!\n性价比高!', '短评打分': 5}
{'短评内容': '基本装修还可以，屋内没电话。 比较显眼，离新北站很近。\n只是隔音效果很差，楼下是一个饭店，晚上放节目声音很大。 床单干净可是有个破洞。。。。钟点房还是可以的', '短评打分': 5}
{'短评内容': '总体感觉不错 就是房间有点小', '短评打分': 3}
{'短评内容': '房间还行吧 没电脑 住了1天还停一次水。。。', '短评打分': 5}
{'短评内容': '前台服务很好，周围有很多夜市摊，方便吃饭~送的早餐也很好。就是不知道怎么的早上停水了···还得没洗成澡··算是唯一美中不足的了···', '短评打分': 5}
{'短评内容': '＋环境还好 空间比较紧凑 ', '短评打分': 3}
{'短评内容': '非常好！服务不错，地理位置不错，网速有点慢', '短评打分': 3}
{'短评内容': '很好干净服务又好', '短评打分': 5}
