{'短评内容': '非常好非常好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '档次很高的，要是有窗就更好了！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '房间异味很重，熏的头疼，房间有空气净化器，一直开到最大显示空气还是很差（红色报警），偶尔跳到紫色（差）', '短评打分': 2}
{'短评内容': '酒店离机场近，有接送，不过，我们那天刚好赶上有团，所以送机出了点小叉。那个导游硬不让我们上车，我还抱着小孩，又是早上六点，这个时候很多人赶早班飞机，所以人特别多，但是前台才一个人，安排方面难免有落差。最不好的是早餐要六点半才开始，很多人都没有吃早餐就去赶飞机了，希望酒店的早餐能提前，谢谢！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '位置方便转机', '短评打分': 3}
{'短评内容': '一次后悔的选择，配套太差，服务连三星也比不上。餐厅只有一家可以选择而且是火锅。百度外卖不接受这么边远的定单   ，今晚饿肚子', '短评打分': 3}
{'短评内容': '胜在离机场近且随时有车送机，还是很方便', '短评打分': 4}
{'短评内容': '还不错吧。', '短评打分': 5}
{'短评内容': '靠近机场，交通非常方便。房间也比较安静舒适。早餐在一楼，餐品种类较丰富可口。服务态度也很好下次来石家庄还订这家。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '如果赶时间，就想在机场旁边入住，这个酒店还是值得推荐的。', '短评打分': 4}
{'短评内容': '挺好的，一般吧，就是在携程上预订的便宜', '短评打分': 3}
{'短评内容': '出行十分方便，去机场步行10分钟，打车5分钟。', '短评打分': 4}
{'短评内容': '出行十分方便，去机场步行10分钟，打车5分钟。', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '  酒店环境不错，也很干净，下次还住那', '短评打分': 3}
{'短评内容': '环境很好，绿树成荫，很舒服。很是超值。下次还选择这样的酒店。', '短评打分': 5}
{'短评内容': '环境还不错，价格适当', '短评打分': 3}
{'短评内容': '除了离机场近就一无是处了,生态苑酒菜很贵.', '短评打分': 1}
{'短评内容': 'very nice hotel. Excellent price. Like the Sauna next door', '短评打分': 3}
{'短评内容': '\n房间很一般，不过早上做飞机很方便', '短评打分': 3}
{'短评内容': '我已入住，目前还未发现有什么不好的。', '短评打分': 3}
{'短评内容': '机场垄断酒店，自助餐不是比较给力的，空气不好！', '短评打分': 5}
{'短评内容': '自助餐非常给力，房间一般，空气不是太好！机场首选 ', '短评打分': 5}
{'短评内容': '服务还可以，卫生干净，人员热情，不过价格稍微高点，希望可以再便宜点，毕竟大多数人都是钟点房形式', '短评打分': 5}
{'短评内容': '看着还可以，就是房间透气效果不太好。', '短评打分': 3}
{'短评内容': '趁着位置好，瞎要钱。我们三个人明明可以住，非要100块的加床费。折叠床完全不能睡，太差劲了！！！', '短评打分': 1}
{'短评内容': '离机场确实很近，只是人好少，整个酒店好空荡，很恐怖哦~', '短评打分': 5}
{'短评内容': '太差了，不会再入住了，除了离机场近没有任何的入住价值', '短评打分': 1}
{'短评内容': '酒店环境很好价位合适', '短评打分': 3}
{'短评内容': '环境还行。', '短评打分': 3}
{'短评内容': '条件不错，价廉物美，到机场还有送客服务，下次我还要入住', '短评打分': 5}
{'短评内容': '空调噪音太大，难以入睡，早餐有待改进', '短评打分': 3}
{'短评内容': '酒店的硬件设施很差，暖气不足，很冷，淋浴比连锁酒店还要差，房间角落很多灰尘，估计一个月没擦过！床也不舒服，酒店服务员态度也不好，晚上11点东西要了包子，结果上的是韭菜盒子！油麦菜吃着嘴里全是沙！酒店500多一晚，很贵很不值！', '短评打分': 1}
{'短评内容': '离机场很近，很方便！！！要不是住在这里，躲过了雾天，还真是不好坐上飞机呢！', '短评打分': 5}
{'短评内容': '住了二次了、感觉还可以，大床房会更好！', '短评打分': 3}
{'短评内容': '过年前2天去住的。\n优点：离机场近，走路用不了十分钟；生态餐厅真的很生态，菜量大，便宜，味道一般。如果赶早班飞机，住一夜还是可以。\n缺点：设施陈旧；地板是木地板，没有地毯，凉；被子很薄，两床被子都觉得一点不热；床不软，不暖和；洗浴间没浴缸；淋浴的水很凉，放了有二十分钟才热起来，而且水量很小；标明的自助餐没有；洗浴中心关闭；没有冰箱保险柜。等等', '短评打分': 5}
{'短评内容': '离机场很近，把车停下的话还是寄存的。不过住的房间洗澡水太小，大年初一住的时候，附近酒店都被包桌了，根本找不到吃的。真可怜。平时的话应该还是不错的。', '短评打分': 5}
{'短评内容': '房间挺大，环境可以，离机场近。很适合坐早班飞机。', '短评打分': 3}
{'短评内容': '酒店还不错，位置很好。和机场很年近，走路5分钟就可以到达。', '短评打分': 5}
{'短评内容': '从机场出来，硕大的欧景假日酒店的牌子远远可见，十分钟走到，纯正的欧式建筑风格，宽敞的房间，贴心的酒店叫醒服务，丰盛的自助早餐，真的非常赞！为旅程增添了一份浪漫，疲惫一扫而光~~~', '短评打分': 5}
{'短评内容': '1.酒店环境不错。还有自助餐\n2.房间也挺干净的。床也比较舒适\n3.挺方便的 走去机场', '短评打分': 5}
{'短评内容': '酒店离机场挺近的~~走路十分钟左右就到了。但是房间有点冷，暖气不是很好。', '短评打分': 5}
{'短评内容': '机场近在咫尺，方便登记，若酒店大堂能够提供自助值机就好了', '短评打分': 5}
{'短评内容': '其他都可就是床硬了點', '短评打分': 3}
{'短评内容': '服务不错，有送站', '短评打分': 3}
{'短评内容': '酒店不大，价格偏高，但距离机场真的很近，方便坐早晨的航班。', '短评打分': 5}
{'短评内容': '说实话，这个价格这样设施有些小贵，但在机场对面，还能说什么？基本设施，毛巾偏旧，已经洗成了暗色调毛边都出了。洗头水和沐浴露，可疑的颜色，简陋的小瓶子不如不给。无论在前台、餐厅，见到的服务生都是漫不经心的赚钱姿态。楼下晚上有自助餐，需要主动表明是住店客人，才给38元的价位。菜品一般，品种正常。酒水饮料也一应俱全，咖啡、奶茶、冰爽茶、橙汁、几种白酒和啤酒。。。尝了一口咖啡。嗯，如果你不计较、也不挑剔，', '短评打分': 1}
{'短评内容': '价格偏高，但离机场挺近，方便夜间航班。', '短评打分': 3}
{'短评内容': '还可以，离机非常非常场近，方便。还会入住，', '短评打分': 5}
{'短评内容': '房间比较冷，离候机楼很近，赶飞机比较方便。', '短评打分': 5}
{'短评内容': '位置挺好，服务不错。 希望价格可以好一些。\n', '短评打分': 5}
{'短评内容': '因为坐早班飞机而入住，酒店价位高，性价比低。', '短评打分': 5}
{'短评内容': '位于机场附近，吃住玩一体，基本上算是机场区域的唯一选择..', '短评打分': 5}
{'短评内容': '＋不错，挺干净的，房间挺大', '短评打分': 3}
{'短评内容': '离机场非常近离机场非常近离机场非常近离机场非常近离机场非常近', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '环境还不错，就是房间比想象小了点…据说早上送我们去机场，可六点多的飞机，五点半才送，觉得有点晚，不过服务态度还是不错的！', '短评打分': 3}
{'短评内容': '说老实话，这酒店性价比确实不好。花3百多的标准间居然还是没对外窗户的，早饭也没什么吃的，设施最多2星。但谁叫它离机场近呢！飞机晚点或者乘早飞机的可以将就住一晚，要不然肯定还是选择石家庄市内的酒店，但机场离市区是有点远。各位驴友反正看自己的时间安排和住宿规格要求，要求高的就不用选这里了。', '短评打分': 5}
{'短评内容': '这个酒店就是乘飞机方便点，设施和服务也一般般。空调效果不好，预定的两晚，客人只住了一晚。', '短评打分': 5}
{'短评内容': '1、支持信用卡预授权支付入住\n2、距离石家庄机场5分钟内步行可以到达出发大厅，方便春航早班航班\n3、房间布置、设备设施、餐厅餐饮很丰盛', '短评打分': 5}
{'短评内容': '酒店还不错。', '短评打分': 3}
{'短评内容': '酒店设施上课，乘飞机方便。只是柜台服务员态度有点欠缺。有待提高。', '短评打分': 5}
{'短评内容': '酒店设施还可以，只是柜台服务员态度有点欠缺。对服务要求不高的要飞机旅行的人士可以选择。', '短评打分': 5}
{'短评内容': '距离机场很近，很方便早上的航班，早餐不错，早餐服务员不懂英文，呵呵，', '短评打分': 5}
{'短评内容': '酒店离机场近，总台服务很好', '短评打分': 3}
{'短评内容': '离机场很近 很方便 但是没有服务员会说英语，朋友很郁闷', '短评打分': 5}
{'短评内容': '酒店超烂。。什么都没有。。。态度差。。比商务酒店还差。。四星级。。我估计只有招待所的水平。。。房间里面连瓶水都没有。。不送可以放在里面。。', '短评打分': 1}
{'短评内容': '除非赶早班飞机，或者是飞机晚到，否则实在不建议入住。性价比不高，与所谓四星酒店不符。', '短评打分': 1}
{'短评内容': '位置是一大优势，机场的工作人员也多住于此。但所标的星级毕竟稍有言过其实之嫌，但对忙于飞机出行又对本地陌生的旅者还是推荐的。', '短评打分': 5}
{'短评内容': '酒店位于候机楼对面，乘早班机比较方便，按该酒店的硬件和服务条件，价格偏高了。', '短评打分': 5}
{'短评内容': '没落的欧景，房间的卫生没有做到位，洗手间里都忘了。', '短评打分': 3}
{'短评内容': '最大的优点就是离机场近，赶早班机必选！酒店旧了点，希望价格可以再降一点。', '短评打分': 5}
{'短评内容': '离机场近，价格不算便宜，房间不错，另外就是停车可以免费，如果你出去几天的话，把车锁好就成。', '短评打分': 5}
{'短评内容': '晚上十点，楼上歌厅还在狂躁，不得不携家带口进行调房，还不错，服务态度还行，但应该对楼上的歌厅进行必要调整...', '短评打分': 5}
{'短评内容': '位置很方便，就是小贵啊!! 早餐还可以！太冷了！ 房子的空间还可以！', '短评打分': 5}
{'短评内容': '酒店的确离航站楼很近，可是酒店内部设施陈旧，浴室漏水，空调几乎没有暖风，害得晨晨起来感冒。', '短评打分': 1}
{'短评内容': '：石家庄欧景酒店房间很大，卫生条件不错。去机场坐早班机很方便。马', '短评打分': 3}
{'短评内容': '除了离机场近，价格不算贵，没有什么推荐的。带了箱子进大堂，没有人给开门，还号称什么四星级酒店，服务太差。手套落在前台，让我自己下楼取，前台说不管送到房间。想用一下微波炉，酒店餐厅的服务员一脸的不高兴。酒店没有摆渡车到机场，只能自己走过去，很麻烦，酒店真的应该提高一下服务意识，如果不是乘飞机谁会来这住啊！还有，结账那天告诉没有发票，有没有搞错，摆明了偷税漏税啊！', '短评打分': 5}
{'短评内容': '优点：距离机场近\n缺点：早餐差，淋浴出水少，前台服务与所谓挂牌四星差距远', '短评打分': 5}
{'短评内容': '还不错 就是半夜楼上有唱歌的··声音很大', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '房间很整洁,离机场也很近,酒店是挂四星,大堂的服务和所挂星星相差太远', '短评打分': 3}
{'短评内容': '酒店位置靠近机场，有班车送往登记楼，很方便。', '短评打分': 5}
{'短评内容': '卫生不好，窗户打不开，换气扇噪音大的睡不着觉', '短评打分': 1}
{'短评内容': '遇见大雾，在机场困了一天，作为机场边上的酒店，放低要求后也能住得下去。', '短评打分': 5}
{'短评内容': ' 很差', '短评打分': 5}
{'短评内容': ',此店干净.价格低,交通、\n乘机,吃饭都方便。\n', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '己入住  酒店不错 安静 干净  离候机楼很近', '短评打分': 5}
{'短评内容': '酒店环境很好,距离候机楼非常近,步行只需五分钟.酒店的服务很到位,生态苑餐厅非常棒,很有特色.', '短评打分': 5}
{'短评内容': '相当不错', '短评打分': 3}
{'短评内容': '对于从石家庄机场赶早班飞机的朋友是个不错的选择。', '短评打分': 5}
{'短评内容': '为了赶早晨飞机才住的，碰巧整整一晚上网络都没有修好，上不了网。\r\n挑不出什么毛病来，比较舒适，安静。\r\n不为赶飞机的话，实在没什么性价比。', '短评打分': 5}
{'短评内容': '此酒店去机场很方便。就是房间小了点！但餐饮很实惠，口味也不错。清静。', '短评打分': 1}
{'短评内容': '去机场很方便。清静。餐饮很实惠，口味也不错。', '短评打分': 3}
{'短评内容': '为了去机场方便订的。确实很方便', '短评打分': 3}
{'短评内容': '到机场很近，步行也就5、6分钟，很清静，宾馆下设的餐厅吃饭也很实惠', '短评打分': 5}
{'短评内容': '不能开窗，卧室内换气扇噪音如拖拉机般响。', '短评打分': 1}
{'短评内容': '不错,也方便', '短评打分': 5}
{'短评内容': '只适合转机', '短评打分': 3}
{'短评内容': '确实卫生有点问题，\r\n而且早餐太晚，７点离店居然都没有早餐供应。', '短评打分': 1}
{'短评内容': '住过一晚，很安静，离机场超近', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的,周边交通也蛮方便的,价格也比较合适.', '短评打分': 5}
{'短评内容': '因为第二天赶早搭机，所以有缘入住一晚，房间还行，餐厅不错，菜的量很大，但味道偏咸。晚上房间很冷，暖风开到最大，也没感到暖和！也许因为入住的人太少啦！', '短评打分': 5}
