{'短评内容': '进入房间被子不整齐，房间设施老旧', '短评打分': 2}
{'短评内容': '很好的温泉水', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '适合带小孩，环境很好', '短评打分': 5}
{'短评内容': '环境不错，管理有待加强自助早餐品种较少，自带餐厅需要给服务费不合理，房间隔音较差', '短评打分': 5}
{'短评内容': '还会入住该酒店，就是有点老了，希望酒店整修下', '短评打分': 5}
{'短评内容': '可以。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的酒店体验 舒适 大气 安静 ', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '硫磺味温泉，超赞。', '短评打分': 5}
{'短评内容': '温泉水很好，闻到了淡淡的硫磺味。这次住的花园大床间，院子里带个小温泉池，可以自己在房间泡，我们还是特地去公共温泉池泡了一会儿，池多水靓，确实不错。房间设施就略旧了些，我比较择床，硬硬的床板睡得不太安稳，其他都不错。酒店整体感觉管理很好', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '温泉水不错，吃的比较一般。希望早点把路修好，不然堵车得太。厉害', '短评打分': 3}
{'短评内容': '设施环境都很好，服务质量都不错，就是道路远了点。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '温泉池放水，冲凉房就没热水', '短评打分': 4}
{'短评内容': '一开始看到微博官网，觉得图片好美，抱着试一试的心态来住一晚。美得一塌糊涂，太喜欢了，房间设为3个空间，独立厕所和2个独立洗澡花洒，一个游泳池，一个温泉池，温泉池还配有电视，一边看翡翠台，一边敷面膜，还一边泡温泉。真心爽，好开心，如果有钱会继续去玩哦。', '短评打分': 5}
{'短评内容': '别墅设计得不错，有首层、负一层共两层楼，有客厅、厨房、饭桌、麻将房等，还有私家泳池及温泉池，一大家人住这里很热闹很开心。', '短评打分': 5}
{'短评内容': '酒店温泉水不错。服务水准达不到四星级。路不太好走。', '短评打分': 1}
{'短评内容': '酒店环境很好，空气清新，房间较大，温泉也好，干净卫生', '短评打分': 5}
{'短评内容': '房间还行，不过有点暗所以显得有点旧，觉得性价比不是很高，有点贵！', '短评打分': 5}
{'短评内容': '环境超级好，温泉水也正！泡完温泉皮肤好滑！别墅的房间很好，独立的温泉池，很棒的度假村！', '短评打分': 3}
{'短评内容': '离五星级还是有一定的距离，电视机还用CRT纯平，这也太落后了。', '短评打分': 3}
{'短评内容': '第一个影响是泰国。酒店的装修也不错。温泉的质量也很好', '短评打分': 5}
{'短评内容': '刚到给我的感觉好清新，环境几好。', '短评打分': 3}
{'短评内容': '环境真的很不错，很有异国风情！是个度蜜月的好地方！', '短评打分': 3}
{'短评内容': '这间酒店，房间的确不错。可是软件实在太差。1.12日退房前，打电话给前台，要求延迟退房，被拒。再要求，只是需要半小时，仍然被拒。理由是此房型当天满房。但是，通过订房网站询问，均告知，此房型当天有房！说满房的居然还是值班经理！相当气人！另外，回到家后，发现遗留了一个迷你路由器在酒店，当即打电话给酒店，当时酒店的回复是找到，也答应了寄回给我，可是一直到现在，都没有收到。对此酒店非常失望。', '短评打分': 1}
{'短评内容': '普通房真是好普通', '短评打分': 3}
{'短评内容': '温泉水质干净,服务员热情客气。虽然退房时出了小差池,但总体不错', '短评打分': 3}
{'短评内容': '酒店的位置确实比较偏远，下高速蓬陵出口需要再开85公里山路，不过酒店造的气派豪华， 有巴厘岛的风格，温泉确实不错，有很重的硫磺味道，应该是真的温泉而不是地热水，不过这个酒店没有挂星级，从硬件上看四星的标准是有的，不过酒店的服务员的态度还是比较冷漠的，见到客人也不会打招呼问好，而且不能延迟退房，连半小时都没有', '短评打分': 5}
{'短评内容': '不错，有点感觉，美中不足的是好多地方在修整影响了整体氛围，显得有点脏乱。', '短评打分': 5}
{'短评内容': '環境不錯！！！哈哈。', '短评打分': 3}
{'短评内容': '很休闲，度假胜地。多朋友住独栋的别墅很好玩肯定！', '短评打分': 5}
{'短评内容': '环境和房间都很舒服，服务员的服务态度挺好的，温泉挺不错的。我住的是标准别墅，里面的温泉水好像很外面的不太一样，东西一般好吃的，跟不是惠州洲际的标准。乒乓球室居然没空调，还要额外收费，不想去玩。', '短评打分': 5}
{'短评内容': '環境不錯, 渡假氣氛很好.溫泉很多. 服務也不錯.以後會長出.', '短评打分': 5}
{'短评内容': 'me and my family have a great time overhere.\nWe stayed in Bali C Villa with 2 rooms and a private hot spring pool. This hotel is just fabulous! We cant even believe we were in China actually. Highly R', '短评打分': 5}
