{'短评内容': '房间很舒服，很干净。好评', '短评打分': 5}
{'短评内容': '比较陈旧，位置和服务还可以。', '短评打分': 3}
{'短评内容': '位置还好，房间卫生不怎么好，设施虽然也就但还算齐全。', '短评打分': 3}
{'短评内容': '还可以！简单住住！没有啥要求', '短评打分': 4}
{'短评内容': '奉化市中心，旁边就是川菜馆，走出去不远就是太平洋百货，有免费停车场！服务台小姐很热情，赞一个！房间还是蛮大的，洗澡水特别大！', '短评打分': 5}
{'短评内容': '性价比很高，服务各方面都不错', '短评打分': 5}
{'短评内容': '还不错，外面的更好，大堂比较可以', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '   酒店位置不错，就是卫生差了些，在茶杯上竟然还留有口红，想想有点恐怖。。。房间有点异味，反正只是一晚，忍忍吧！', '短评打分': 4}
{'短评内容': '酒店位置不错，就是卫生差了些，在茶杯上竟然还留有口红，想想有点恐怖。。。房间有点异味，反正只是一晚，忍忍吧！', '短评打分': 4}
{'短评内容': '奉化这里本来就没啥酒店。这家酒店真的是。。。。。。进房间的味道感觉像是进了禽类批发市场。换了2次房间才觉得好些。档次真心有点低，比较LOW。亮点是：前台的小妹很可爱，楼下水果店的提子比较好吃。', '短评打分': 4}
{'短评内容': '方便方便方便实惠实惠实惠', '短评打分': 3}
{'短评内容': '恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚', '短评打分': 3}
{'短评内容': '酒店在奉化市中心，离银泰城很近，晚上出去那里吃饭购物很方便。酒店卫生有点差，毛巾有污渍不敢用，床品泛黄很旧，地毯有污渍，不是中央空调。房间有股脚臭味，也就一晚，忍忍。所幸房间还挺大，是大床加小床，一家三口凑合。', '短评打分': 4}
{'短评内容': '不错的酒店，值得推荐', '短评打分': 3}
