{'短评内容': '就在儿童医院附近，价格合适。', '短评打分': 3}
{'短评内容': '洗澡的水龙头有问题，都不及时的维修，', '短评打分': 2}
{'短评内容': '周边环境安静，出行方便。', '短评打分': 5}
{'短评内容': '服务一般吧，房间的热水都没有', '短评打分': 5}
{'短评内容': '可以的值得一住', '短评打分': 5}
{'短评内容': '服务好，价格实惠，下次还来！', '短评打分': 5}
{'短评内容': '还不错，干净，舒适。', '短评打分': 4}
{'短评内容': '不错，位置好，便宜……', '短评打分': 5}
{'短评内容': '单位附近只有它还有房，价格算是周边便宜的', '短评打分': 5}
{'短评内容': '很好的体验，', '短评打分': 5}
{'短评内容': '很好的一次住行，比月新酒店好多了！', '短评打分': 5}
{'短评内容': '环境干净，安静，休息的不错，出行方便，服务很好，位于儿童医院附近，价格公道', '短评打分': 5}
{'短评内容': '性价比差', '短评打分': 3}
{'短评内容': '离考点近比较划算的就这家了，只能说不贵，其他的就……不差钱D3不推荐', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '看了评论定的这家酒店，住起来还挺不错，窗外稍微有点吵。', '短评打分': 5}
{'短评内容': '房间卫生可以，就是太小了设施一般，选择原因就是因为离儿童医院近', '短评打分': 4}
{'短评内容': '都好，除了上铺床很硬。', '短评打分': 5}
{'短评内容': '一般，房间太小，价格偏高！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '服务不好网络不好，环境也不敢恭维', '短评打分': 1}
