{'短评内容': '环境很好 非常安静', '短评打分': 5}
{'短评内容': '整洁卫生，环境好！', '短评打分': 5}
{'短评内容': '床边没插座，其他还好', '短评打分': 5}
{'短评内容': '早餐太差', '短评打分': 4}
{'短评内容': '很安静 周边      这个价可以说是非常值了', '短评打分': 5}
{'短评内容': '酒店房内味道很重，是一种发霉的味道。房间还算干净，设施比较陈旧，厕所坐便器看起来比较脏。总体上，比起来200多的房费来说这样的设施也算马马虎虎了。', '短评打分': 3}
{'短评内容': '感觉还是不错的', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '自己去的，还不错，位置很好', '短评打分': 4}
{'短评内容': '酒店的地理位置挺好的，环境还不错，交通方便，', '短评打分': 5}
{'短评内容': '环境与价格符合，但服务不是很好，无Wi-Fi,充电器也无', '短评打分': 5}
{'短评内容': '朝晖酒店环境好，离浙江工业大学近，交通方便，酒店房间设施和服务都不错，性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '朝晖酒店环境好，离浙江工业大学近，交通方便，酒店房间设施和服务都不错，性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '房间设施旧 打扫房间好马虎', '短评打分': 3}
{'短评内容': '房间的门卡磁性消失，拖着行李走到房门无效，再返回前台。凌晨到达，附近一点便利店都没有，但是离华东勘探设计院很近，所以订了。虽然是老式了一点装修，但是房间还算可以。', '短评打分': 3}
