{'短评内容': '商务出行，服务周全，设施全！！！！！', '短评打分': 5}
{'短评内容': '帮家人定的，很好', '短评打分': 5}
{'短评内容': '放假格局挺不错的，一百来块钱，下次出差首选', '短评打分': 5}
{'短评内容': '早餐还是比较丰富', '短评打分': 5}
{'短评内容': '不错，便宜，方便，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '热水多点就可以', '短评打分': 5}
{'短评内容': '商务出行首选，干净舒适', '短评打分': 5}
{'短评内容': '不错的宾馆，商务出行首选！！！！', '短评打分': 5}
{'短评内容': '商务出行首选！！！！！！！！', '短评打分': 5}
{'短评内容': '定着有点麻烦， 没以前那么方便了', '短评打分': 5}
{'短评内容': '干净舒适卫生，常住的宾馆', '短评打分': 5}
{'短评内容': '还不错，小县城这样算不错啦', '短评打分': 4}
{'短评内容': '酒店饭菜还行，就是太偏了点', '短评打分': 4}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '浴室水温确实不是很高，早饭还不错。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '下雪天住的，很暖和。', '短评打分': 4}
{'短评内容': '在西客运站不远', '短评打分': 4}
{'短评内容': '因为大雪没法出门，就只好继续住酒店了，暖和。', '短评打分': 4}
{'短评内容': '酒店还行，第一次住，晚上洗澡热水不太热。', '短评打分': 4}
{'短评内容': '住着很不错！温泉水洗澡特别美！还有池子泡泡也很舒服！', '短评打分': 3}
